PROV1;سيتكا
PROV2;ياكوتات
PROV3;كيناي
PROV4;الميناء الهولندي
PROV5;بيثيل
PROV6;حصان أبيض
PROV7;داوسون
PROV8;نهر روس
PROV9;فورت سيمبسون
PROV10;اينوفيك
PROV11;إيكو باي
PROV12;الاعتماد
PROV13;فانكوفر
PROV14;جزيرة فانكوفر
PROV15;الأمير روبرت
PROV16;جلينورا
PROV17;أتلين
PROV18;فورت سانت جون
PROV19;الأمير جورج
PROV20;كيلونا
PROV21;فيرنون
PROV22;ادمونتون
PROV23;هبوط أثاباسكا
PROV24;يشب
PROV25;بانف
PROV26;كالجاري
PROV27;دينوود
PROV28;فورت ماكلويد
PROV29;قبعة الطب
PROV30;ريجينا
PROV31;ستانلي
PROV32;الأمير ألبرت
PROV33;اسكويث
PROV34;ساسكاتون
PROV35;مابل كريك
PROV36;وينيبيغ
PROV37;تشرشل
PROV38;البحيرات الهندية
PROV39;بيت النرويج
PROV40;دوفين
PROV41;براندون
PROV42;بيمبينا
PROV43;أرفيات
PROV44;كورال هاربور
PROV45;جزيرة بافن
PROV46;تورنتو
PROV47;فورت سيفيرن
PROV48;فورت ألباني
PROV49;درايدن
PROV50;الرعد خليج
PROV51;سولت سانت ماري
PROV52;سدبري
PROV53;باري
PROV54;وندسور
PROV55;هاميلتون
PROV56;كينغستون
PROV57;أوتاوا
PROV58;مونتريال
PROV59;نيتشكون
PROV60;فورت روبرت
PROV61;شيكوتيمي
PROV62;سبتمبر إيل
PROV63;احتيال
PROV64;تروا ريفيتشيريس
PROV65;مدينة كيبيك
PROV66;شيربروك
PROV67;ريموسكي
PROV68;فريدريكتون
PROV69;باثورست
PROV70;جزيرة الأمير ادوارد
PROV71;هاليفاكس
PROV72;ترورو
PROV73;جزيرة كيب بريتون
PROV74;سانت جونز
PROV75;ميلرتاون
PROV76;هوبديل
PROV77;سانت بيير وميكلون
PROV78;سياتل
PROV79;سبوكان
PROV80;والا والا
PROV81;بورتلاند
PROV82;مدينة بيكر
PROV83;شلالات كلاماث
PROV84;سان فرانسيسكو
PROV85;يوريكا
PROV86;سكرامنتو
PROV87;مونتيري
PROV88;ماريبوسا
PROV89;لوس أنجلوس
PROV90;سان دييغو
PROV91;بويز
PROV92;كور داليني
PROV93;بوكاتيلو
PROV94;مدينة كارسون
PROV95;إلكو
PROV96;لاس فيجاس
PROV97;سولت لايك سيتي
PROV98;لوا
PROV99;موآب
PROV100;فينيكس
PROV101;سارية العلم
