ui_element_name;Name: ?Y$x$?!
ui_element_position;Position: X = ?Y$x$?! Y = ?Y$y$?!
ui_element_size;Size: X = ?Y$x$?! Y = ?Y$y$?!
PROVINCEVIEW_GOODSINCOME;Sold ?Y$x$?W ?Y$GOODS$?W for ?Y$VALUE$?W yesterday
support_for_blank;support for $text$
uh_support_for_blank;upper house support for $text$
up_to;up to 
scaled_support; proportional to support of $text$
scaled_unemployment; proportional to unemployment
stockpile_of;to national stockpile of $text$
create_general;A new general is created
create_admiral;A new admiral is created
add_war_goal;A $text$ war goal is added against $nation$
blank_loyalty;$text$ loyalty
in_blank;in $text$
no_effect;No effect
move_capital_to;Move capital to
add_x_core;Add $adj$ core
add_core_to;Add core to
remove_x_core;Remove ?Y$adj$?W core
remove_core_from;Remove core from
change_name_to;Change name to ?Y$text$?W
change_terrain_to;Change terrain to ?Y$text$?W
change_rgo_production_to;Change RGO production to ?Y$text$??W
make_accepted_culture;$text$ becomes an accepted culture
primary_culture_changes_to;Primary culture changes to ?Y$text$?W
union_culture_accepted;All cultures in the nation's primary culture group become accepted
remove_accepted_culture;$text$ stops being an accepted culture
increase_national_variable_by;Increase nation's ?Y$text$?W by ?Y$value$?W
decrease_national_variable_by;Decrease nation's ?Y$text$?W by ?Y$value$?W
life_rating;Life rating
make_national_religion;?Y$text$?W becomes the national religion
giving_modifier;This will give the following modifier:
make_province_religion;province population converts to ?Y$text$?W
make_pop_religion;Converts to ?Y$text$?W
make_pop_culture;Converts to ?Y$text$?W
make_slave_state;Becomes a ?Yslave state?W
make_slave_pop;Becomes a ?Yslave?W
research_points;Research points
change_tech_school;Technology school changes to ?Y$text$?W
change_government_to;Government changes to ?Y$text$?W
add_to_treasury;Added to treasury
war_exhaustion;War exhaustion
become_blank;Becomes ?Y$text$?W
player_control_change;Player control changes to $text$
set_national_flag;$text$ is set for this nation
remove_national_flag;$text$ is unset for this nation
infamy;Infamy
change_province_owner;Change province owner to $text$
annex_effect;Annex $text$
annexed_by_effect;Is annexed by $text$
