message_notify_rebels_defeat_label;Notify when defeating rebels?
message_settings_spectator;Preset: Spectate only
msg_revolt_title;Rebel Uprising
msg_revolt_1;$x$ rebels have risen up in the following provinces:
msg_revolt_2;$x$ rebels have risen up (unsuccessfully)
msg_war_title;War Declared
msg_war_1;$x$ has declared war on $y$, starting the $val$.
msg_wargoal_title;War Goal Added
msg_wargoal_1;$x$ has added to our war the following war goal:
msg_war_join_title;Nation joins war
msg_war_join_1;$x$ has joined the ongoing $val$
msg_war_becomes_great_title;War Escalates
msg_war_becomes_great_1;The $x$ has become the $y$
msg_siegeover_title;Siege finishes
msg_siegeover_1;The siege of $x$ has ended.
msg_siegeover_2;$y$ no longer controls the province.
msg_siegeover_3;$y$ rebels no longer control the province.
msg_siegeover_4;The province is now controlled by $y$.
msg_siegeover_5;The province is now controlled by $y$ rebels.
msg_new_crisis_title;Crisis Brewing
msg_new_crisis_1;A crisis is brewing over the ownership of $x$.
msg_new_crisis_2;A crisis is brewing over the colonization of $x$.
msg_tech_title;Technology Researched
msg_tech_1;$x$ has been researched, with the following effects:
msg_inv_title;Invention Discovered
msg_inv_1;$x$ has been discovered, with the following effects:
msg_fab_discovered_title;Fabrication Discovered
msg_fab_discovered_1;Our casus belli fabrication has been discovered, resulting in ?R$x$?! infamy.
msg_fab_discovered_2;$x$ has been discovered fabricating a casus belli on $y$
msg_fab_canceled_title;Fabrication Canceled
msg_fab_canceled_1;The casus belli we were fabricating has become invalid and fabrication has been canceled.
msg_fab_finished_title;Fabrication Complete
msg_fab_finished_1;We have finished fabricating a $x$ casus belli against $y$.
msg_leader_died_title;A Military Leader Has Died
msg_leader_died_1;One of our generals leading an army in $y$, $x$, has died.
msg_leader_died_2;One of our admirals commanding a navy in $y$, $x$, has died.
msg_peace_offer_accepted_title;Peace Offer Accepted
msg_peace_offer_accepted_1;$x$ has accepted a peace offer from $y$ as part of the $val$.
msg_peace_offer_rejected_title;Peace Offer Rejected
msg_peace_offer_rejected_1;$x$ has rejected a peace offer from $y$ as part of the $val$.
msg_upper_house_title;Upper House Formed
msg_upper_house_1;A new upper house has been assembled with the following composition:
msg_upper_house_2;$x$%: $y$
msg_election_start_title;Elections Starting
msg_election_start_1;The election will finish on $x$.
msg_dec_rel_title;Relations Worsened
msg_dec_rel_1;$x$ has decreased their relations with $y$.
msg_inc_rel_title;Relations Improved
msg_inc_rel_1;$x$ has improved their relations with $y$.
msg_add_sphere_title;Nation Sphered
msg_add_sphere_1;$x$ has added $y$ to their sphere of influence.
msg_rem_sphere_title;Nation Removed from Sphere
msg_rem_sphere_1;$x$ has removed $y$ from their sphere of influence.
msg_rem_sphere_2;$x$ has removed $y$ from the sphere of influence of $val$.
msg_op_dec_title;Opinion Decreased
msg_op_dec_1;$x$ has decreased $y$'s opinion of $val$.
msg_op_inc_title;Opinion Increased
msg_op_inc_1;$x$ has increased $y$'s opinion of them.
msg_expel_title;Advisors Expelled
msg_expel_1;$x$ has expelled $val$'s advisors to $y$.
msg_ban_title;Embassy Banned
msg_ban_1;$x$ has caused $val$'s embassy to $y$ to be banned.
msg_ban_2;This will last until $x$.
msg_discredit_title;Nation Discredited
msg_discredit_1;$x$ has caused $val$ to be discredited with $y$.
msg_discredit_2;This will last until $x$.
msg_ally_call_accepted_title;Alliance Honored
msg_ally_call_accepted_1;$x$ has honored their alliance with $y$ and joined the $val$.
msg_ally_call_declined_title;Alliance Dishonored
