PROV1;Sitka
PROV2;Yakutat
PROV3;Kenai
PROV4;Dutch Harbor
PROV5;Bethel
PROV6;Whitehorse
PROV7;Dawson
PROV8;Ross River
PROV9;Fort Simpson
PROV10;Inuvik
PROV11;Echo Bay
PROV12;Reliance
PROV13;Vancouver
PROV14;Vancouver Island
PROV15;Prince Rupert
PROV16;Glenora
PROV17;Atlin
PROV18;Fort Saint John
PROV19;Prince George
PROV20;Kelowna
PROV21;Vernon
PROV22;Edmonton
PROV23;Athabaska Landing
PROV24;Jasper
PROV25;Banff
PROV26;Calgary
PROV27;Denwood
PROV28;Fort MacLeod
PROV29;Medicine Hat
PROV30;Regina
PROV31;Stanley
PROV32;Prince Albert
PROV33;Asquith
PROV34;Saskatoon
PROV35;Maple Creek
PROV36;Winnipeg
PROV37;Churchill
PROV38;Indian Lakes
PROV39;Norway House
PROV40;Dauphin
PROV41;Brandon
PROV42;Pembina
PROV43;Arviat
PROV44;Coral Harbour
PROV45;Baffin Island
PROV46;Toronto
PROV47;Fort Severn
PROV48;Fort Albany
PROV49;Dryden
PROV50;Thunder Bay
PROV51;Sault Ste Marie
PROV52;Sudbury
PROV53;Barrie
PROV54;Windsor
PROV55;Hamilton
PROV56;Kingston
PROV57;Ottawa
PROV58;Montreal
PROV59;Nitchequon
PROV60;Fort Rupert
PROV61;Chicoutimi
PROV62;Sept-Îles
PROV63;Temiscaming
PROV64;Trois-Rivičres
PROV65;Quebec City
PROV66;Sherbrooke
PROV67;Rimouski
PROV68;Fredericton
PROV69;Bathurst
PROV70;Prince Edward Island
PROV71;Halifax
PROV72;Truro
PROV73;Cape Breton Island
PROV74;Saint Johns
PROV75;Millertown
PROV76;Hopedale
PROV77;St Pierre & Miquelon
PROV78;Seattle
PROV79;Spokane
PROV80;Walla Walla
PROV81;Portland
PROV82;Baker City
PROV83;Klamath Falls
PROV84;San Francisco
PROV85;Eureka
PROV86;Sacramento
PROV87;Monterey
PROV88;Mariposa
PROV89;Los Angeles
PROV90;San Diego
PROV91;Boise
PROV92;Coeur D'Alene
PROV93;Pocatello
PROV94;Carson City
PROV95;Elko
PROV96;Las Vegas
