CHI;Imperio Chino
CHI_democracy;Republica de China
USA;Estados Unidos
USA_proletarian_dictatorship;Estados Socialistas
USA_absolute_monarchy;Imperio Americano
USA_prussian_constitutionalism;Imperio Americano
USA_hms_government;Imperio Americano
CSA;Estados Confederados
CSA_fascist_dictatorship;Regimen Confederado
CSA_absolute_monarchy;Imperio Confederado
CSA_prussian_constitutionalism;Imperio Confederado
CSA_hms_government;Imperio Confederados
TEX;Tejas
ALD;Argelia
BYE;Byelorusia
UBD;Union de Provincias Balticas
SPA_ADJ;Española
