message_settings_options;Notificaciones
message_notify_rebels_defeat_label;Notificar cuando se derrota a un rebelde
message_settings_spectator;Plantilla: Espectador
msg_revolt_title;
msg_revolt_1;
msg_revolt_2;
msg_war_title;
msg_war_1;
msg_wargoal_title;
msg_wargoal_1;
msg_war_join_title;
msg_war_join_1;
msg_war_becomes_great_title;
msg_war_becomes_great_1;
msg_siegeover_title;
msg_siegeover_1;
msg_siegeover_2;
msg_siegeover_3;
msg_siegeover_4;
msg_siegeover_5;
msg_new_crisis_title;
msg_new_crisis_1;
msg_new_crisis_2;
msg_tech_title;
msg_tech_1;
msg_inv_title;
msg_inv_1;
msg_fab_discovered_title;
msg_fab_discovered_1;
msg_fab_discovered_2;
msg_fab_canceled_title;
msg_fab_canceled_1;
msg_fab_finished_title;
msg_fab_finished_1;
msg_leader_died_title;
msg_leader_died_1;
msg_leader_died_2;
msg_peace_offer_accepted_title;
msg_peace_offer_accepted_1;
msg_peace_offer_rejected_title;
msg_peace_offer_rejected_1;
msg_upper_house_title;
msg_upper_house_1;
msg_upper_house_2;
msg_election_start_title;
msg_election_start_1;
msg_dec_rel_title;
msg_dec_rel_1;
msg_inc_rel_title;
msg_inc_rel_1;
msg_add_sphere_title;
msg_add_sphere_1;
msg_rem_sphere_title;
msg_rem_sphere_1;
msg_rem_sphere_2;
msg_op_dec_title;
msg_op_dec_1;
msg_op_inc_title;
msg_op_inc_1;
msg_expel_title;
msg_expel_1;
msg_ban_title;
msg_ban_1;
msg_ban_2;
msg_discredit_title;
msg_discredit_1;
msg_discredit_2;
msg_ally_call_accepted_title;
msg_ally_call_accepted_1;
msg_ally_call_declined_title;
msg_ally_call_decline_1;
msg_alliance_declined_title;
msg_alliance_declined_1;
msg_alliance_starts_title;
msg_alliance_starts_1;
msg_alliance_ends_title;
msg_alliance_ends_1;
msg_access_refused_title;
msg_access_refused_1;
msg_access_granted_title;
msg_access_granted_1;
msg_access_canceled_a_title;
msg_access_canceled_a_1;
msg_access_canceled_b_title;
msg_access_canceled_b_1;
msg_wsub_start_title;
msg_wsub_start_1;
msg_wsub_end_title;
msg_wsub_end_1;
msg_new_gp_title;
msg_new_gp_1;
msg_lost_gp_title;
msg_lost_gp_1;
msg_decision_title;
msg_decision_1;
msg_decision_2;
msg_rebels_win_title;
msg_rebels_win_1;
msg_rebels_win_2;
msg_rebels_win_3;
msg_rebels_win_4;
msg_rebels_win_5;
msg_rebels_win_6;
msg_election_end_title;
msg_election_end_1;
msg_election_end_2;
msg_crisis_joffer_accepted;
msg_crisis_joffer_accepted_1;
msg_crisis_joffer_rejected;
msg_crisis_joffer_reject_1;
msg_crisis_settled_title;
msg_crisis_settled_1;
msg_crisis_not_settled_title;
msg_crisis_not_settled_1;
msg_crisis_escalates_title;
msg_crisis_escalates_1;
msg_crisis_fizzle_title;
msg_crisis_fizzle_1;
msg_crisis_fizzle_2;
msg_crisis_attacker_title;
msg_crisis_attacker_1;
msg_crisis_defender_title;
msg_crisis_defender_1;
msg_crisis_vol_join_title;
msg_crisis_vol_join_1;
msg_crisis_vol_join_2;
msg_entered_automatic_alliance_title;
msg_entered_automatic_alliance_1;
msg_chat_message_title;
msg_chat_message_1;
msg_chat_message_2;
msg_n_event_title;
msg_p_event_title;
msg_m_event_title;
msg_revolt;
msg_war_on_nation;
msg_war_by_nation;
msg_wargoal_added;
msg_siegeover_by_nation;
msg_siegeover_on_nation;
msg_colony_finished;
msg_reform_gained;
msg_reform_lost;
msg_ruling_party_change;
msg_upperhouse;
msg_electionstart;
msg_electiondone;
msg_breakcountry;
msg_peace_accepted_from_nation;
msg_peace_rejected_from_nation;
msg_peace_accepted_by_nation;
msg_peace_rejected_by_nation;
msg_mobilization_start;
msg_mobilization_end;
msg_factory_complete;
msg_rr_complete;
msg_fort_complete;
msg_naval_base_complete;
msg_province_event;
msg_national_event;
msg_major_event;
msg_invention;
msg_tech;
msg_leader_dies;
msg_land_combat_starts_on_nation;
msg_naval_combat_starts_on_nation;
msg_land_combat_starts_by_nation;
msg_naval_combat_starts_by_nation;
msg_movement_finishes;
msg_decision;
msg_lose_great_power;
msg_become_great_power;
msg_war_subsidies_start_by_nation;
msg_war_subsidies_start_on_nation;
msg_war_subsidies_end_by_nation;
msg_war_subsidies_end_on_nation;
msg_reparations_start_by_nation;
msg_reparations_start_on_nation;
msg_reparations_end_by_nation;
msg_reparations_end_on_nation;
msg_mil_access_start_by_nation;
msg_mil_access_start_on_nation;
msg_mil_access_end_by_nation;
msg_mil_access_end_on_nation;
msg_mil_access_declined_by_nation;
msg_mil_access_declined_on_nation;
msg_alliance_starts;
msg_alliance_ends;
msg_alliance_declined_by_nation;
msg_alliance_declined_on_nation;
msg_ally_called_accepted_by_nation;
msg_ally_called_declined_by_nation;
msg_discredit_by_nation;
