save_and_exit;Salir y Guardar
save;Guardar
exit;Salir
graphics_options;Opc. graficas
sound_options;Opc. de audio
controls_options;Opc. extra
message_settings_options;Opc. de mensajes
window_mode_label;Pantalla completa
map_projection;Proyeccion
map_projection_globe;Ortografica
map_projection_flat;Equirectangular
map_projection_globe_perspective;Vertical
dm_popup_label;Mens. diplomaticos como Pop-Ups
ui_scale;Escala de la interfaz
zoom_mode_label;Tipo de zoom
zoom_mode_panning;Panoramico
zoom_mode_inverted;Invertido
zoom_mode_centered;Centrado
zoom_mode_to_cursor;Al cursor
zoom_mode_away_from_cursor;Alej. del cursor
zoom_speed_label;Vel. del zoom
river_label;Rios
mute_on_focus_lost_label;Mutear cuando no esta enfocado
wasd_for_map_movement_label;WASD para moverse
vassal_color_label;Color de vasallos
vassal_color_inherit;Heredar
vassal_color_same;Igual
vassal_color_none;Ninguno
black_map_font_label;Fuente de mapa negra
edge_scrolling_label;Scroll al borde
color_blind_mode_label;Daltonismo
color_blind_mode_none;Ninguno
color_blind_mode_deutan;Deutan
color_blind_mode_protan;Protan
color_blind_mode_tritan;Tritan
color_blind_mode_achroma;Acroma
render_models_label;Mostrar modelos 3D
language_label;Lenguaje
fow_label;Neblina de guerra
railroad_label;Redes de ferrocarriles
master_volume_label;Volumen general
music_volume_label;Volumen de la musica
interface_volume_label;Volumen de la interfaz
effect_volume_label;Volumen de los efectos de sonido
fonts_label;Letra clasica
tooltip_mode_label;Sobrellevar tooltip
music_player_label;Reproductor de musica
gaussianblur_label;Desenfoque guassian
gamma_label;Gamma
map_label;Texto del mapa
map_label_0;Ninguna
map_label_1;Linear
map_label_2;Cuadratica
map_label_3;Cubica
map_label_4;Esferica
antialiasing_label;Antialiasing
spoilers_label;Tooltips Det. Extra
graphics_details_label;Graficos
graphics_details_0;Feo
graphics_details_1;Clasico
graphics_details_2;Moderno
disband_confirmation_label;Confirmar Elm. de unidad
