support_for_blank;$text$ támogatása
uh_support_for_blank;$text$ felsőházi támogatása
up_to;ig
scaled_support;arányos a $text$ támogatásával
scaled_unemployment;arányos a munkanélküliséggel
stockpile_of;a $text$ nemzeti készletére
create_general;Létrejön egy új tábornok
create_admiral;Új admirális jön létre
add_war_goal;$text$ háborús célt adunk $nation$ ellen
blank_loyalty;$text$ hűség
in_blank;$text$-ban
no_effect;Hatástalan
move_capital_to;Tőke áthelyezése ide
add_x_core;Adj hozzá $adj$ magot
add_core_to;Adja hozzá a magot
remove_x_core;Távolítsa el a $adj$ magot
remove_core_from;Távolítsa el a magot
change_name_to;Módosítsa a nevet a következőre: $text$
change_terrain_to;Terep módosítása $text$ értékre
change_rgo_production_to;Módosítsa az RGO-termelést a következőre: $text$
make_accepted_culture;A $text$ elfogadott kultúrává válik
primary_culture_changes_to;Az elsődleges kultúra a következőre változik: $text$
union_culture_accepted;Az ország elsődleges kulturális csoportjába tartozó összes kultúra elfogadottá válik
remove_accepted_culture;A $text$ megszűnik elfogadott kultúra lenni
increase_national_variable_by;A $text$ nemzeti változó növelése $értékkel$
decrease_national_variable_by;A $text$ nemzeti változó csökkentése $értékkel$
life_rating;Élettartam-besorolás
make_national_religion;A $text$ nemzeti vallássá válik
make_slave_state;Rabszolga állammá válik
make_slave_pop;Rabszolga lesz
research_points;Kutatási pontok
change_tech_school;A technológiai iskola a következőre változik: $text$
change_government_to;A kormány módosítása a következőre: $text$
add_to_treasury;Hozzáadva a kincstárhoz
war_exhaustion;Háborús kimerültség
become_blank;$text$ lesz
player_control_change;A lejátszó vezérlése a következőre változik: $text$
set_national_flag;$text$ ehhez a nemzethez van beállítva
remove_national_flag;A $text$ nincs beállítva ehhez a nemzethez
infamy;Aljasság
change_province_owner;Módosítsa a tartomány tulajdonosát a következőre: $text$
annex_effect;$text$ melléklet
annexed_by_effect;A $text$ melléklete
core_return;Az $adj$ magok visszakerülnek a $text$-ba
core_return_short;$adj$ magok visszakerülnek
change_province_controller;módosítsa a tartományvezérlőt a következőre: $text$
change_state_controller;módosítsa az állapotvezérlőt $text$-ra
pop_savings;Pop megtakarítás
leadership_points;Vezetői pontok
release_as_vassal;Engedd el a $text$-t vazallusként
end_alliance;Fejezze be a szövetséget a következővel: $text$
end_war_with;Fejezd be a háborút a $text$-al
enable_ideology;Ideológia engedélyezése ?Y$text$?!
enable_technology;Adj technológia ?Y$text$?!
