support_for_blank;$text$ 지지
uh_support_for_blank;상원에서 $text$ 지지
up_to;도달
scaled_support;지지율 $text$
scaled_unemployment;실업률
stockpile_of;$text$ 비축량
create_general;새 장군이 생성됨
create_admiral;새 제독이 생성됨
add_war_goal;$nation$에 대한 $text$ 전쟁 목표 추가
blank_loyalty;$text$ 충성도
in_blank;$text$에서
no_effect;효과 없음
move_capital_to;수도를 다음으로 이전
add_x_core;$adj$ 핵심주 추가
add_core_to;핵심주 추가 대상
remove_x_core;?Y$adj$?W 핵심주 제거
remove_core_from;세력권에서 제거
change_name_to;이름이 ?Y$text$?W(으)로 변경됨
change_terrain_to;지형이 ?Y$text$?W(으)로 변경됨
change_rgo_production_to;원자재가 ?Y$text$?W(으)로 변경됨
make_accepted_culture;$text$(은)는 수용 문화가 됨
primary_culture_changes_to;주요 문화가 ?Y$text$?W(으)로 변경됨
union_culture_accepted;주요 문화권 내의 모든 문화를 수용
remove_accepted_culture;$text$(은)는 더 이상 수용 문화가 아님
increase_national_variable_by;국가 변수 ?Y$text$?W 이(가) ?Y$value$?W만큼 증가
decrease_national_variable_by;국가 변수 ?Y$text$?W 이(가) ?Y$value$?W만큼 감소
life_rating;생활 수준
make_national_religion;?Y$text$?W(은)는 국교가 됨
make_slave_state;?Y노예주?W가 됨
make_slave_pop;?Y노예?W가 됨
research_points;연구 점수
change_tech_school;연구 학파가 ?Y$text$?W(으)로 변경됨
change_government_to;정부 형태가 ?Y$text$?W(으)로 변경됨
add_to_treasury;국고에 추가
war_exhaustion;전쟁 피로도
become_blank;?Y$text$?W(이)가 됨
player_control_change;플레이어 조작 국가가 $text$(으)로 변경됨
set_national_flag;국가 변수 $text$ 설정
remove_national_flag;국가 변수 $text$ 제거
infamy;악명
change_province_owner;주 소유자가 $text$(으)로 변경됨
annex_effect;$text$ 합병
annexed_by_effect;$text$에게 합병됨
core_return;$text$에 $adj$ 핵심주 반환
core_return_short;$adj$ 핵심주를 회복함
change_province_controller;주 통제자가 $text$(으)로 변경됨
change_state_controller;지역 통제자가 $text$(으)로 변경됨
pop_savings;POP 저축
leadership_points;지도력 점수
release_as_vassal;$text$(을)를 속국으로 해방
end_alliance;$text$와의 동맹 파기
end_war_with;$text$와 정전
enable_ideology;이념 ?Y$text$?! 활성화
enable_technology;기술 ?Y$text$?! 부여
enable_invention;발명 ?Y$text$?! 부여
change_ruling_party;집권당이 $text$(으)로 변경됨
remove_prov_mod;주 수정치 $text$ 제거
remove_nat_mod;국가 수정치 $text$ 제거
make_alliance;$text$와 동맹 체결
becomes_independent;$text$(이)가 독립국이 됨
release_as_independent;독립국 $text$ 해방
set_global_flag;전역 변수 $text$ 설정
remove_global_flag;전역 변수 $text$ 제거
change_national_value;국가 가치가 $text$(으)로 변경됨
become_civ;문명국이 됨
become_unciv;비문명국이 됨
free_slave_state;자유주가 됨
free_slave_pop;노예 해방
hold_election;선거 실시
issue_change;$issue$(이)가 $text$(으)로 변경됨
add_relative_income;마지막 수입을 국고에 추가
make_neutral;모든 동맹 해제, 모든 속국 해방
pop_size;POP 규모
move_pop_to;POP을 $text$(으)로 이동
change_pop_type;POP 유형이 $text$(으)로 변경됨
years_of_research;연구 연수
remove_mil_reforms;$value$개의 군사 개혁 제거
remove_econ_reforms;$value$개의 경제 개혁 제거
add_crime;범죄 $text$ 추가
remove_crime;활성화된 범죄 제거
perform_nationalization;국유화 실시
build_factory_in_capital;수도 주에 $text$ 건설
enable_great_wars;대전쟁 활성화됨
enable_world_wars;세계 대전 활성화됨
disable_great_wars;대전쟁을 더 이상 사용할 수 없음
disable_world_wars;세계 대전을 더 이상 사용할 수 없음
assimilate_pop;문화가 $text$(으)로 변경됨
assimilate_province;모든 문화가 $text$(으)로 변경됨
owner_primary_culture;소유국의 주요 문화
literacy;식자율
add_crisis_interest;현재 위기에 이해관계 추가
crisis_temperature_plain;위기 긴장도
militancy;호전성
consciousness;의식도
rgo_size;RGO 규모
trigger_every_revolt;모든 반란 촉발
call_allies;현재 전쟁에 동맹국 소집
truce_with;$text$와 휴전 체결, ?Y$y$?!까지 지속.
diplomatic_influence_with;$text$에 대한 외교 영향력
relations_with;$text$와의 관계
add_modifier_until;$date$까지 $text$ 획득
add_modifier;$text$ 획득
add_cb_months;$date$까지 $text$에 대한 $name$ 전쟁 명분 획득
add_cb_no_months;$text$에 대한 $name$ 전쟁 명분 획득
add_cb_reversed_months;$text$은(는) $date$까지 이 국가에 대한 $name$ 전쟁 명분을 가짐
add_cb_reversed_no_months;$text$이(가) 이 국가에 대한 $name$ 전쟁 명분 획득
remove_cb_reversed;$text$에 대한 모든 $name$ 전쟁 명분 상실
remove_cb;$text$은(는) 이 국가에 대한 $name$ 전쟁 명분 상실
set_national_variable_to;국가 변수 ?Y$text$?W 을(를) ?Y$value$?W(으)로 설정
event_fires;이벤트 $text$ 발생
event_fires_in_days;이벤트 $text$이(가) $value$일 내에 발생
railroad_in_capital;수도 철도 단계 ?G+1?!
railroad_in_capital_state;주도 철도 단계 ?G+1?!
fort_in_capital;수도 요새 단계 ?G+1?!
fort_in_capital_state;주도 요새 단계 ?G+1?!
university_in_capital;수도 대학 단계 ?G+1?!
university_in_capital_state;주도 대학 단계 ?G+1?!
bank_in_capital;수도 은행 단계 ?G+1?!
bank_in_capital_state;주도 은행 단계 ?G+1?!
railroad_level;철도 단계
fort_level;요새 단계
naval_base_level;해군 기지 단계
university_base_level;대학 단계
bank_base_level;은행 단계
apply;적용
ok;확인
close;닫기
delete;삭제
new;새로 만들기
reset;초기화
every;모든
ready;준비
any;임의
none;없음
random;무작위
neighboring_province;인접한 주
where;어디:
neighboring_nation;인접 국가
nation;국가
continent;대륙
same_continent;같은 대륙에
empty_neighboring_province;인접한 주 없음
poor_strata_pop;하층 계급 POP
middle_strata_pop;중산층 POP
rich_strata_pop;상류층 POP
pop;POP
owned_province;소유한 주
singular_nation;이 국가
singular_state;이 주
singular_province;이곳
singular_pop;이 POP
one_of_the_following;다음 효과 중 하나:
this_nation;이 국가
this_state;이 주
this_province;이곳
this_pop;이 POP
from_nation;국가로부터
from_state;주로부터
from_province;주로부터
from_pop;POP으로부터
province_in;주
this_nation_culture;주요 문화
from_nation_culture;이 국가의 주요 문화에서
cultural_union_nation;주요 문화의 문화 연합 국가
core_of;핵심 주
state_of;주
chance_of;변할 대상:
owner_of;소유자
controller_of;지배자
location_of_pop;POP 위치
nation_of_pop;이 POP이 속한 국가
capital_of;수도
containing_state;다음을 포함한 주
adjacent_sea;인접 해역
cultural_union_of;문화 연합
overlord_of;종주국
sphere_leader_of;세력권 지도자
crisis_state;위기 주
reb_independence_nation;독립 반란군
flashpoint_nation;당사국
rebel;반란군
flashpoint_tension_label;열점 긴장도
for_text;$text$에 대해
where_ideology_is;이념이 $text$
where_culture_is;문화가 $text$
where_religion_is;종교가 $text$
of_type;유형 $text$
no_nation;국가 없음
declare_war_on;$text$에 선전포고
attacker_wg_label;공격 측 전쟁 목표: $text$
defender_wg_label;방어 측 전쟁 목표: $text$
attacker_no_allies;공격 측 동맹은 호출되지 않음
attacker_yes_allies;공격 측 동맹이 호출됨
war_start_date_desc;전쟁은 ?Y$date$?!에 시작됨
cmp_ge;최소
cmp_le;최대
cmp_gt;초과
cmp_lt;미만
cmp_eq;같음
cmp_ne;같지 않음
cmp_has_eq;이미
cmp_has_ne;아직
cmp_has_lt;미만
cmp_has_gt;초과
cmp_has_ge;최소
cmp_has_le;최대
all_of_the_following;다음 모두:
any_of_the_following;다음 중 하나:
nation_at_war_against;전쟁 중
core_in;핵심 지역
colonial_pop;식민지에 위치
substate_of;하위 국가는 다음에 속함
nation_in_sphere;세력권에 속함
year;년
month;월
a_port;항구
national_rank;국제 순위
att_technology;연구
strata;계층
rich;부유층
poor;빈곤층
middle;중산층
minimum_state_life_raing;지역 최소 생활 조건
an_empy_adj_prov;인접한 주가 없음
belongs_to_same_state;같은 $text$ 주
does_not_belong_to_same_state;다른 $text$ 주
contains_blank;$text$ 있음
does_not_contain_blank;$text$ 없음
times_target_needs_spending;시간 지출
unemployment;실업률
slavery;노예제
allowed;허용
a_slave_state;노예주
a_slave;노예
an_independent_nation;독립국
non_prim_culture_pops;비주요 문화 인구
government;정부
capital;수도
technology_school;기술 학교
primary_culture;주요 문화
primary_culture_pop;인구의 주요 문화
an_accepted_culture;수용 문화
culture;문화
dominant_culture;주요 문화
a_primary_or_accepted;주요 문화 및 수용 문화
rebel_culture;반란군 문화
this_nation_prim_culture;인구의 주류 또는 수용 문화
from_nation_prim_culture;이 국가 출신 인구의 주류 또는 수용 문화
culture_group;문화권
dominant_culture_group;주요 문화권
primary_culture_group;주요 문화권
a_core_ob;핵심 지역이 속함
rebel_culture_group;반란군 문화권
this_nation_culture_group;같은 문화권에 속함
from_nation_culture_group;같은 문화권 출신
rebel_religion;반란군 종교
this_nation_religion;국교
from_nation_religion;국교 출신
province_terrain;주 지형
a_secondary_power;식민 열강
owner;소유자
an_active_rebel;활동 중인 반란군 집단
a_member_of;구성원
unclaimed_cores;주인 없는 핵심 지역
a_cultural_union;문화 연합
union_for_pop;인구의 문화 연합
union_for_nation;국가의 문화 연합
the_rebel_ind_nation;독립을 선언한 국가
capitalists_can_build;자본가의 공장 건설 허용
capitalists_cannot_build;자본가의 공장 건설 금지
at_war;전쟁 중
total_blockade;전면 봉쇄
owns;소유함
does_not_own;소유하지 않음
controls;통제함
does_not_control;통제하지 않음
a_core_in;핵심 지역이 있음
a_core_of;핵심 지역
a_core_of_owner;주인이 있는 핵심 지역
located_in_a_core_of;핵심 지역에 위치
percentage_reb_control;반란군이 통제하는 주 비율
num_of_reb_control;반란군이 통제하는 주 수
num_owned_provinces;보유한 주 수
num_provinces_owned_by;소속된 주 수
num_of_ports;항구 수
num_of_allies;동맹국 수
num_of_vassals;속국 수
owned_by;속함
exists;존재함
does_not_exist;존재하지 않음
att_set;설정됨
in;에 있음
located_in;위치함
the_owner_of_region;모든 주의 소유자
a_casus_belli_against;전쟁 명분
military_access_with;군사 통행권
prestige_of;위신
prestige;위신
a_railroad;철도
a_fort;요새
a_naval_base;해군 기지
a_factory;공장
empty;없음
blockaded;봉쇄됨
national_modifier;국가 수정치
provincial_modifier;주 수정치
part_of;소속
a_border_with;인접함
units_in_province;주에 위치
units_in_the_province;해당 주에 위치
units_in_the_state;해당 지역에 위치
at_war_against;교전 중
num_of_divisions;사단 수
an_ongoing_battle;진행 중인 전투
treasury;국고
o_treasury;소유자 국고
o_of_prov;현지 소속
percentage_unowned_cores;미소유 코어 비율
a_vassal;속국
ruling_party_ideology;집권당 이념
ruling_party;집권당
enabled;활성화됨
political_reform_desire;정치 개혁 요구
social_reform_desire;사회 개혁 요구
num_of_ships;함선 수
crime_percent;주 범죄율 비율
national_religion;국교
member_of_nat_religion;국교 구성원
dominant_religion;주요 종교
same_rel_as_this;동일 종교
this_pop_culture;이 POP 문화
this_nation_primary_culture;이 국가의 주 문화
this_nation_accepted_culture;이 국가의 수용 문화
coastal;해안
in_sphere_of;세력권 내
a_producer_of;생산함
next_reform;다음 개혁
always;항상
never;절대 안 함
percentage_recruited;POP 징집 비율
in_cultural_core_prov;같은 문화 코어가 있는 주에 있음
nationalism;민족주의
overseas;해외
overseas_pop;해외 주에 위치
controlled_by_rebel;반란군이 통제함
controlled_by;통제됨
state_capital;지역 수도
loc_state_capital;수도에 위치
a_truce_with;휴전 중
att_population;인구
size;규모
pops_of_type;POP 유형
of_type_plain;유형
ai_controlled;AI 제어
a_leader_named;지휘관 이름이
a_possible_vassal;가능한 속국:
a_vassal_of;속국으로 속함:
a_substate_of;종속국이 속한 대상:
allied_to;동맹 중
has_recently_lost_war;최근 전쟁에서 패배함
has_not_recently_lost_war;최근 전쟁에서 패배하지 않음
mobilized;동원됨
mobilization_size;동원 규모
admin_spending;행정 지출
greater_than_edu_spending;교육 지출보다 큼
support_for_rp;집권당 지지도
colonial;식민지
in_default_to;채무 불이행 상태
in_bnkrpt;파산
num_of_ports_connected;수도와 연결된 항구 수
holding_an_election;선거 실시 중
set_globally;전 세계적으로 설정됨
national_value;국가 가치
industrial_score;산업 점수
industrial_score_of;산업 점수:
military_score;군사 점수
military_score_of;군사 점수:
civilized;문명화됨
percent_occupied;점령된 주 비율
rich_tax;상류층 세금
middle_tax;중산층 세금
poor_tax;하류층 세금
soc_spending;사회 지출
edu_spending;교육 지출
mil_spending;군사 지출
colonies;식민지
dominant_ideology;주요 이념
dominant_issue;주요 쟁점
poor_militancy;하류층 전투성
middle_militancy;중산층 전투성
rich_militancy;상류층 전투성
gt_poor_tax;하류층 세금보다 큼
cultural_union;문화 연합
same_cultural_union;같은 문화 연합에 속함
non_accepted_pops;비수용 POP
crime;범죄
num_substates;종속국 수
num_vassals_no_substates;종속국이 아닌 속국 수
num_regiments;연대 수
owner_num_regiments;소유자의 연대 수
num_regiments_of;부대 수가 다음에 속함:
times_num_regiments_of;$x$ *기존 여단 수
fabricating_on;전쟁 명분 위조:
cb_discovered;전쟁 명분 위조가 발각됨
cb_not_discovered;전쟁 명분 위조가 아직 발각되지 않음
cb_progress;전쟁 명분 위조 진행도
civ_progress;문명화 진행도
constructing_a;위조
casus_belli;전쟁 명분
nation_in_scope;범위 내 국가
a_substate;속국
gw_enabled;대전쟁 활성화됨
gw_not_enabled;대전쟁 비활성화됨
ww_enabled;세계 대전 활성화됨
ww_not_enabled;세계 대전 비활성화됨
can_perform_nationalization;국유화 가능
cannot_perform_nationalization;국유화 불가
in_sphere;세력권 안에 있음
num_states;주 수
a_releasable_vassal;해방 가능한 속국
recent_immigration;최근 이민
num_control_days;지배 일수
disarmed;무장 해제됨
social_mov_support;사회 운동 지지
political_mov_support;정치 운동 지지
a_member_of_social_mov;사회 운동 구성원
a_member_of_political_mov;정치 운동 구성원
cultural_sphere_members;세력권 구성원이 같은 문화권 내에 있음
pops;POP
this_pop_religion;이 POP의 종교
pops_with;이 POP은 다음을 가짐
life_needs_satisfaction;생필품 수요 충족
everyday_needs_satisfaction;일상용품 수요 충족
luxury_needs_satisfaction;사치품 수요 충족
present_in_state;주에 존재함
flashpoint;분쟁 지역
plurality_pop;이 POP이 속한 국가의 다원성
an_ongoing_crisis;진행 중인 위기
there;여기
current_crisis;현재 위기
liberation_crisis;해방 위기
claim_crisis;영유권 위기
involved_in_crisis;위기에 개입 중
poor_life_needs_satisfaction;하층 계급 생필품 수요 충족
poor_everyday_needs_satisfaction;하층 계급 일상용품 수요 충족
poor_luxury_needs_satisfaction;하층 계급 사치품 수요 충족
middle_life_needs_satisfaction;중산층 생필품 수요 충족
middle_everyday_needs_satisfaction;중산층 일상용품 수요 충족
middle_luxury_needs_satisfaction;중산층 사치품 수요 충족
rich_life_needs_satisfaction;상류층 생필품 수요 충족
rich_everyday_needs_satisfaction;상류층 일상용품 수요 충족
rich_luxury_needs_satisfaction;상류층 사치품 수요 충족
dip_influence_over;외교 영향력:
relationship_with;관계:
this_pop_type;이 POP 유형
nat_variable;국가 변수
support_in_uh;상원 지지
support_in;다음에 충성함
scope_province;범위 내 주
able_build_rr;현지에 철도 건설 가능
able_build_fort;현지에 요새 건설 가능
able_build_naval_base;현지에 해군 기지 건설 가능
work;노동
available_for;다음에 적합함:
support;지지
percentage;비율
stockpile;비축
this_nat_religion;이 국가의 국교
from_nat_religion;이 국가의 국교로부터
event_show_requirements;이 이벤트의 조건:
event_only_other_requirements;이 이벤트는 다른 이벤트에 의해서만 발동됨
event_show_odds;이벤트 확률
value_mod_product;$val$ 결과:
value_mod_sum;$val$ 합계:
value_mod_sum_factor;영향력 $val$ 은(는) $x$(곱)임:
admin_explain_1;행정 효율 수정치: $val$
admin_explain_2;본토 관료 비율에 적용됨: $val$
admin_explain_3;필요한 관료 인구 비율: $val$(기본 $x$ + 개혁으로부터 $y$)
factory_condition_1;이 국가는 문명화됨
factory_condition_2;이 주는 식민지 주가 아님
factory_condition_3;집권당이 공장 건설을 허용함
factory_condition_4;이 주에 위치한 공장이 $val$개 미만임
cant_subsidize_explanation;집권당이 공장 보조금을 허용하지 않음
percent_of_pop_strata;해당 계층 인구의 $val$
cant_prioritize_explanation;집권당이 공장 우선순위를 고정함
factory_upgrade_condition_1;이 국가는 문명화됨
factory_upgrade_condition_2;이 주는 식민지 주가 아님
factory_upgrade_condition_3;이 공장 건설에 필요한 기술 조건을 충족함
factory_upgrade_condition_4;당신의 국가는 열강이며, 대상 국가는 아님
factory_upgrade_condition_5;투자 대상은 문명화됨
factory_upgrade_condition_6;투자 대상의 집권당이 외국인 투자를 허용함
factory_upgrade_condition_7;투자 대상이 당신과 전쟁 중이 아님
factory_upgrade_condition_8;집권당이 공장 확장을 허용함
factory_upgrade_condition_9;공장이 확장 중이 아님
factory_upgrade_condition_10;공장이 최대 단계가 아님
factory_delete_header;공장 철거
factory_delete_not_allowed;집권당이 공장 철거를 허용하지 않음
factory_stats_4;어제 이익 $val$을(를) 냄
factory_stats_5;투입 효율성
factory_stats_6;수정된 가용 투입물:
factory_stats_wage;임금:
factory_stats_expenses;총지출
factory_stats_desired_income;목표 수입(지출의 101%)
speed;$val$ km/h
shift_to_hold_open;?YShift?W를 누르고 있으면 이 창을 계속 열어둡니다, ?Y오른쪽 Shift 클릭?W으로 각 주에 건설(단, 확장은 하지 않음)
factory_upgrade_shortcuts;?YSHIFT+좌클릭?W으로 이 지역의 ?G모든?W 공장을 업그레이드\n?YSHIFT+우클릭?W으로 이 지역의 ?G모든 수익성 있는?W 공장을 업그레이드\n?YCTRL+좌클릭?W으로 이 국가의 ?G모든?W 공장을 업그레이드\n?YCTRL+우클릭?W으로 이 국가의 ?G모든 수익성 있는?W 공장을 업그레이드\n?YCTRL+SHIFT+좌클릭?W으로 이 지역의 ?G모든 수익성 있고 정원이 찬?W 공장을 업그레이드\n?YCTRL+SHIFT+우클릭?W으로 이 지역의 ?G모든 수익성 있고 정원이 찬?W 공장을 업그레이드
blank_org_gain;조직도 획득
plurality_change_reason;(평균 의식도 기준)
revanchism_reason;획득하지 못한 코어 주를 기준으로 함(주체 문화 코어 보정이 더 높음)
allow_reform_cond;요구 사항:
reform_effect_if_desc;활성화 시, 만약
reform_effect_then_desc;그러면
reform_effect_desc;활성화 시:
special_rules;특수 규칙:
voting_rules;투표 규칙:
hide_decision;이 결의 알림 숨기기
sup_point_gain;월간 탄압 점수 증가: ?G+$val$
sup_point_explain;출처: 기본 비율 $x$× 관료로부터 $y$× 탄압 점수 수정치로부터 $val$
pop_size_1;다음 달 인구집단 변화 예상:
pop_size_2;성장으로부터:
pop_size_3;승강직으로부터:
pop_size_4;동화로부터:
pop_size_5;국내 이주로부터:
pop_size_6;식민 이주로부터:
pop_size_7;해외 이민으로부터:
pop_size_8;선교로부터:
pop_l_migration_header;?Y이주: $val$
pop_l_c_migration_header;?Y식민 이주: $val$
pop_l_emigration_header;?Y해외 이민: $val$
pop_mig_1;국내 식민지 이민 없음
pop_mig_2;노예는 절대 이주하지 않음
pop_mig_3;국내 잠재 이주자 수=인구집단 규모*이주 규모($x$)*현지 이주 물결 규모 보정($y$)*이주 계수($val$)
pop_mig_4;?Y이주 요인:
pop_cmig_1;이 나라에는 식민지가 없음
pop_cmig_2;식민지 주에서 오는 식민 이주 없음
pop_cmig_3;노예는 식민 이주를 하지 않음
pop_cmig_4;부유층은 식민 이주를 하지 않음
pop_cmig_5;공장 노동자는 식민 이주를 하지 않음
pop_cmig_6;식민지로 이주할 가능 인원 수=인구집단 규모*이주 규모($x$)*현지 이주 물결 규모 보정($y$)*현지 식민 이주 보정(매력도)($num$)*식민 이주 계수($val$)
pop_cmig_7;?Y식민 이주 요인:
pop_emg_1;인구집단은 문명국에서만 이민할 수 있음
pop_emg_2;식민지 이민 없음
pop_emg_3;노예는 절대 이주하지 않음
pop_emg_4;?해외?! 문화가 없는 인구집단은 이민할 수 없음
pop_emg_5;가능 이민자 수=인구집단 규모*이주 규모($x$)*현지 이주 물결 규모 보정($y$, 1보다 크면 제곱)*해외 이민 계수($val$)
pop_emg_6;?Y이민 요인:
pop_prom_1;?Y승직 계수:?!
pop_prom_2;국가 중점으로부터: ?G$val$
pop_prom_3;0(국가 중점으로 인해)
pop_prom_4;?Y강직 계수:?!
pop_prom_5;이 인구집단은 승직 계수가 강직 계수보다 크므로 승직 중입니다
