WARSUBSIDIES_DI;전쟁 보조금 제안
CANCEL_WARSUBSIDIES_DI;전쟁 보조금 취소
ASKMILITARYACCESS_DI;군사 통행권 요청
CANCELASKMILITARYACCESS_DI;군사 통행권 요청 취소
GIVEMILITARYACCESS_DI;군사 통행권 제공
CANCELGIVEMILITARYACCESS_DI;군사 통행권 제공 취소
ALLIANCE_DI;동맹 제안
CANCELALLIANCE_DI;동맹 파기
CALLALLY_DI;동맹국 호출
DISCREDIT_DI;신용 훼손
EXPELADVISORS_DI;고문 추방
BANEMBASSY_DI;대사관 폐쇄
INCREASEOPINION_DI;의견 향상
DECREASEOPINION_DI;의견 하락
ADDTOSPHERE_DI;세력권 편입
REMOVEFROMSPHERE_DI;세력권에서 제외
INCREASERELATION_DI;관계 개선
DECREASERELATION_DI;관계 악화
GUNBOAT_DI;포함 외교
WAR_DI;전쟁
WARGOAL_DI;전쟁 목표 추가
PEACE_DI;평화 제안
TOPBAR_LEADERSHIP_MAX;이미 지휘력의 최대치인 §Y$MAX$§W에 도달하여 더 이상 지휘력이 축적되지 않습니다.\n
IS_MOBILIZED_IRO;(예비역이 동원됨)
ADD_CRIME;§Y$NAME$§W을(를) 얻습니다.\n
TOPBAR_WAR_PLUS;그리고 그들의 위성국 및 자치령.\n
CANTBUILD_FORCEDISARM;우리는 군비를 강제 제한하는 평화 조약 하에 있으므로 새로운 군사 부대를 창설할 수 없습니다.
SOME_LIFE_NEEDS;생필품 욕구 일부 충족됨
TOPBAR_AVG_CHANGE;다음 달 동안 $VAL$§W만큼 변동할 것으로 예상됩니다.
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;일일 기본 연구 점수: §Y$VALUE$§W
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;일일 연구 점수: §G+$VALUE$§W
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$이(가) §G$VALUE$§W의 연구 점수를 제공합니다.\n(인구의 §Y$FRACTION$%§W, 최적 비율은 $OPTIMAL$%입니다.)
average_literacy;문해율
MODIFIER_RESEARCH_POINTS;연구 점수
gas;가스 공격
COMBAT_GAS;적에게 가스 공격을 방어할 기술이 없을 때 가스 공격은 파괴적인 결과를 낳을 수 있습니다.
MAY_GAS_ATTACK;가스 공격 사용 가능\n
MAY_GAS_DEFEND;가스 공격 방어 가능\n
IMMIGRANTS_FROM;$NAME$에서 §G$VAL$§W명의 이민자가 유입되었습니다.
EMIGRANTS_TO;§R$VAL$§W명이 $NAME$(으)로 이민을 떠났습니다.
PW_ALL_FOCUSES_USED;모든 국가 중점이 이미 사용 중입니다.
HAS_NO_FACTORIES;공장이 없음.\n
HAS_FACTORIES;공장이 있음.\n
RETREAT_DELAY_IRO;자발적인 후퇴가 가능해질 때까지 아직 §Y$VAL$§W일이 남았습니다.
PW_CANTCOLONIZE;아직 이곳을 식민지화할 수 없습니다.
IS_COLONIAL_STATE_POPVIEW;식민 주
CULTURE_IS_NOT;다음 문화가 아님:
CULTURE_IS;문화가 다음과 같음:
INVALID_WARTARGET_TROOPS_IN_THEM;우리 부대가 그들의 국경 내에 있습니다.
WEX_EFFECTS;현재 효과
NOBODY_CAN_VOTE_HERE;아무도 투표할 수 없습니다.
NOT_ABLE_TO_REINFORCE;이 POP은 규모가 너무 작아 이 여단을 충원할 수 없습니다.
