REB;반군
ALB;알바니아
BOS;보스니아-헤르체고비나
BUL;불가리아
CRO;크로아티아
CYP;키프로스
GRE;그리스
MOL;몰다비아
MON;몬테네그로
ROM;루마니아
SER;세르비아
TUR;오스만
WAL;왈라키아
SWI;스위스
SLO;슬로베니아
AUS;오스트리아
BOH;보헤미아-모라비아
DZG;단치히
KRA;크라쿠프
CRI;크리미야
EST;에스토니아
HUN;헝가리
LIT;리투아니아
LAT;라트비아
POL;폴란드
RUS;러시아
SLV;슬로바키아
RUT;루테니아
SIE;트란실바니아
UKR;우크라이나
GER;독일
NGF;북독일
SGF;남독일
BAD;바덴
BAV;바이에른
BRA;브라운슈바이크 
BRE;브레멘
FRM;프랑크푸르트암마인
HAM;함부르크
HAN;하노버
HES;헤센-다름슈타트
HEK;헤센-카셀
HOL;홀슈타인
LUB;뤼베크
LUX;룩셈부르크
OLD;올덴부르크
PRU;프로이센
SAX;작센
SCH;슐레스비히
WUR;뷔르템베르크
COB;작센-코부르크-고타
LIP;리페-데트몰트
MEC;메클렌부르크
ITA;이탈리아
LOM;롬바르디아
PAR;파르마
MOD;모데나
PAP;로마냐
SAR;샤르데냐-피에몬테
SIC;양시칠리아
TUS;토스카나
VEN;베네치아
DEN;덴마크
FIN;핀란드
NOR;노르웨이
SCA;스칸디나비아
SWE;스웨덴
BEL;벨기에
CAT;카탈루냐
ENG;그레이트브리튼
FLA;플란데런
WLL;왈롱
FRA;프랑스
IRE;아일랜드
NET;네덜란드
POR;포르투갈
SCO;스코틀랜드
SPA;에스파냐
PER;페르시아
NEJ;네지드
AFG;아프가니스탄
EGY;이집트
KHI;히바
BUK;부하라
KOK;코콘
OMA;오만
YEM;예멘
ABU;아부다비
TRA;트라방코르
MYS;마이소르
HYD;하이데라바드
NAG;나그푸르
BAS;바스타르
ORI;오리사
BUN;분델칸드
AWA;아와드
GWA;괄리오르
BHO;보팔
IND;인도르
JAI;자이푸르
MEW;메와르
JOD;조드푸르
BER;베로다
KUT;쿠치
SIN;신드
MAK;마크란
KAL;칼라트
JAS;자이살메르
BIK;비카네르
PAN;펀자브
SHI;심라
LAD;라다크
KAS;카슈미르
NEP;네팔
SIK;시킴
BHU;부탄
ETH;에티오피아
LIB;라이베리아
REMOVE_ALD;
MOR;모로코
TRI;트리폴리타니아
SOK;소코토
ZUL;줄루
SAF;남아프리카
MAD;마다가스카르
CHI;중국
JAP;일본
KOR;조선
TIB;티베트
SIA;시암
CAM;캄보디아
BUR;버마
DAI;대남
BRU;브루나이
BAL;발리
JOH;조호르
JAV;자바
AST;오스트레일리아
NZL;뉴질랜드
HAW;하와이
USA;아메리카
CSA;아메리카
CAN;캐나다
TEX;텍사스
CAL;캘리포니아
COL;컬럼비아
NEN;뉴잉글랜드
MEX;멕시코
CUB;쿠바
DOM;도미니카
HAI;아이티
UCA;중앙아메리카
PNM;파나마
HON;온두라스
ELS;엘살바도르
GUA;과테말라
NIC;니카라과
COS;코스타리카
DES;데저릿
QUE;퀘벡
MTC;메티스
VNZ;베네수엘라
BRZ;브라질
URU;우루과이
PRG;파라과이
ARG;아르헨티나
CHL;칠레
PEU;페루
BOL;볼리비아
CLM;콜롬비아
ATJ;아체
HDJ;헤자즈
ECU;에콰도르
TUN;튀니지
NAL;나탈리아
ORA;오라녜
TRN;트란스발
LUA;루앙프라방
WIA;위앙짠
NEW;뉴펀들랜드
ZAN;잔지바르
NAS;나사우
ANH;안할트
WEI;작센-바이마르
MEI;작센-마이닝겐
MAN;맨해튼
CRE;크레타
ION;이오니아제도
TRE;트리에스테
ARM;아르메니아
GEO;그루지야
CHE;체로키
MUG;무굴
LUC;루카
KUK;오스트리아-헝가리
KUK_ADJ;오스트리아 헝가리령
REB_ADJ;반군령
GER_ADJ;독일령
ENG_ADJ;영국령
RUS_ADJ;러시아령
USA_ADJ;미국령
JAP_ADJ;일본령
FRA_ADJ;프랑스령
ITA_ADJ;이탈리아령
DEN_ADJ;덴마크령
EST_ADJ;에스토니아령
FIN_ADJ;핀란드령
LAT_ADJ;라트비아령
LIT_ADJ;리투아니아령
NOR_ADJ;노르웨이령
SCA_ADJ;스칸디나비아령
SWE_ADJ;스웨덴령
BEL_ADJ;벨기에령
FLA_ADJ;플란데런령
NET_ADJ;네덜란드령
IRE_ADJ;아일랜드령
LUX_ADJ;룩셈부르크령
SCO_ADJ;스코틀랜드령
WLL_ADJ;왈롱령
AUS_ADJ;오스트리아령
CRO_ADJ;크로아티아령
HUN_ADJ;헝가리령
POL_ADJ;폴란드령
ROM_ADJ;루마니아령
SLV_ADJ;슬로바키아령
SLO_ADJ;슬로베니아령
SWI_ADJ;스위스령
POR_ADJ;포르투갈
SPA_ADJ;에스파냐령
ALB_ADJ;알바니아령
BOS_ADJ;보스니아령
BUL_ADJ;불가리아령
GRE_ADJ;그리스령
MON_ADJ;몬테네그로령
SER_ADJ;세르비아령
SIE_ADJ;트란실바니아령
UKR_ADJ;우크라이나령
AFG_ADJ;아프가니스탄령
ARM_ADJ;아르메니아령
GEO_ADJ;그루지야령
OMA_ADJ;오만령
TUR_ADJ;오스만령
PER_ADJ;페르시아령
YEM_ADJ;예멘령
CHI_ADJ;중국령
KOR_ADJ;조선령
TIB_ADJ;티베트령
BRU_ADJ;브루나이령
BUR_ADJ;버마령
CAM_ADJ;캄보디아령
ALD_ADJ;알제리령
EGY_ADJ;이집트령
MOR_ADJ;모로코령
TUN_ADJ;튀니지령
LIB_ADJ;라이베리아령
ETH_ADJ;에티오피아령
MAD_ADJ;마다가스카르령
SAF_ADJ;남아프리카령
AST_ADJ;오스트레일리아령
NZL_ADJ;뉴질랜드령
CAL_ADJ;캘리포니아령
CAN_ADJ;캐나다령
CSA_ADJ;연합국령
QUE_ADJ;퀘벡령
CUB_ADJ;쿠바령
COS_ADJ;코스타리카령
DOM_ADJ;도미니카령
GUA_ADJ;과테말라령
HAI_ADJ;아이티령
HON_ADJ;온두라스령
NIC_ADJ;니카라과령
PNM_ADJ;파나마령
ELS_ADJ;엘살바도르령
ARG_ADJ;아르헨티나령
BOL_ADJ;볼리비아령
BRZ_ADJ;브라질령
CHL_ADJ;칠레령
CLM_ADJ;콜롬비아령
ECU_ADJ;에콰도르령
MEX_ADJ;켁시코령
PRG_ADJ;파라과이령
PEU_ADJ;페루령
TEX_ADJ;텍사스령
URU_ADJ;우루과이령
VNZ_ADJ;베네수엘라령
CAT_ADJ;카탈루냐령
BAV_ADJ;바이에른령
PRU_ADJ;프로이센령
SGF_ADJ;남독일령
CRE_ADJ;크레타령
CRI_ADJ;크림령
RUT_ADJ;루테니아령
CYP_ADJ;키프로스령
NEP_ADJ;네팔령
UCA_ADJ;중앙아메리카령
HAW_ADJ;하와이령
SIA_ADJ;시암령
CHE_ADJ;체로키령
BHU_ADJ;부탄령
JAV_ADJ;자바령
BAL_ADJ;발리령
MUG_ADJ;무굴령
MOL_ADJ;몰다비아령
WAL_ADJ;왈라키아령
DAI_ADJ;베트남령
COL_ADJ;컬럼비아령
WIA_ADJ;위앙짱령
ZUL_ADJ;툴루령
ZAN_ADJ;잔지바르령
HAN_ADJ;하노버령
SIC_ADJ;시칠리아령
HES_ADJ;헤센-다름슈타트령
OLD_ADJ;올덴부르크령
MOD_ADJ;모데나령
COB_ADJ;작센-코부르크-고타령
MEI_ADJ;작센-마이닝겐
WEI_ADJ;작센-바이마르령
SAX_ADJ;작센령
BOH_ADJ;보헤미아-모라비아령
VEN_ADJ;베네치아령
LOM_ADJ;롬바르디아려령
HEK_ADJ;헤센-카셀령
MEC_ADJ;메클렌부르크령
NGF_ADJ;남독일령
WUR_ADJ;뷔르템부르크령
ABU_ADJ;아부다비령
ANH_ADJ;안할트령
ATJ_ADJ;아체령
AWA_ADJ;아와드령
BAS_ADJ;바스타르령
BER_ADJ;베로다령
BHO_ADJ;보팔령
BIK_ADJ;비카네르령
BRA_ADJ;브라운슈바이크령
BRE_ADJ;브레멘령
BUK_ADJ;부하라령
BUN_ADJ;분델칸드령
DES_ADJ;데저트령
FRM_ADJ;프랑크푸르트암마인령
GWA_ADJ;괄리오르령
HAM_ADJ;함부르크령
HDJ_ADJ;헤자즈령
HOL_ADJ;홀슈타인령
HYD_ADJ;하이데라바드
IND_ADJ;인도르령
ION_ADJ;이오니아령
JAI_ADJ;자이푸르령
JAS_ADJ;자이살메르령
JOD_ADJ;조드푸르령
JOH_ADJ;조호르령
KAL_ADJ;칼라트령
KAS_ADJ;카슈미르령
KHI_ADJ;히바령
KOK_ADJ;코콘령
KRA_ADJ;크라쿠프령
KUT_ADJ;쿠치령
LAD_ADJ;라다크령
LIP_ADJ;리페-데트몰트령
LUA_ADJ;루앙프라방령
LUB_ADJ;뤼베크령
LUC_ADJ;루카령
MAK_ADJ;마크란령
MAN_ADJ;맨해튼령
MEW_ADJ;메와령
MTC_ADJ;메티스령
MYS_ADJ;마이소르령
NAG_ADJ;나그푸르령
NAL_ADJ;나탈리아령
NAS_ADJ;나사우령
NEJ_ADJ;네지드령
NEN_ADJ;뉴잉글랜드령
NEW_ADJ;뉴펀들랜드령
ORA_ADJ;오라녜령
ORI_ADJ;오리사령
PAN_ADJ;펀자브령
PAP_ADJ;로마냐령
PAR_ADJ;파르마령
SAR_ADJ;샤르데냐-피에몬테령
SCH_ADJ;슐레스비히령
SHI_ADJ;심라령
SIK_ADJ;시킴령
SIN_ADJ;신드령
SOK_ADJ;소코토령
TRA_ADJ;트라방코르령
