MULTI_SEL_DESC;현재 선택 영역에서 여러 부대를 선택하려면 §GSHIFT+좌클릭§!을 하십시오.
SM_DETAILS;세부 정보
DISBAND_ALL;선택된 모든 부대 해산
DISBAND_ALL_TITLE;모든 부대 해산
DISBAND_ALL_DESC;정말로 §Y$NUM$§!개의 부대를 §R해산§!하시겠습니까?
DATE_DIFF_A;$Y$년 $M$개월 $D$일
DATE_DIFF_B;$M$개월 $D$일
DATE_DIFF_C;$D$일
torpedo_attacks;어뢰 공격
TORPEDO_ATTACK;어뢰 공격
TORPEDO_ATTACK_DESC;어뢰 공격은 거대한 함선들에게 추가 피해를 줍니다.
NAVAL_COMBAT_STACK_PENALTY_DESC;함대 내의 열악한 통신으로 인한 §Y협동 불이익 §R$PEN$%§Y가 우리의 함선들이 목표를 찾는 것을 더 어렵게 만듭니다. 아군 함선과 잠재적인 표적의 수에 영향을 받습니다.§!
BP_TAB_CURRENT;현재 계획
BP_TAB_HISTORICAL;역사적 계획
BP_TOOL_COLOR_RED;빨간색
BP_TOOL_COLOR_GREEN;초록색
BP_TOOL_COLOR_BLUE;파란색
BP_TOOL_COLOR_YELLOW;노란색
BP_TOOL_ARROW_SLIM;얇은 화살표
BP_TOOL_ARROW_MEDIUM_1;중간 화살표 1
BP_TOOL_ARROW_MEDIUM_2;중간 화살표 2
BP_TOOL_ARROW_MEDIUM_3;중간 화살표 3
BP_TOOL_ARROW_THICK;굵은 화살표
BP_TOOL_BORDER_1;경계선 유형 1
BP_TOOL_BORDER_2;경계선 유형 2
BP_TOOL_BORDER_3;경계선 유형 3
BP_TOOL_BORDER_4;경계선 유형 4
BP_TOOL_BORDER_5;경계선 유형 5
BP_TOOL_ICON_AIRPLANE;항공기 아이콘
BP_TOOL_ICON_TANK;전차 아이콘
BP_TOOL_ICON_BOMB_1;작은 폭탄 아이콘
BP_TOOL_ICON_BOMB_2;큰 폭탄 아이콘
BP_SAVE_PLAN_CONFIRM;계획 저장
BP_SAVE_PLAN_CANCEL;취소
BP_SAVE_PLAN_PROMPT;작전 계획이 이미 존재합니다!\n덮어쓰시겠습니까?
BP_DELETE_SAVED_PLAN_PROMPT;저장된 작전 계획을 정말로 삭제하시겠습니까?
BP_DELETE_CURRENT_PLAN_PROMPT;현재 작전 계획을 정말로 삭제하시겠습니까?
BP_SHARED_WITH;공유 대상:
BP_NEW_PLAN;새 계획
BP_TOOLTIP_TAB_CURRENT;현재 작전 계획의 목록입니다.
BP_TOOLTIP_TAB_HISTORICAL;역사적 작전 계획의 목록입니다.\n선택한 계획을 현재 계획에 추가하려면 §Y가져오기§!를 클릭하십시오.
BP_TOOLTIP_TAB_SAVED;저장된 작전 계획의 목록입니다.\n선택한 계획을 현재 계획에 추가하려면 §Y가져오기§!를 클릭하십시오.
BP_TOOLTIP_NEW_PLAN;새 계획을 생성합니다.
BP_TOOLTIP_REMOVE_PLAN;현재 선택된 계획을 삭제합니다.
BP_TOOLTIP_SHARE_PLAN;현재 선택한 계획을 §G동맹국§!과 §Y공유§!할지 설정합니다.
BP_TOOLTIP_SAVE_PLAN;현재 선택된 계획을 파일로 저장합니다.
BP_TOOLTIP_RENAME_PLAN;현재 선택된 계획의 이름을 변경합니다.
BP_TOOLTIP_IMPORT_PLAN;선택한 계획을 현재 계획에 추가합니다.
BP_TOOLTIP_TOOL_SELECT;선택할 객체를 클릭하십시오.
BP_TOOLTIP_TOOL_ARROW;화살표 유형을 선택하고, §Y좌클릭§!으로 지도에 그리십시오.\n§YShift§! + §Y좌클릭§!을 유지하면 화살표를 다른 곳에 연결할 수 있습니다.
BP_TOOLTIP_TOOL_BORDER;경계선 유형을 선택하고, §Y좌클릭§!으로 지도에 그리십시오.
BP_TOOLTIP_TOOL_ICON;아이콘 유형을 선택하고, §Y좌클릭§!으로 지도에 그리십시오.\n§YShift§! + §Y마우스 휠§!을 사용하여 아이콘을 회전시킵니다.
