EVTNAME5002;스탠리 컵
EVTDESC5002;캐나다 자치령의 총독으로 부임한 프레스턴의 스탠리 경은 아이스하키에 매우 큰 흥미를 느꼈습니다. 원래 자치령 하키 챌린지 컵(Dominion Hockey Challenge Cup)이라 새겨져 있던 이 트로피는 1892년에 그가 캐나다 최고 아마추어 아이스하키 클럽에게 주는 상으로 기증한 것입니다.
EVTOPTA5002;인기가 많아질지도 모르겠군...
EVTNAME5001;축구 월드컵
EVTDESC5001;우루과이가 막 제1회 축구 월드컵을 개최하여 대성공을 거두었습니다. 비록 유럽에서 이곳까지 올 수 있었던 국가가 많지 않았지만, 훌륭한 축구 경기가 펼쳐졌습니다. 그리고 무엇보다 중요한 것은, 우루과이가 아르헨티나를 4-2로 꺾고 우승을 차지했다는 점입니다!
EVTOPTA5001;우루과이에 영광을!
EVTNAME5000;제1회 FA컵 개최
EVTDESC5000;치열하고 스릴 넘치는 경기 속에서 제1회 FA컵이 오늘 런던의 켄싱턴 오벌(Kensington Oval)에서 열렸습니다. 놀랍게도 $PROVINCENAME$ 앨비언(Albion)이 퀸스 파크(Queens Park)를 상대로 1-0 승리를 거두었습니다. 스파이더스(Spiders)는 경기 내내 훌륭한 스포츠맨십을 보여주었지만, 결국 후반전 앨프리드 구드윈(Alfred Goodwyn)에게 내준 골로 패배하고 말았습니다.
EVTOPTA5000;빈민들이 좋아할지도 모르겠군!
DEFINE_ADMIRAL_EFFECT;§Y제독 $NAME$§W ($PER$ $BAC$)을(를) 영입합니다.\n
DEFINE_GENERAL_EFFECT;§Y장군 $NAME$§W ($PER$ $BAC$)을(를) 영입합니다.\n
DO_NOT_HAVE_TECH_TRI;§Y$TECH$§W을(를) 발명하지 않음.\n
HAVE_TECH_TRI;§Y$TECH$§W을(를) 발명함.\n
NO_RAIL_YET;철도 건설 방법을 아직 알지 못하는데 철도 건설을 장려할 수는 없습니다.
NOT_DISC_THESE_YET;아직 발명되지 않은 산업을 장려할 수는 없습니다.
WAR_WE_ACCEPT_HEADER;외무부 장관의 보고서
WAR_WE_ACCEPT_1;전쟁!
WAR_WE_ACCEPT_2;$MONARCHTITLE$이시여, 저 $BADWORD$ 같은
WAR_WE_ACCEPT_3;$AGRESSOR$이(가) 전쟁을 선포했습니다,
WAR_WE_ACCEPT_4;우리를 상대로 말입니다! 전투를 준비하십시오...
WAR_WE_ACCEPT_5;*
WAR_WE_ACCEPT_6;*
WAR_WE_ACCEPT_LOG;$AGRESSOR$이(가) 우리에게 전쟁을 선포했습니다!
WAR_WE_ACCEPT_BTN1;확인
WAR_WE_ACCEPT_BTN2;확인
WAR_WE_ACCEPT_BTN3;이동
WAR_WE_ACCEPT_MAP;전쟁!
WAR_OTHER_ACCEPT_SETUP;어느 국가가 다른 국가에게 전쟁을 선포했을 때
WAR_OTHER_ACCEPT_HEADER;외무부 장관의 보고서
WAR_OTHER_ACCEPT_1;$AGRESSOR$
WAR_OTHER_ACCEPT_2;$MONARCHTITLE$이시여, $AGRESSOR$이(가)
WAR_OTHER_ACCEPT_3;전쟁을 선포했습니다,
WAR_OTHER_ACCEPT_4;자신들의 새로운 적,
WAR_OTHER_ACCEPT_5;$DEFENDER$을(를) 상대로 말입니다.
WAR_OTHER_ACCEPT_6;*
WAR_OTHER_ACCEPT_LOG;$AGRESSOR$이(가) $DEFENDER$에 전쟁을 선포했습니다.
WAR_OTHER_ACCEPT_BTN1;확인
WAR_OTHER_ACCEPT_BTN2;확인
WAR_OTHER_ACCEPT_BTN3;이동
DECLWAR_LIMITED;이 전쟁은 제한전입니다.
WAR_THEY_ACCEPT_SETUP;우리가 다른 국가에 전쟁을 선포했을 때
WAR_THEY_ACCEPT_HEADER;외무부 장관의 보고서
WAR_THEY_ACCEPT_1;우리는 다음 국가에 전쟁을 선포했습니다:
WAR_THEY_ACCEPT_2;$DEFENDER$
WAR_THEY_ACCEPT_3;*
WAR_THEY_ACCEPT_4;*
WAR_THEY_ACCEPT_5;*
WAR_THEY_ACCEPT_6;*
WAR_THEY_ACCEPT_LOG;우리가 $DEFENDER$에 전쟁을 선포했습니다.
WAR_THEY_ACCEPT_BTN1;확인
WAR_THEY_ACCEPT_BTN2;확인
WAR_THEY_ACCEPT_BTN3;이동
WAR_THEY_ACCEPT_MAP;전쟁!
LOSE_CORE_EFFECT_2;$WHO$ 국가가 $LOSE$에 대한 핵심주를 상실합니다.\n
INFRA_LEVEL_HERE;기반 시설 수준: §Y$VAL$%§W.
fascist_group;파시스트 정당
conservative_group;보수주의 및 반동주의 정당
socialist_group;사회주의 및 공산주의 정당
liberal_group;자유주의 및 무정부적 자유주의 정당
