Elisabethville;엘리자베트빌
Leopoldville;레오폴드빌
Stanleyville;스탠리빌
Salisbury;솔즈베리
Southern Rhodesia;남로디지아
Brazzaville;브라자빌
Friedrich-Wilhelmshafen;프리드리히빌헬름스하펜
Kaiser-Wilhelms-Land;카이저빌헬름스란트
Constantinople;콘스탄티노폴리스
Arkham;아캄
Kolmar;콜마르
Straßburg;슈트라스부르크
Elsaß-Lothringen;알자스-로트링겐
Colmar;콜마르
Strasbourg;스트라스부르
Alsace-Lorraine;알자스-로렌
Blagoveshchensk;블라고베셴스크
Nikolayevsk-na-amure;니콜라옙스크나아무레
Khabarovsk;하바롭스크
Pashkovo;파시코보
Vladivostok;블라디보스토크
Primorye;프리모리예
Babylon;바빌론
Little Bighorn;리틀빅혼
Apache Raiders;아파치 약탈자
Local native groups are raiding our settlements in $PROVINCENAME$;$PROVINCENAME$의 우리 정착지가 현지 원주민 집단의 습격을 받고 있습니다.
Johannesburg;요하네스버그
American War of Independence;미국 독립전쟁
Ottoman Restoration of Tripoli;오스만의 트리폴리 수복
Texan War of Independence;텍사스 독립전쟁
