PROV1;싯카
PROV2;야쿠타트
PROV3;키나이
PROV4;더치하버
PROV5;베셀
PROV6;화이트호스
PROV7;도슨
PROV8;로스리버
PROV9;포트심슨
PROV10;이누비크
PROV11;에코베이
PROV12;릴라이언스
PROV13;밴쿠버
PROV14;새니치
PROV15;프린스루퍼트
PROV16;글레노라
PROV17;애틀린
PROV18;포트세인트존
PROV19;프린스조지
PROV20;켈로우나
PROV21;버논
PROV22;에드먼턴
PROV23;애서배스카랜딩
PROV24;재스퍼
PROV25;밴프
PROV26;캘거리
PROV27;덴우드
PROV28;포트맥리어드
PROV29;메디슨해트
PROV30;리자이나
PROV31;스탠리
PROV32;프린스앨버트
PROV33;애스퀴스
PROV34;새스커툰
PROV35;메이플크릭
PROV36;위니펙
PROV37;처칠
PROV38;인디언레이크
PROV39;노르웨이하우스
PROV40;도핀
PROV41;브랜든
PROV42;펨비나
PROV43;아비애트
PROV44;에코베이
PROV45;배핀랜드
PROV46;토론토
PROV47;포트세번
PROV48;포트앨버니
PROV49;드라이든
PROV50;선더베이
PROV51;수세인트마리
PROV52;서드버리
PROV53;배리
PROV54;윈저
PROV55;해밀턴
PROV56;킹스턴
PROV57;오타와
PROV58;몬트리올
PROV59;니셰퀀
PROV60;포트루퍼트
PROV61;시쿠투미
PROV62;세틸
PROV63;티미스캐밍
PROV64;트루아리비에르
PROV65;퀘벡
PROV66;셔브루크
PROV67;리무스키
PROV68;프레더릭턴
PROV69;배서스트
PROV70;프린스에드워드
PROV71;핼리팩스
PROV72;트루로
PROV73;케이프브레턴
PROV74;세인트존즈
PROV75;밀러타운
PROV76;호프데일
PROV77;생피에르미클롱
PROV78;시애틀
PROV79;스포캔
PROV80;왈라왈라
PROV81;포틀랜드
PROV82;베이커시티
PROV83;클래머스폴스
PROV84;샌프란시스코
PROV85;유레카
PROV86;새크라멘토
PROV87;몬테레이
PROV88;마리포사
PROV89;로스엔젤레스
PROV90;샌디에이고
PROV91;보이시
PROV92;코덜레인
PROV93;포커텔로
PROV94;카슨시티
PROV95;엘코
PROV96;라스베이거스
PROV97;솔트레이크시티
PROV98;로아
PROV99;모앱
PROV100;피닉스
PROV101;플랙스태프
PROV102;투산
PROV103;산타페
PROV104;앨버커키
PROV105;라스크루서스
PROV106;덴버
PROV107;그랜드정션
PROV108;앨라모사
PROV109;푸에블로
PROV110;체이옌
PROV111;코디
PROV112;캐스퍼
PROV113;보즈먼
PROV114;미줄러
PROV115;그레이트폴스
PROV116;빌링스
PROV117;비즈마크
PROV118;마이놋
PROV119;디킨슨
PROV120;수폴스
PROV121;듀프리
PROV122;래피드시티
PROV123;오마하
PROV124;얼라이언스
PROV125;노스플래트
PROV126;토피카
PROV127;굿랜드
PROV128;위치타
PROV129;오클라호마시티
PROV130;탤리콰
PROV131;오크멀지
PROV132;휴스턴
PROV133;오스틴
PROV134;댈러스
PROV135;러벅
PROV136;엘파소
PROV137;샌앤토니오
PROV138;라레도
PROV139;뉴올리언스
PROV140;배턴루지
PROV141;레이크찰스
PROV142;슈리브포트
PROV143;리틀록
PROV144;핫스프링스
PROV145;페이엇빌
PROV146;세인트루이스
PROV147;조플린
PROV148;맬든
PROV149;제퍼슨시티
PROV150;캔자스시티
PROV151;디모인
PROV152;오스칼루사
PROV153;세더래핏스
PROV154;수시티
PROV155;미니애폴리스
PROV156;그래나이트펄스
PROV157;무어헤드
PROV158;덜루스
PROV159;밀워키
PROV160;오클레어
PROV161;그린베이
PROV162;매디슨
PROV163;시카고
PROV164;록퍼드
PROV165;샴페인
PROV166;피오리아
PROV167;스프링필드
PROV168;카번데일
PROV169;인디애나폴리스
PROV170;에번즈빌
PROV171;사우스벤드
PROV172;포트웨인
PROV173;디트로이트
PROV174;그랜드래피즈
PROV175;새기노
PROV176;트래버스시티
PROV177;마켓
PROV178;클리브랜드
PROV179;콜럼버스
PROV180;샌더스키
PROV181;데이턴
PROV182;신시내티
PROV183;마리에타
PROV184;루이빌
PROV185;렉싱턴
PROV186;볼링그린
PROV187;퍼두커
PROV188;내슈빌
PROV189;멤피스
PROV190;녹스빌
PROV191;채터누가
PROV192;잭슨
PROV193;빅스버그
PROV194;빌럭시
PROV195;몽고메리
PROV196;터스컬루사
PROV197;모빌
PROV198;털러해시
PROV199;세인트어거스틴
PROV200;탬파
PROV201;애틀란타
PROV202;밸도스타
PROV203;버뮤다
PROV204;서배너
PROV205;찰스턴
PROV206;컬럼비아
PROV207;그린빌
PROV208;롤리
PROV209;샬럿
PROV210;윌밍턴
PROV211;리치먼드
PROV212;매너서스
PROV213;프레더릭스버그
PROV214;노퍽
PROV215;스턴튼
PROV216;로어노크
PROV217;휠링
PROV218;헌팅턴
PROV219;볼티모어
PROV220;워싱턴
PROV221;헤이거즈타운
PROV222;도버
PROV223;필라델피아
PROV224;스크랜턴
PROV225;윌리엄스포트
PROV226;해리스버그
PROV227;피츠버그
PROV228;이어리
PROV229;뉴어크
PROV230;트렌턴
PROV231;애틀랜틱시티
PROV232;뉴욕
PROV233;롱아일랜드
PROV234;앨버니
PROV235;빙엄턴
PROV236;버팔로
PROV237;로체스터
PROV238;시러큐스
PROV239;워터타운
PROV240;플래츠버그
PROV241;하트퍼드
PROV242;프로비던스
PROV243;보스턴
PROV244;뉴베드퍼드
PROV245;피츠필드
PROV246;벌링턴
PROV247;컨코드
PROV248;루이스턴
PROV249;뱅거
PROV250;캐리부
PROV251;누크
PROV252;아이슬란드
PROV253;페로제도
PROV254;벨파스트
PROV255;런던데리
PROV256;아마
PROV257;도니골
PROV258;골웨이
PROV259;슬라이고
PROV260;코크
PROV261;리머릭
PROV262;워터퍼드
PROV263;더블린
PROV264;킬데어
PROV265;웩스퍼드
PROV266;애버딘
PROV267;인버니스
PROV268;던디
PROV269;에딘버러
PROV270;스털링
PROV271;글래스고
PROV272;덤프리스
PROV273;카디프
PROV274;카디건
PROV275;랜드린도드
PROV276;홀리헤드
PROV277;리버풀
PROV278;맨체스터
PROV279;칼라일
PROV280;뉴캐슬어폰타인
PROV281;헐
PROV282;리즈
PROV283;셰필드
PROV284;버밍엄
PROV285;체스터
PROV286;슈루즈베리
PROV287;코번트리
PROV288;노팅엄
PROV289;레스터
PROV290;링컨
PROV291;케임브리지
PROV292;입스위치
PROV293;쳄스퍼드
PROV294;옥스퍼드
PROV295;세인트올번스
PROV296;브리스틀
PROV297;솔즈베리
PROV298;바스
PROV299;플리머스
PROV300;런던
PROV301;캔터베리
PROV302;브라이튼
PROV303;사우스햄턴
PROV304;맨
PROV305;트론헤임
PROV306;보되
PROV307;함메르페스트
PROV308;올레순
PROV309;베르겐
PROV310;크리스티안산
