LEDGER_COUNTRY_NAME;국가
LEDGER_COUNTRY_MILSCORE;군사 점수
LEDGER_COUNTRY_INDSCORE;산업 점수
LEDGER_COUNTRY_PRESTIGE;위신
LEDGER_COUNTRY_TOTALSCORE;총점
LEDGER_HEADER_PROVINCES;프로빈스
LEDGER_PROVINCE_NAME;프로빈스
LEDGER_PROVINCE_TOTALPOP;총 인구
LEDGER_PROVINCE_AVGMIL;평균 투쟁성
LEDGER_PROVINCE_AVGCON;평균 의식
LEDGER_PROVINCE_AVGLIT;평균 문해율
LEDGER_PROVINCE_RELIGION;종교
LEDGER_PROVINCE_CULTURE;문화
LEDGER_PROVINCE_ISSUE;쟁점
LEDGER_PROVINCE_IDEOLOGY;이념
LEDGER_HEADER_PROVINCE_POPS;프로빈스 인구
LEDGER_HEADER_ARMY;육군
LEDGER_ARMY_NAME;육군
LEDGER_ARMY_INFANTRY;보병
LEDGER_ARMY_CAVALRY;기병
LEDGER_ARMY_ARTILLERY;포병
LEDGER_HEADER_GOODS_PRICEHISTORY;가격 기록
LEDGER_COUNTRY_STATUS;지위
LEDGER_HEADER_COUNTRYCOMPARE;국가 비교
LEDGER_COUNTRY_TOTAL_POP;총 인구
LEDGER_COUNTRY_PROVCOUNT;프로빈스
LEDGER_COUNTRY_FACTORYCOUNT;공장
LEDGER_COUNTRY_LITERACY;문해율
LEDGER_COUNTRY_LEADERSHIP;지휘력
LEDGER_COUNTRY_DIVISIONS;여단
LEDGER_COUNTRY_SHIPS;함선
LEDGER_HEADER_COUNTRYPARTY;정치 체제
LEDGER_COUNTRY_GOVERNMENT;정부
LEDGER_COUNTRY_NATIONALVALUE;국가 가치
LEDGER_COUNTRY_RULINGPARTY;집권당
LEDGER_COUNTRY_RULINGIDEOLOGY;정당 이념
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;정치 개혁
LEDGER_HEADER_COUNTRYSOCIALREFORMS;사회 개혁
LEDGER_HEADER_COUNTRY_POPS;국가 인구
LEDGER_HEADER_PROVINCEPRODUCTION;프로빈스 생산
LEDGER_STATE_NAME;주
LEDGER_GOODS;상품
LEDGER_OUTPUT;산출량
LEDGER_INCOME;수입
LEDGER_EMPLOYED;고용 인원
LEDGER_LEVEL;레벨
LEDGER_HEADER_FACTORYPRODUCTION;공장 생산
BUDGET;예산
BUDGET_TAX_POOR;세금(빈곤층)
BUDGET_TAX_POOR_DESC;
BUDGET_TAX_MIDDLE;세금(중산층)
BUDGET_TAX_MIDDLE_DESC;
BUDGET_TAX_RICH;세금(부유층)
BUDGET_TAX_RICH_DESC;
BUDGET_TOTAL_FUNDS;총 자금
BUDGET_TOTAL_DEBT;총 부채
BUDGET_TAKE_LOAN;대출 받기
BUDGET_REPAY_LOAN;대출 상환
BUDGET_DAILY_INCOME;일일 수입
BUDGET_DAILY_EXPENSES;일일 지출
BUDGET_MILITARY_COST;군사 비용
BUDGET_NATIONAL_STOCKPILE;국가 비축량
BUDGET_INDUSTRIAL_SUBSIDIES;산업 보조금
BUDGET_TARIFFS;관세
BUDGET_DAILY_BALANCE;예상 일일 수지
BUDGET_GOLD_DESC;
BUDGET_MIL_COST_DESC;
BUDGET_NAT_STOCK_DESC;
BUDGET_IND_SUP_DESC;
BUDGET_EDUCATION_DESC;
BUDGET_ADMIN_DESC;
BUDGET_SOCIAL_SPEND_DESC;
BUDGET_MIL_SPEND_DESC;
BUDGET_TARIFF_DESC;
BUDGET_TOTAL_FUNDS_DESC;
BUDGET_BALANCE_DESC;
BUDGET_DEBT_DESC;
BUDGET_NATIONAL_BANK_DESC;
BUDGET_INTEREST_DESC;
BUDGET_CLOSE_WINDOW;예산 창을 닫습니다
BUDGET_TOTAL_EXPENSE;총 지출: §Y$VAL$§W
BUDGET_SLIDER_ADMINISTRATION;행정: §Y$VAL$§W
BUDGET_EXPENSE_SLIDER_EDUCATION;교육: §Y$VAL$§W
BUDGET_SLIDER_SOCIAL_SPENDING;사회 지출: §Y$VAL$§W
BUDGET_SLIDER_MILITARY_SPENDING;군사 지출: §Y$VAL$§W
BUDGET_INTEREST;이자: §Y$VAL$§W
REMOVE_BUDGET_IMPORTS;수입: §Y$VAL$§W
BUDGET_SUPPLYCOSTS;보급 비용: §Y$VAL$§W
BUDGET_TAX;§Y$VAL$§W
BUDGET_BASE_TAX;기본 조세 효율: §Y$VAL$§W%
BUDGET_TECH_TAX;기술 효과: §Y$VAL$§W%
BUDGET_STRATA_NEED;§Y$VAL$§W%가 $TYPE$을(를) 충족하고 있습니다
BUDGET_STRATA_NO_NEED;§Y$VAL$§W%가 어떠한 욕구도 충족하지 못하고 있습니다.
BUDGET_TOTAL_INCOME;총 수입: §Y$VAL$§W
TAXES_POOR;빈곤층 세금: §Y$VAL$§W
TAXES_MIDDLE;중산층 세금: §Y$VAL$§W
TAXES_RICH;부유층 세금: §Y$VAL$§W
TARIFFS_INCOME;관세: §Y$VAL$§W
REMOVE_BUDGET_EXPORTS;수출: §Y$VAL$§W
BUDGET_GOLD;금: §Y$VAL$§W
BUDGET_ADMIN_EFFICIENCY;행정 효율: §Y$PERC$%§W
BUDGET_ADMIN_EFFICIENCY_DESC;인구의 §Y$PERC$%§W가 §Y관료§W입니다.\n최대 행정 효율을 달성하려면 최소 §Y$MAX$%§W의 관료가 필요합니다.§W\n
ADM_EXPLAIN_DESC;이 요구되는 비율은 다음을 기반으로 합니다.\n
SHADOWY_INVESTOR;민간 투자자
GUNBOAT_ALERT;$COUNTRY$이(가) 해군력을 동원해 우리에게 매일 $VALUE$¤의 대출금을 상환하도록 강요했습니다.
BUDGET_COUNTRY;국가
BUDGET_AMOUNT;금액
BUDGET_LOANS_TAKEN;대출한 금액
BUDGET_LOANS_GIVEN;대출해준 금액
DIPLOMATIC_BALANCE_DESC;외교 수지
BUDGET_LOAN_CANT_REPAY;대출금을 갚을 돈이 없습니다
BUDGET_CANT_LOAN;당신에게 빌려줄 돈이 없습니다
#;
WORLD_YEAR;서기 $YEAR$년의 세계
FE_PLAYABLE_COUNTRIES;플레이 가능한 국가
FE_COUNTRY;국가
FE_WARS;전쟁:
FE_POP;인구
FE_IDEOLOGY;이념
FE_INDUSTRY;산업:
FE_PRESTIGE;위신:
FE_RANK;순위
FE_SCORE;점수
######################################################################;
# Savegame transfers;
######################################################################;
SAVE_PROG;저장 진행률: $VALUE$ %
TRANSERING_SAVE;세이브 게임 전송 시작됨...
LOADING_LOCAL_SAVE;로컬 세이브 게임 복사본 불러오는 중...
PLR_DISC;§Y$NAME$§W 플레이어가 게임을 떠났습니다.
PLR_CONNECT;§Y$NAME$§W 플레이어가 게임에 참가했습니다.
REVERT_SAVE_CAL;기본 데이터베이스로 되돌리는 중.
SAVE_TRANSFER_DONE;세이브 게임 전송 완료.
######################################################################;
# Loading texts;
######################################################################;
LOADING_MAP_SPRITES;지도 스프라이트 불러오는 중...
LOADING_GUI_DEF;GUI 정의 불러오는 중...
LOADING_DATABASES;데이터베이스 불러오는 중...
LOADING_DATABASES2;데이터베이스 II 불러오는 중...
INIT_MAP_LOGIC;지도 논리 초기화 중...
CREATING_CHKSUM;체크섬 생성 중...
LOADING_HISTORY;역사 파일 불러오는 중...
LOADING_SOUNDS;소리 불러오는 중...
PROC_FLAGS;국기 처리 중...
LOAD_FLAGS;국기 불러오는 중...
LOAD_GFX;그래픽 불러오는 중...
CREATING_THE_WORLD;세계 생성 중...
CREATING_TREES;나무 생성 중...
CREATING_BORDERS;국경 생성 중...
CREATING_RIVERS;강 생성 중...
MAP_PROPERLY_INIT;지도 초기화 완료...
CREATING_PROVINCE;프로빈스 생성 중 #
CREATING_TEXTS;텍스트 생성 중...
LOAD_EVENTS;이벤트 불러오는 중...
ADAPTING_HISTORY;역사 적용 중...
CALC_PATHS;경로 계산 중...\n몇 분 정도 걸릴 수 있습니다.
FE_TOGGLE;빠른 시작
FE_TOGGLE_NORMAL;사용자 지정 시작
######################################################################;
######################################################################;
# Settings;
FE_SETTING_DIPLOMACY;외교
FE_SETTING_PRODUCTION;생산
FE_SETTING_POLITICS;정치
FE_SETTING_INTEL;첩보
FE_SETTING_TECHNOLOGY;기술
FE_SETTING_UNITINTERFACE;육군
DIFF_VERY_EASY;매우 쉬움
DIFF_EASY;쉬움
DIFF_NORMAL;보통
DIFF_HARD;어려움
DIFF_VERY_HARD;매우 어려움
######################################################################;
######################################################################;
# Misc;
CORE_PAUSED;일시 정지
SM_SETTINGS;설정
SM_GAME;게임
SM_VIDEO;비디오
SM_AUDIO;오디오
SM_CONTROLS;조작
SM_MASTER_VOLUME;전체 음량
SM_EFFECT_VOLUME;효과음 음량
SM_MUSIC_VOLUME;음악 음량
SM_SCROLL_SPEED;스크롤 속도
SM_ZOOM_SPEED;확대/축소 속도
SM_MOUSE_SPEED;마우스 속도
SM_RESOLUTION;해상도
