support_for_blank;obsługa $text$
uh_support_for_blank;wsparcie izby wyższej dla $text$
up_to;aż do
scaled_support;proporcjonalnie do wsparcia $text$
scaled_unemployment;proporcjonalnie do bezrobocia
stockpile_of;do krajowego zapasu $text$
create_general;Tworzy się nowego generała
create_admiral;Powstaje nowy admirał
add_war_goal;Cel wojenny $text$ zostaje dodany przeciwko $nation$
blank_loyalty;$tekst$ lojalność
in_blank;w $tekst$
no_effect;Bez efektu
move_capital_to;Przenieś kapitał do
add_x_core;Dodaj rdzeń $adj$
add_core_to;Dodaj rdzeń do
remove_x_core;Usuń rdzeń $adj$
remove_core_from;Usuń rdzeń z
change_name_to;Zmień nazwę na $text$
change_terrain_to;Zmień teren na $text$
change_rgo_production_to;Zmień produkcję RGO na $text$
make_accepted_culture;$text$ staje się akceptowaną kulturą
primary_culture_changes_to;Kultura podstawowa zmienia się na $text$
union_culture_accepted;Wszystkie kultury z podstawowej grupy kulturowej narodu zostają zaakceptowane
remove_accepted_culture;$text$ przestaje być akceptowaną kulturą
increase_national_variable_by;Zwiększ zmienną krajową $text$ o $value$
decrease_national_variable_by;Zmniejsz zmienną krajową $text$ o $value$
life_rating;Ocena życia
make_national_religion;$text$ staje się religią narodową
make_slave_state;Staje się państwem niewolniczym
make_slave_pop;Staje się niewolnikiem
research_points;Punkty badawcze
change_tech_school;Szkoła techniczna zmienia się na $text$
change_government_to;Rząd zmienia $text$
add_to_treasury;Dodano do skarbca
war_exhaustion;Wyczerpanie wojenne
become_blank;Staje się $text$
player_control_change;Kontrola gracza zmienia się na $text$
set_national_flag;Dla tego narodu ustawiono $text$
remove_national_flag;Wartość $text$ nie jest ustawiona dla tego kraju
infamy;Hańba
change_province_owner;Zmień właściciela prowincji na $text$
annex_effect;Załącznik $tekst$
annexed_by_effect;Jest załączony przez $text$
core_return;Rdzenie $adj$ są zwracane do $text$
core_return_short;Zwracane są rdzenie $adj$
change_province_controller;zmień kontroler prowincji na $text$
change_state_controller;zmień kontroler stanu na $text$
pop_savings;Popowe oszczędności
leadership_points;Punkty przywództwa
release_as_vassal;Zwolnij $text$ jako wasal
end_alliance;Zakończ sojusz za pomocą $text$
end_war_with;Zakończ wojnę za pomocą $text$
enable_ideology;Włącz ideologię ?Y$text$?!
enable_technology;Daj technologię?Y$text$?!
enable_invention;Daj wynalazek?Y$text$?!
change_ruling_party;Zmień partię rządzącą na $text$
remove_prov_mod;Usuń modyfikator prowincji $text$
remove_nat_mod;Usuń modyfikator narodowy $text$
make_alliance;Wejdź do sojuszu z $text$
becomes_independent;$text$ staje się niepodległym narodem
release_as_independent;Uwolnij $text$ jako niezależny naród
set_global_flag;Ustaw $text$ globalnie
remove_global_flag;Usuń ustawienie $text$ globalnie
change_national_value;Zmień wartość krajową na $text$
become_civ;Staje się cywilizowanym narodem
become_unciv;Staje się narodem niecywilizowanym
free_slave_state;Staje się wolnym państwem
free_slave_pop;Jest uwolniony z niewoli
