message_settings_spectator;Предустановка: только наблюдение
msg_revolt_title;Восстание повстанцев
msg_revolt_1;$x$ повстанцы поднялись в следующих провинциях:
msg_revolt_2;$x$ повстанцы восстали (безуспешно)
msg_war_title;Война объявлена
msg_war_1;$x$ объявил войну $y$, начав $val$.
msg_wargoal_title;Добавлена ​​цель войны
msg_wargoal_1;$x$ добавил в нашу войну следующую военную цель:
msg_war_join_title;Нация присоединяется к войне
msg_war_join_1;$x$ присоединился к продолжающемуся $val$
msg_war_becomes_great_title;Война обостряется
msg_war_becomes_great_1;$x$ стал $y$
msg_siegeover_title;Осада завершена
msg_siegeover_1;Осада $x$ закончилась.
msg_siegeover_2;$y$ больше не контролирует провинцию.
msg_siegeover_3;$y$ повстанцы больше не контролируют провинцию.
msg_siegeover_4;Теперь провинцией управляет $y$.
msg_siegeover_5;Провинция теперь контролируется повстанцами $y$.
msg_new_crisis_title;Назревание кризиса
msg_new_crisis_1;Назревает кризис вокруг владения $x$.
msg_new_crisis_2;Назревает кризис из-за колонизации $x$.
msg_tech_title;Исследованная технология
msg_tech_1;$x$ было исследовано со следующими эффектами:
msg_inv_title;Обнаружено изобретение
msg_inv_1;$x$ был обнаружен со следующими эффектами:
msg_fab_discovered_title;Обнаружено производство
msg_fab_discovered_1;Наша фабрикация повода для войны раскрыта, что привело к ?R$x$?! позор.
msg_fab_discovered_2;$x$ был обнаружен при фабрикации повода для войны по $y$
msg_fab_canceled_title;Изготовление отменено
msg_fab_canceled_1;Придуманный нами повод к войне стал недействительным, и производство было отменено.
msg_fab_finished_title;Изготовление завершено
msg_fab_finished_1;Мы закончили выдумывать $x$ повод для войны против $y$.
msg_leader_died_title;Умер военачальник
msg_leader_died_1;Один из наших генералов, возглавлявший армию в $y$, $x$, умер.
msg_leader_died_2;Один из наших адмиралов, командующий флотом в $y$, $x$, умер.
msg_peace_offer_accepted_title;Мирное предложение принято
msg_peace_offer_accepted_1;$x$ принял мирное предложение от $y$ как часть $val$.
msg_peace_offer_rejected_title;Мирное предложение отклонено
msg_peace_offer_rejected_1;$x$ отклонил мирное предложение от $y$ как часть $val$.
msg_upper_house_title;Сформирована Верхняя палата
msg_upper_house_1;Собран новый верхний дом следующего состава:
msg_upper_house_2;$x$%: $y$
msg_election_start_title;Выборы начинаются
msg_election_start_1;Выборы завершатся $x$.
msg_dec_rel_title;Отношения ухудшились
msg_dec_rel_1;$x$ уменьшило свои отношения с $y$.
msg_inc_rel_title;Улучшены отношения
msg_inc_rel_1;$x$ улучшили свои отношения с $y$.
msg_add_sphere_title;Сфера нации
msg_add_sphere_1;$x$ добавил $y$ в свою сферу влияния.
msg_rem_sphere_title;Нация удалена из сферы
msg_rem_sphere_1;$x$ удалил $y$ из своей сферы влияния.
msg_rem_sphere_2;$x$ удалил $y$ из сферы влияния $val$.
msg_op_dec_title;Мнение понизилось
msg_op_dec_1;$x$ снизил мнение $y$ о $val$.
msg_op_inc_title;Мнение возросло
msg_op_inc_1;$x$ повысил мнение о них у $y$.
msg_expel_title;Советники исключены
msg_expel_1;$x$ исключил советников $val$ в $y$.
msg_ban_title;Посольство забанено
msg_ban_1;$x$ привел к запрету посольства $val$ в $y$.
