PROV1;Ситка
PROV2;Якутат
PROV3;Кенай
PROV4;Датч-Харбор
PROV5;Вефиль
PROV6;Белая лошадь
PROV7;Доусон
PROV8;Росс Ривер
PROV9;Форт Симпсон
PROV10;Инувик
PROV11;Эхо Бэй
PROV12;Опора
PROV13;Ванкувер
PROV14;Остров Ванкувер
PROV15;Принц Руперт
PROV16;Гленора
PROV17;Атлин
PROV18;Форт Сент-Джон
PROV19;Принц Джордж
PROV20;Келоуна
PROV21;Вернон
PROV22;Эдмонтон
PROV23;Атабаска Лендинг
PROV24;Джаспер
PROV25;Банф
PROV26;Калгари
PROV27;Денвуд
PROV28;Форт МакЛауд
PROV29;Медицинская шляпа
PROV30;Регина
PROV31;Стэнли
PROV32;Принц Альберт
PROV33;Асквит
PROV34;Саскатун
PROV35;Мэйпл-Крик
PROV36;Виннипег
PROV37;Черчилль
PROV38;Индийские озера
PROV39;Норвегия Дом
PROV40;Дофин
PROV41;Брэндон
PROV42;Пембина
PROV43;Арвиат
PROV44;Корал Харбор
PROV45;Баффинов остров
PROV46;Торонто
PROV47;Форт Северн
PROV48;Форт Олбани
PROV49;Драйден
PROV50;Тандер-Бей
PROV51;Су-Сент-Мари
PROV52;Садбери
PROV53;Барри
PROV54;Виндзор
PROV55;Гамильтон
PROV56;Кингстон
PROV57;Оттава
PROV58;Монреаль
PROV59;Ничекон
PROV60;Форт Руперт
PROV61;Шикутими
PROV62;Сент-Иль
PROV63;Темискаминг
PROV64;Труа-Ривичрес
PROV65;Квебек
PROV66;Шербрук
PROV67;Римовский
PROV68;Фредериктон
PROV69;Батерст
PROV70;Остров Принца Эдуарда
PROV71;Галифакс
PROV72;Труро
PROV73;Остров Кейп-Бретон
PROV74;Сент-Джонс
PROV75;Миллертаун
PROV76;Хоупдейл
PROV77;Сен-Пьер и Микелон
PROV78;Сиэтл
PROV79;Спокан
PROV80;Уолла Уолла
PROV81;Портленд
PROV82;Бейкер Сити
PROV83;Кламат-Фолс
PROV84;Сан-Франциско
PROV85;Эврика
PROV86;Сакраменто
PROV87;Монтерей
PROV88;Марипоса
PROV89;Лос-Анджелес
PROV90;Сан Диего
PROV91;Бойсе
PROV92;Кёр-д'Ален
PROV93;Покателло
PROV94;Карсон Сити
PROV95;Элко
PROV96;Лас Вегас
PROV97;Солт-Лейк-Сити
PROV98;Лоа
PROV99;Моав
PROV100;Феникс
PROV101;Флагстафф
PROV102;Тусон
PROV103;Санта-Фе
PROV104;Альбукерке
PROV105;Лас-Крусес
PROV106;Денвер
PROV107;Гранд Джанкшен
PROV108;Аламоса
PROV109;Пуэбло
PROV110;Шайенн
PROV111;Коди
PROV112;Каспер
PROV113;Бозман
PROV114;Миссула
PROV115;Грейт-Фолс
PROV116;Биллингс
PROV117;Бисмарк
PROV118;Майнот
PROV119;Дикинсон
PROV120;Су-Фолс
PROV121;Дюпри
PROV122;Рапид Сити
PROV123;Омаха
PROV124;Альянс
PROV125;Норт-Платт
PROV126;Топика
PROV127;Гудленд
PROV128;Уичито
PROV129;Оклахома-Сити
PROV130;Талекуа
PROV131;Окмалги
PROV132;Хьюстон
PROV133;Остин
PROV134;Даллас
PROV135;Лаббок
PROV136;Эль-Пасо
PROV137;Сан Антонио
PROV138;Ларедо
PROV139;Жители Нового Орлеана
PROV140;Батон-Руж
PROV141;Лейк-Чарльз
PROV142;Шривпорт
PROV143;Маленький камень
PROV144;Горячие источники
PROV145;Фейетвилл
PROV146;Святой Луи
PROV147;Джоплин
PROV148;Молден
PROV149;Джефферсон Сити
PROV150;Канзас-Сити
PROV151;Де-Мойн
PROV152;Оскалуса
PROV153;Сидар-Рапидс
PROV154;Су-Сити
PROV155;Миннеаполис
PROV156;Гранитный водопад
PROV157;Мурхед
PROV158;Дулут
PROV159;Милуоки
PROV160;О Клэр
PROV161;Зеленая бухта
PROV162;Мэдисон
PROV163;Чикаго
PROV164;Рокфорд
PROV165;Шампанское
PROV166;Пеория
PROV167;Спрингфилд
PROV168;Карбондейл
PROV169;Индианаполис
PROV170;Эвансвилл
PROV171;Саут-Бенд
PROV172;Форт Уэйн
PROV173;Детройт
PROV174;Великие пороги
PROV175;Сагино
PROV176;Траверс-Сити
PROV177;Маркетт
PROV178;Кливленд
PROV179;Колумбус
PROV180;Сандаски
PROV181;Дейтон
PROV182;Цинциннати
PROV183;Мариетта
PROV184;Луисвилл
PROV185;Лексингтон
PROV186;Боулинг Грин
PROV187;Падука
PROV188;Нэшвилл
PROV189;Мемфис
PROV190;Ноксвилл
PROV191;Чаттануга
PROV192;Джексон
PROV193;Виксбург
PROV194;Билокси
PROV195;Монтгомери
PROV196;Тускалуса
PROV197;Мобильный
PROV198;Таллахасси
PROV199;Святой Августин
PROV200;Тампа
PROV201;Атланта
PROV202;Валдоста
PROV203;Бермуды
PROV204;Саванна
PROV205;Чарльстон
PROV206;Колумбия
PROV207;Гринвилл
PROV208;Роли
PROV209;Шарлотта
PROV210;Уилмингтон
PROV211;Ричмонд
PROV212;Манассас
PROV213;Фредериксбург
PROV214;Норфолк
PROV215;Стонтон
PROV216;Роанок
PROV217;Уилинг
PROV218;Хантингтон
PROV219;Балтимор
PROV220;Вашингтон
PROV221;Хагерстаун
PROV222;Дувр
PROV223;Филадельфия
PROV224;Скрэнтон
PROV225;Уильямспорт
PROV226;Гаррисберг
PROV227;Питтсбург
PROV228;Эри
PROV229;Ньюарк
PROV230;Трентон
PROV231;Атлантик-Сити
PROV232;Нью-Йорк
PROV233;Длинный остров
PROV234;Олбани
PROV235;Бингемтон
PROV236;Буффало
PROV237;Рочестер
PROV238;Сиракузы
PROV239;Уотертаун
PROV240;Платтсбург
PROV241;Хартфорд
PROV242;Провиденс
PROV243;Бостон
PROV244;Нью-Бедфорд
PROV245;Питтсфилд
PROV246;Берлингтон
