support_for_blank;support for $text$
uh_support_for_blank;upper house support for $text$
up_to;up to 
scaled_support; proportional to support of $text$
scaled_unemployment; proportional to unemployment
stockpile_of;to national stockpile of $text$
create_general;A new general is created
create_admiral;A new admiral is created
add_war_goal;A $text$ war goal is added against $nation$
blank_loyalty;$text$ loyalty
in_blank;in $text$
no_effect;No effect
move_capital_to;Move capital to
add_x_core;Add $adj$ core
add_core_to;Add core to
remove_x_core;Remove $adj$ core
remove_core_from;Remove core from
change_name_to;Change name to $text$
change_terrain_to;Change terrain to $text$
change_rgo_production_to;Change RGO production to $text$
make_accepted_culture;$text$ becomes an accepted culture
primary_culture_changes_to;Primary culture changes to $text$
union_culture_accepted;All cultures in the nation's primary culture group become accepted
remove_accepted_culture;$text$ stops being an accepted culture
increase_national_variable_by;Increase national variable $text$ by $value$
decrease_national_variable_by;Decrease national variable $text$ by $value$
life_rating;Life rating
make_national_religion;$text$ becomes the national religion
make_slave_state;Becomes a slave state
make_slave_pop;Becomes a slave
research_points;Research points
change_tech_school;Technology school changes to $text$
change_government_to;Government changes to $text$
add_to_treasury;Added to treasury
war_exhaustion;War exhaustion
become_blank;Becomes $text$
player_control_change;Player control changes to $text$
set_national_flag;$text$ is set for this nation
remove_national_flag;$text$ is unset for this nation
infamy;Infamy
change_province_owner;Change province owner to $text$
annex_effect;Annex $text$
annexed_by_effect;Is annexed by $text$
core_return;$adj$ cores are returned to $text$
core_return_short;$adj$ cores are returned
change_province_controller;change province controller to $text$
change_state_controller;change state controller to $text$
pop_savings;Pop savings
leadership_points;Leadership points
release_as_vassal;Release $text$ as a vassal
end_alliance;End alliance with $text$
end_war_with;End war with $text$
enable_ideology;Enable ideology ?Y$text$?!
enable_technology;Give technology ?Y$text$?!
enable_invention;Give invention ?Y$text$?!
change_ruling_party;Change ruling party to $text$
remove_prov_mod;Remove provincial modifier $text$
remove_nat_mod;Remove national modifier $text$
make_alliance;Enter into an alliance with $text$
becomes_independent;$text$ becomes an independent nation
release_as_independent;Release $text$ as an independent nation
set_global_flag;Set $text$ globally
remove_global_flag;Unset $text$ globally
change_national_value;Change national value to $text$
become_civ;Becomes a civilized nation
become_unciv;Becomes an uncivilized nation
free_slave_state;Becomes a free state
free_slave_pop;Is freed from slavery
hold_election;Hold election
issue_change;$issue$ changes to $text$
add_relative_income;Times last income added to treasury
make_neutral;All alliances ended and all vassals released
pop_size;Pop size
move_pop_to;Move pop to $text$
change_pop_type;Change pop type to $text$
years_of_research;Years of research
remove_mil_reforms;Remove $value$ military reforms
remove_econ_reforms;Remove $value$ economic reforms
add_crime;Add crime $text$
remove_crime;Remove active crime
perform_nationalization;Perform nationalization
build_factory_in_capital;Build $text$ in capital state
enable_great_wars;Great wars are enabled
enable_world_wars;World wars are enabled
disable_great_wars;Great wars are no longer possible
disable_world_wars;World wars are no longer possible
assimilate_pop;Change culture to $text$
assimilate_province;Change the culture of all pops to $text$
owner_primary_culture;its owner's primary culture
literacy;literacy
add_crisis_interest;Becomes interested in current crisis
crisis_temperature_plain;crisis temperature
militancy;militancy
consciousness;consciousness
rgo_size;RGO size
trigger_every_revolt;Trigger a revolt of every rebel faction
call_allies;Call allies into their current wars
truce_with;Truce with $text$ until ?Y$y$?!
diplomatic_influence_with;diplomatic influence with $text$
relations_with;relationship with $text$
add_modifier_until;Gets $text$ until $date$
add_modifier;Gets $text$
add_cb_months;Gets a $name$ casus belli against $text$ until $date$
add_cb_no_months;Gets a $name$ casus belli against $text$
add_cb_reversed_months;$text$ gets a $name$ casus belli against the nation in scope until $date$
add_cb_reversed_no_months;$text$ gets a $name$ casus belli against the nation in scope
remove_cb_reversed;Loses any $name$ casus bellis against $text$
remove_cb;$text$ loses any $name$ casus bellis against the nation in scope
set_national_variable_to;Set national variable $text$ to $value$
event_fires;Event $text$ is triggered
event_fires_in_days;Event $text$ is triggered in $value$ days
railroad_in_capital;?G+1?! railroad level in capital
railroad_in_capital_state;?G+1?! railroad level in capital state
fort_in_capital;?G+1?! fort level in capital
fort_in_capital_state;?G+1?! fort level in capital state
fort_in_capital;?G+1?! fort level in capital
fort_in_capital_state;?G+1?! fort level in capital state
university_in_capital;?G+1?! university level in capital
university_in_capital_state;?G+1?! university level in capital state
bank_in_capital;?G+1?! bank level in capital
bank_in_capital_state;?G+1?! bank level in capital state
railroad_level;Railroad level
fort_level;fort level
naval_base_level;naval base level
university_base_level;naval base level
bank_base_level;naval base level
apply;Apply
ok;OK
close;Close
delete;Delete
new;New
reset;Reset
every;Every
ready;Ready
any;Any
none;None
random;A random
neighboring_province;neighboring province
where;where: 
neighboring_nation;neighboring nation
nation;nation
continent;continent
same_continent;on the same continent as
empty_neighboring_province;Empty neighboring province
poor_strata_pop;poor strata pop
middle_strata_pop;middle strata pop
rich_strata_pop;rich strata pop
pop;Pop
owned_province;province belonging to
singular_nation;that nation
singular_state;that state
singular_province;that province
singular_pop;that pop
one_of_the_following;one of the following effects:
this_nation;this nation
this_state;this state
this_province;this province
this_pop;this pop
from_nation;from nation
from_state;from state
from_province;from province
from_pop;from pop
province_in;province in
this_nation_culture;The primary culture of this nation
from_nation_culture;The primary culture of the from nation
cultural_union_nation;The cultural union nation for its primary culture
core_of;core of
state_of;state of
chance_of;chance of:
owner_of;owner of
controller_of;controller of
location_of_pop;location of that pop
nation_of_pop;nation containing that pop
capital_of;capital of
containing_state;state containing
adjacent_sea;adjacent sea zone
cultural_union_of;cultural union of
overlord_of;overlord of
sphere_leader_of;sphere leader of
crisis_state;crisis state
reb_independence_nation;rebel independence nation
flashpoint_nation;flashpoint nation
rebel;Rebel
flashpoint_tension_label;Flashpoint tension
for_text; for $text$
where_ideology_is;Where its ideology is $text$
where_culture_is;Where its culture is $text$
where_religion_is;Where its religion is $text$
of_type;of type $text$
no_nation;no nation
declare_war_on;Declare war on $text$
attacker_wg_label;Attacker war goal: $text$
defender_wg_label;Defender war goal: $text$
attacker_no_allies;Attacker's allies will not be called in
attacker_yes_allies;Attacker's allies will be called in
war_start_date_desc;war started in ?Y$date$?!
cmp_ge;is at least
cmp_le;is at most
cmp_gt;is greater than
cmp_lt;is less than
cmp_eq;is
cmp_ne;is not
cmp_has_eq;has
cmp_has_ne;does not have
cmp_has_lt;has less than
cmp_has_gt;has more than
cmp_has_ge;has at least
cmp_has_le;has at most
all_of_the_following;All of the following:
any_of_the_following;Any of the following:
nation_at_war_against;nation at war against
core_in;core in
colonial_pop;located in a colonial province
substate_of;substate of
