#Powered_by_ParaTranz
disarming;强制解除武装
HAS_NOT_RECENTLY_LOST_WAR;五年以内未曾战败
HAS_RECENTLY_LOST_WAR;五年内曾经战败
IN_SAME_SPHERE;该国与我国处于同一势力范围内
NOR_reactionary;国王党
ATJ_reactionary;民族主义派
ATJ_liberal;自由派
ATJ_anarcho_liberal;激进派
ATJ_socialist;社会主义派
ATJ_communist;共产主义派
ATJ_fascist;法西斯派
CAL_conservative;民主党
KHI_conservative;皇室派
KHI_liberal;自由派
KHI_reactionary;民族主义派
KHI_anarcho_liberal;激进派
KHI_socialist;社会主义派
KHI_communist;共产主义派
KHI_fascist;法西斯主义派
MAD_conservative;皇室派
MAD_liberal;自由派
MAD_reactionary;民族主义派
MAD_anarcho_liberal;激进派
MAD_socialist;社会主义派
MAD_communist;共产主义派
MAD_fascist;法西斯派
TRI_conservative;皇室派
TRI_liberal;自由派
TRI_reactionary;民族主义派
TRI_anarcho_liberal;激进派
TRI_socialist;社会主义派
TRI_communist;共产主义派
TRI_fascist;法西斯派
TEX_communist;共产党
BAD_fascist;国家社会主义德意志党
BAV_fascist;国家社会主义德意志党
WEI_fascist;国家社会主义德意志党
WLL_fascist;雷克斯特党
NEW_fascist;法西斯党
DIPLOMACY_CHANCE_JOIN_WAR;可能加入战争：?Y$VAL$?W
PO_ISBETTER;拒绝这些条款将导致下列结果：\n?R+$MIL$?W斗争性，?R+$WE$?W厌战度
leave_soi_title;脱离势力范围
leave_soi_desc;我们可以脱离这个势力范围，不过之前的控制者很可能宣战阻止我们。
NEW_PARTY_AVAIL_SETUP;新的政党
NEW_PARTY_AVAIL_HEADER;新的政党已经建立
NEW_PARTY_AVAIL_1;$PARTY$已经建立
NEW_PARTY_AVAIL_2;*
NEW_PARTY_AVAIL_3;*
NEW_PARTY_AVAIL_4;*
NEW_PARTY_AVAIL_5;*
NEW_PARTY_AVAIL_6;*
NEW_PARTY_AVAIL_BTN1;好的
NEW_PARTY_AVAIL_BTN2;好的
NEW_PARTY_AVAIL_BTN3;查看
NEW_PARTY_AVAIL_LOG;新的政党
PARTY_UNAVAIL_SETUP;政党解散
PARTY_UNAVAIL_HEADER;政党解散
PARTY_UNAVAIL_1;$PARTY$已经解散
PARTY_UNAVAIL_2;*
PARTY_UNAVAIL_3;*
PARTY_UNAVAIL_4;*
PARTY_UNAVAIL_5;*
PARTY_UNAVAIL_6;*
PARTY_UNAVAIL_BTN1;好的
PARTY_UNAVAIL_BTN2;好的
PARTY_UNAVAIL_BTN3;查看
PARTY_UNAVAIL_LOG;政党解散
PRODUCTION_FACTORY_DAYSRED_TOOLTIP;破产时间：?R$DAYS$?W
EXPENSE_NO_AFFORD;我们只能从开支中支付?R$VAL$?W?!
ENG_presidential_dictatorship;大不列颠
EVTNAME16451;袭击驻军
EVTDESC16451;在德克萨斯革命的初期，德克萨斯部队袭击了大量的墨西哥驻军。这为德克萨斯军队提供了大量所需的资金和补给。
CB_ALLOWED_GUNBOAT;强制归还债务
po_gunboat;归还债务
IS_IN_DEFAULT_TO;默认为
IS_NOT_IN_DEFAULT_TO;未默认为
gunboat;归还债务
gunboat_desc;强迫他们归还拖欠我国的债务
gunboat_setup;将强迫他们兑现拖欠我国的债务
gunboat_short;归还债务
EVTNAME70002;$FROMCOUNTRY$已经破产！
EVTDESC70002;$FROMCOUNTRY$已经破产并声明不承认对我国的债务！我国必须动用军事力量来保卫我们的投资者。
EVTOPTA70002;好的
USE_LEADER;使用将领
SHORTCUT;?W快捷方式：?Y
SM_SHORTCUT;快捷栏
TUR_proletarian_dictatorship_ADJ;土耳其的
move_capital_to_moscow_title;重返第三罗马
move_capital_to_moscow_desc;荣耀的圣彼得堡——彼得大帝之城，距离边境实在近得令人不安。也许将首都迁回“第一宝座”莫斯科是更谨慎的做法，入侵的敌军将发现难以抵达……
