#Powered_by_ParaTranz
UNIT_BUILD_TIME_IW;$VAL$天:
SUPPLY_OWNER;省份所有者：
SUPPLY_ALLIED;盟国：
SUPPLY_ACCESS;军事通行：
SUPPLY_CONTROLLER;被控制：
SUPPLY_CONTROLLER_ALLIANCE;被盟国控制：
SUPPLY_SIEGE;围城：
SUPPLY_CORE;核心：
fascist_uh;法西斯主义者支持扩大社会改革和消除政治改革，如果执政党不是法西斯的话他们会反对任何改革
reactionary_uh;反动主义者总是企图推翻改革，使政治改革和社会改革都倒转
conservative_uh;保守主义者倾向于维持现状，但是在斗争激烈的情况下也可能会转向支持改革
socialist_uh;社会主义者希望看到新的社会改革法规，但是在斗争激烈的情况下也可能会转向支持政治改革
communist_uh;共产主义者想要制定社会改革的法规，但是希望看到政治改革倒退
liberal_uh;自由主义者想要制定新的政治改革法规，但在斗争激烈的情况下也将同样支持社会改革
anarcho_liberal_uh;无政府主义者希望看到社会改革倒退，也将不会支持新的任何形式的改革
RP_ACCUMULATED;我们目前已经积累了?Y$VAL$?W点研究点数未使用
WEGAINCB_SETUP;当我国获得战争借口
WEGAINCB_HEADER;$MONARCHTITLE$
WEGAINCB_1;战争借口
WEGAINCB_2;我们已经获得了
WEGAINCB_3;针对$ENEMY$
WEGAINCB_4;的战争借口
WEGAINCB_5;“$CASUS$”
WEGAINCB_6;$DESC$
WEGAINCB_LOG;我国获得针对$ENEMY$的战争借口“$CASUS$”。
WEGAINCB_BTN1;很好
WEGAINCB_BTN2;很好
WEGAINCB_BTN3;查看
WEGAINCB_MAP;*
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST$解放$COUNTRY$之战
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST_COUNTRY$扶持$COUNTRY$
NORMAL_WAR_COLONIAL_NAME;$ORDER$$FIRST_COUNTRY$殖民征服$STATE$
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$$STATE$殖民战争
NORMAL_WAR_TAKE_NAME;$ORDER$$FIRST_COUNTRY$征服$STATE$
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$$STATE$战争
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$FIRST_COUNTRY$解放$STATE$
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST_COUNTRY$侵略$STATE$
NORMAL_WAR_TAKE_SPHERE_NAME;$ORDER$$COUNTRY$战争
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$在$COUNTRY_ADJ$ $FIRST_COUNTRY$ - $SECOND_COUNTRY$ 战争
NORMAL_WAR_ADD_SPHERE_NAME;$ORDER$降服$SECOND_COUNTRY$之战
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$制服$SECOND_COUNTRY$之战
NORMAL_CIVIL_WAR_NAME;$ORDER$$FIRST$内战
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$内战
NORMAL_WAR_CONQUEST_NAME;$ORDER$征服$SECOND_COUNTRY$之战
AGRESSION_WAR_CONQUEST_NAME;$ORDER$$FIRST_COUNTRY$侵略$SECOND_COUNTRY$之战
ADJ_FORT_EXTRA_ATTR;?R+$VAL$%?W来自附近敌对的要塞
IS_NOT_ACCEPTED_CULTURE_POP;不是可接受民族\n
IS_ACCEPTED_CULTURE_POP;是可接受民族\n
IS_NOT_PRIMARY_CULTURE_POP;不是?Y$NAME$?W\n
IS_PRIMARY_CULTURE_POP;是?Y$NAME$?W\n
NEW_CORE_EFFECT_TAG2;$TAG$将获得?Y$NEW$?W的核心\n
digin;战壕
terrain;地形
crossing;路口
total_occupation;被占领的本土省份
total_blockaded;被封锁的本土港口
PW_SLAVE_STATE;蓄奴区
CURR_REL_TT;我们目前的关系
great_power;列强
second_power;次强
civ_nation;开化国家
unciv_nation;未开化国家
REB_TYPE_SIZE;?Y反叛支持?W
REB_TYPE_POWER;?Y反叛力量?W
PRODUCTION_MUST_PORT_ONLY;只能在港口生产\n
POPULATION_CHANGED_BY;人口改变
COMBAT_LEADER_MOD;将领
POLITICS_CANNOT_SET_RULING_PARTY_IN_ELECTION;选举中不能更换执政党
IS_NOT_OVERSEAS;不是海外
IS_OVERSEAS;是海外
SHIP_SUB_NAME;$HOME$第$NUM$$TYPE$
FOLLOWING_HAVE_CLAIMS;以下国家对这里有主权要求：
COUNTRY_IS_NOT_CULTURE;主体民族不是
COUNTRY_IS_CULTURE;主体民族是
NO_ASSIM_NOW;当前没有同化
MODIFIER_LOCAL_REPAIR;舰船修理速度
BADBOY_DRO_1;每月恶名变化：\n
REGIMENT_SIZE;目前兵力：?Y$SIZE$?W\n
CURRENT_MORALE;组织度：?Y$SIZE$?W，最大$MAX$\n
SUPPLY_COST;补给花费
ALL_CORE_PROVINCE_THAT;在所有核心省份
BREAKCOUNTRY_SETUP;当反叛集团在我国强制执行他们的要求
BREAKCOUNTRY_HEADER;来自$CAPITAL$的报告
BREAKCOUNTRY_1;$FACTION$胜利了！
BREAKCOUNTRY_2;$MONARCHTITLE$，$FACTION$已经强制执行他们的要求了！
BREAKCOUNTRY_3;我们没有选择余地，只能接受！
BREAKCOUNTRY_4;$EFFECTS$
BREAKCOUNTRY_5;*
BREAKCOUNTRY_6;*
BREAKCOUNTRY_LOG;$FACTION$强制执行他们的要求！
BREAKCOUNTRY_BTN1;糟糕！
BREAKCOUNTRY_BTN2;糟糕！
BREAKCOUNTRY_BTN3;查看
BREAKCOUNTRY_MAP;*
BREAKCOUNTRYOTHER_SETUP;当叛军在他国执行他们的要求
BREAKCOUNTRYOTHER_HEADER;来自大使的报告
BREAKCOUNTRYOTHER_1;$OTHER$
BREAKCOUNTRYOTHER_2;$FACTION$已经成功在
BREAKCOUNTRYOTHER_3;$OTHER$强制执行了他们的要求
BREAKCOUNTRYOTHER_4;$EFFECTS$
BREAKCOUNTRYOTHER_5;*
BREAKCOUNTRYOTHER_6;*
BREAKCOUNTRYOTHER_LOG;$FACTION$在$OTHER$强制执行了他们的要求！
BREAKCOUNTRYOTHER_BTN1;好的
BREAKCOUNTRYOTHER_BTN2;好的
BREAKCOUNTRYOTHER_BTN3;查看
BREAKCOUNTRYOTHER_MAP;*
INVENTION_SETUP;当你已经获得一项发明
INVENTION_HEADER;报告
INVENTION_1;重大发现！
INVENTION_2;我国科学家已经发现了
INVENTION_3;$INVENTION$
INVENTION_4;$DESC$
INVENTION_5;其作用是：
INVENTION_6;$EFFECT$
INVENTION_LOG;我们已经发现$INVENTION$是如何工作的。
INVENTION_BTN1;好的
INVENTION_BTN2;好的
INVENTION_BTN3;查看
INVENTION_MAP;*
revanchism;复仇主义
plurality;多元性
TOPBAR_LEADERSHIP_GAIN_TOOLTIP;我们每月从我们的军官团获得?Y$CURR$?W领导力
UW_AASIGN;自动指派将领
ATTR_SAFE_RANGE;舰队在补给舰航程内和在靠近海岸的时候不会有任何损耗
TECHNOLOGYVIEW_HAVE_NOT_YEAR;这个科技不能在?Y$YEAR$?W年之前开始研究
ENCOURAGEMENT_FOR;鼓励
IS_NOT_PRIMARY_CULTURE;?Y$NAME$?W不是主体民族\n
IS_PRIMARY_CULTURE;?Y$NAME$?W是主体民族\n
IS_NOT_ACCEPTED_CULTURE2;?Y$NAME$?W不是可接受民族\n
IS_ACCEPTED_CULTURE2;?Y$NAME$?W是可接受民族\n
ALL_COUNTRIES_EFF;所有国家
ALL_COUNTRIES_THAT_EFF;所有国家
GETTING_ONLY_NEEDS;仅获得$NEED$：?Y$VAL$%?W
tutorial_chapter_introduction;简介结束
tutorial_end_of_chapter;教程章节结束
ISSUE_MOVE_EFFECT;?Y$PERCENTAGE$%?W的人力从?Y来处?W迁移到?Y去处?W
ADD_WARGOAL_EFFECT;当我们加入这个战争目标，将获得：
ADD_WARGOAL_SUCCESS;当我们达成这个战争目标，将获得：
ADD_WARGOAL_FAILURE;当我们未达成这个战争目标，将获得：
WARDIALOG_TRUCE;休战：
WARDIALOG_NOCB;没有战争借口：
DIPLOMACY_INFAMY2;恶名：$VALUE$
DIPLOMACY_PRESTIGE2;威望：$VALUE$
