#Powered_by_ParaTranz
WARSUBSIDIES_DI;提供战争援助
CANCEL_WARSUBSIDIES_DI;取消战争援助
ASKMILITARYACCESS_DI;要求军事通行
CANCELASKMILITARYACCESS_DI;放弃军事通行
GIVEMILITARYACCESS_DI;提供军事通行
CANCELGIVEMILITARYACCESS_DI;撤销军事通行
ALLIANCE_DI;提议结盟
CANCELALLIANCE_DI;解除盟约
CALLALLY_DI;召唤盟国
DISCREDIT_DI;诽谤
EXPELADVISORS_DI;驱逐顾问
BANEMBASSY_DI;封锁使馆
INCREASEOPINION_DI;增高评价
DECREASEOPINION_DI;降低评价
ADDTOSPHERE_DI;纳入势力范围
REMOVEFROMSPHERE_DI;移出势力范围
INCREASERELATION_DI;增进关系
DECREASERELATION_DI;降低关系
GUNBOAT_DI;炮舰外交
WAR_DI;战争
WARGOAL_DI;增加战争目标
PEACE_DI;提议和平
TOPBAR_LEADERSHIP_MAX;你已经获得了领导力的最大值：?Y$MAX$?W，此后无法继续累积新的领导力了\n
IS_MOBILIZED_IRO;（预备役已被动员）
ADD_CRIME;获得?Y$NAME$?W\n
TOPBAR_WAR_PLUS;和他们的卫星国及自治领\n
CANTBUILD_FORCEDISARM;由于一个和平条约强迫我国解除武装，所以我们无法建造新的军事单位
SOME_LIFE_NEEDS;部分必需品
TOPBAR_AVG_CHANGE;我们估计在下个月它将会变化$VAL$?W
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;每日基本研究点数：?Y$VALUE$?W
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;每日研究点数：?G+$VALUE$?W
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$提供了?G$VALUE$?W研究点数\n（现为人口的?Y$FRACTION$%?W，最佳为$OPTIMAL$%）
average_literacy;识字率
MODIFIER_RESEARCH_POINTS;研究点数
gas;毒气攻击
COMBAT_GAS;毒气攻击对欠缺防御手段的敌人来说是毁灭性的
MAY_GAS_ATTACK;可以使用毒气攻击\n
MAY_GAS_DEFEND;可以防御毒气攻击\n
IMMIGRANTS_FROM;这里有来自$NAME$的?G$VAL$?W名移民
EMIGRANTS_TO;?R$VAL$?W名移民前往$NAME$
PW_ALL_FOCUSES_USED;所有的国家焦点都已使用
HAS_NO_FACTORIES;没有工厂\n
HAS_FACTORIES;有工厂\n
RETREAT_DELAY_IRO;在?Y$VAL$?W天后可以选择撤退
PW_CANTCOLONIZE;无法在此地殖民
IS_COLONIAL_STATE_POPVIEW;殖民地区
CULTURE_IS_NOT;民族不是
CULTURE_IS;民族是
INVALID_WARTARGET_TROOPS_IN_THEM;我们还有部队在他们的疆域内
WEX_EFFECTS;当前效果
NOBODY_CAN_VOTE_HERE;无人拥有投票权
NOT_ABLE_TO_REINFORCE;这个人群由于太小所以无法增援这个旅
POP_SIZE_UNITVIEW;此人群拥有?Y$VAL$?W人，可以支持?Y$ALLOWED$?W个旅。当前它正支持?Y$CURRENT$?W个旅。
MAX_REINF_UNITVIEW;以?G100%?W的速度增援
POP_IMPACT_UNITVIEW;由于预备役的损失，这个单位以?Y$VAL$%?W的速度得到补充
MOB_IS_REINFORCE;已动员的单位以?Y50%?W的速度得到补充
EVTNAME60120;增进联邦主义
EVTDESC60120;一种文化上的民族主义思潮正在席卷$COUNTRY$，人们开始呼吁要与$CULTURE_GROUP_UNION$的同胞统一在一起。我们没有理由怀疑他们将提出一项合并请愿书。
EVTOPTA60120;就这样做
EVTNAME60130;来自$FROMCOUNTRY$的合并请愿书
EVTDESC60130;随着大众民族感情的汹涌澎湃，$FROMCOUNTRY_ADJ$政府在$CAPITAL$向我国官方提出了一项正式的要求，希望能永久性地加入$COUNTRY$。看起来没有任何理由反对此事。
EVTOPTA60130;就这样做
EVTOPTB60130;以上帝的名义拒绝$FROMCOUNTRY$废物
ATPEACE;处于和平
NORMAL_WAR_RUDEBOI_NAME;$ORDER$$FIRST$遏制$SECOND$之战
AGRESSION_WAR_RUDEBOI_NAME;$ORDER$$FIRS_COUNTRY$遏制$SECOND$之战
rude_boy;遏制
rude_boy_desc;强迫一个?Y国家?W大幅度降低其野心，这一宣战行为已在国际事务中抛开了所有文明伪装
rude_boy_setup;通过削减其领土、威望及军队来遏制$RECIPIENT$
rude_boy_short;遏制$RECIPIENT$
POP_DETAILS_EXPENSES;花费：
CONFIRM_CREATE_VASSAL;释放国家
CONFIRM_CREATE_VASSAL_DESC;你是否希望将?Y$COUNTRY$?W释放为一个?Y$TYPE$?W？\n?Y$COUNTRY$?W将获得如下?Y$NUM$?W个省份：?Y$PROVINCES$?W
egyptian_excavations;埃及遗迹
egyptian_excavations_desc;我国在帝王谷展开了考古发掘行动。
red_shirts_title;红衫军
red_shirts_name;加里波第的红衫军
red_shirts_desc;红衫军的名称是用于形容那些在朱塞佩·加里波第为了将松散的意大利邦国熔炼为一个民族国家而奋斗时为他服务的志愿兵，这个巧妙地命名是因为加里波第和他的战士们穿着红色衬衣。富有魅力的加里波第闻名于国内外，被普遍看作一位自由斗士，他致力于将意大利统一在萨丁尼亚的王冠下。这些意大利的泛民族主义者为了意大利的统一而奋斗。
red_shirts_army;红衫军的千人远征
EVTNAME11103;千人远征！
EVTDESC11103;$MONARCHTITLE$！新闻到了我们这里！著名的意大利自由斗士朱塞佩·加里波第和他的“千人远征”已经击溃并控制了$FROMCOUNTRY$的政府。这个有力的自由斗士无论到哪里都有欢呼雀跃的意大利民众挥舞着意大利国家的三色旗前去欢迎他——这位全意大利的解放者。由于我们在半岛上的主导地位，$FROMCOUNTRY$新成立的政府发来信息称新生的意大利将承认$COUNTRY$的现有地位。
EVTOPTA11103;意大利复兴运动万岁！
EVTOPTB11103;这家伙是谁？他想从我这儿得到些什么？
CB_DESC_HEAD;这个战争借口允许我们要求：
CB_ALLOWED_DISARMAMENT;强迫裁军
CB_ALLOWED_REPARATIONS;战争赔偿
CB_ALLOWED_STATES;割让领土
TRADE_DISABLED_AUTOMATE;该项物资的贸易方式为自动，请关闭自动方式后更改设置
AUTOMATE_TRADE_CHECK;开关该项物资的自动贸易方式
TECHNOLOGYVIEW_RESEARCH_TOOLTIP;我们当前正在研究?Y$TECH$?W\n以目前的速度，该项目将于?Y$DATE$?W完成
INCREASERELATION_THEY_ACCEPT_4;我们的关系增进了?G$CHANGE$?W，现为?Y$RELATION$?W
INCREASERELATION_WE_ACCEPT_4;我们的关系增进了?G$CHANGE$?W，现为?Y$RELATION$?W
DECREASERELATION_WE_ACCEPT_5;我们的关系改变了?R$CHANGE$?W，现为?Y$RELATION$?W
DECREASERELATION_THEY_ACCEPT_6;我们的关系改变了?R$CHANGE$?W，现为?Y$RELATION$?W
TRI_1743;的黎波里
NORMAL_WAR_CONCESSION_NAME;$ORDER$$STATE$租借地战争
AGRESSION_WAR_CONCESSION_NAME;$ORDER$$STATE$租借地战争
demand_concession_casus_belli;索要租借地
demand_concession_casus_belli_desc;强迫一个?Y未开化国家?W割让领土以设立殖民租借地
demand_concession_casus_belli_setup;要求$RECIPIENT$割让领土以设立殖民租借地
demand_concession_casus_belli_short;索要$STATE$
NORMAL_WAR_PROTECTORATE_NAME;$ORDER$获取属于$FIRST$$SECOND$
AGRESSION_WAR_PROTECTORATE_NAME;$ORDER$获取属于$FIRST$$SECOND$
establish_protectorate_casus_belli;建立保护国
establish_protectorate_casus_belli_desc;通过强迫一个?Y未开化国家?W成为我们的保护国来吞并他们
establish_protectorate_casus_belli_setup;通过建立保护国的形式吞并$RECIPIENT$
establish_protectorate_casus_belli_short;吞并$RECIPIENT$
NORMAL_WAR_UNIFICATION_NAME;$ORDER$$FIRST$解放$STATE$
AGRESSION_WAR_UNIFICATION_NAME;$ORDER$$FIRST$解放$STATE$
unification_casus_belli;统一战争
unification_casus_belli_desc;解放我们?Y文化圈?W的核心领土
unification_casus_belli_setup;解放我们?Y文化圈?W的核心领土
