#Powered_by_ParaTranz
COLONIAL_RANGE;殖民距离：?G+$VAL$?W
MODIFIER_LOCAL_SHIP_BUILD;本地舰船制造时间
CB_ALLOWED_ANNEX;允许吞并
CB_ALLOWED_ADD_TO_SPHERE;纳入势力范围
CB_ALLOWED_RELEASE_PUPPET;释放傀儡国
CB_ALLOWED_STATUS_QUO;返回原状
CB_ALLOWED_TRANSFER_PROVINCES;割让领土
CB_ALLOWED_PRESTIGE;降低威望
CB_ALLOWED_CONCESSION;承认失败
MAINTENANCE_DESC;维持所需物资：
MISSING_MAINTENANCE;工厂缺乏维持物资时产出会降低到?R$PERC$?W
PROCEED;同意
ENDGAME_HEADLINE;游戏结束
ENDGAME_DESC;关键的一百年已经过去，我们进入了现代社会，\n你的国家准备怎么面对这个已经变得完全不一样\n的世界呢？
NEEDS_BOUGHT;预估本日需求：
TOTAL_NEEDS_BOUGHT;预估需求花费：
TOTAL_SOLD_FOR;昨天我们生产了$NUM$单位的?Y$GOOD$?W，将其出售获得了$CASH$?!
COULDNT_AFFORD;工厂没有足够的资金购买昨天的所有输入品 
INPUT_LACKING;市场上没有足够的?Y$GOOD$?W满足工厂的输入品需求
OUTPUT_WASTED;$PRODUCED$单位?Y$GOOD$?W中有$NUM$单位昨日没有售出
TRADE_CONFIRM_DESC;设置手动贸易意味着我们可能最终要以贷款购买物资
BUDGET_TAX_EFFICIENCY;税收效率：?Y$VALUE$%?W
BUDGET_TAX_EFFECT;有效税收：?Y$VALUE$%?W
LEADERSHIP_EFFECT;领导力：?G$VALUE$?W\n
