#Powered_by_ParaTranz
MULTI_SEL_DESC;?GSHIFT+鼠标左键?!取复数单位
SM_DETAILS;细节
DISBAND_ALL;解散所有已选单位
DISBAND_ALL_TITLE;解散所有单位
DISBAND_ALL_DESC;你确定要?R解散?Y$NUM$?!单位？
DATE_DIFF_A;$Y$年、$M$月又$D$天
DATE_DIFF_B;$M$月又$D$天
DATE_DIFF_C;$D$天
torpedo_attacks;鱼雷攻击
TORPEDO_ATTACK;鱼雷攻击
TORPEDO_ATTACK_DESC;鱼雷攻击对大型舰船造成额外伤害
NAVAL_COMBAT_STACK_PENALTY_DESC;由于舰队间糟糕的交流导致船只难以发现目标，?Y受到?R$PEN$%?Y的协调惩罚。我们的舰只与潜在目标的数量对其产生具体影响。?!
BP_TAB_CURRENT;当前计划
BP_TAB_HISTORICAL;历史计划
BP_TOOL_COLOR_RED;红色
BP_TOOL_COLOR_GREEN;绿色
BP_TOOL_COLOR_BLUE;蓝色
BP_TOOL_COLOR_YELLOW;黄色
BP_TOOL_ARROW_SLIM;细实箭头
BP_TOOL_ARROW_MEDIUM_1;中实箭头1
BP_TOOL_ARROW_MEDIUM_2;中实箭头2
BP_TOOL_ARROW_MEDIUM_3;中实箭头3
BP_TOOL_ARROW_THICK;粗实箭头
BP_TOOL_BORDER_1;边界种类1
BP_TOOL_BORDER_2;边界种类2
BP_TOOL_BORDER_3;边界种类3
BP_TOOL_BORDER_4;边界种类4
BP_TOOL_BORDER_5;边界种类5
BP_TOOL_ICON_AIRPLANE;飞机图标
BP_TOOL_ICON_TANK;坦克图标
BP_TOOL_ICON_BOMB_1;小型炸弹图标
BP_TOOL_ICON_BOMB_2;大型炸弹图标
BP_SAVE_PLAN_CONFIRM;保存计划
BP_SAVE_PLAN_CANCEL;取消
BP_SAVE_PLAN_PROMPT;计划已存在！\n确定要覆盖么？
BP_DELETE_SAVED_PLAN_PROMPT;确定删除已保存计划？
BP_DELETE_CURRENT_PLAN_PROMPT;确定删除当前计划？
BP_SHARED_WITH;分享通过:
BP_NEW_PLAN;新计划
BP_TOOLTIP_TAB_CURRENT;现有作战计划列表
BP_TOOLTIP_TAB_HISTORICAL;历史计划列表\n单击?Y输入?!将所选加入你的现有计划
BP_TOOLTIP_TAB_SAVED;已保存计划列表\n单击?Y输入?!将所选加入你的现有计划
BP_TOOLTIP_NEW_PLAN;创建新计划
BP_TOOLTIP_REMOVE_PLAN;删除所选计划
BP_TOOLTIP_SHARE_PLAN;控制是否将所选计划?Y分享?!你的盟友
BP_TOOLTIP_SAVE_PLAN;将所选计划保存至文件
BP_TOOLTIP_RENAME_PLAN;重命名所选计划
BP_TOOLTIP_IMPORT_PLAN;将所选计划加入你的现有计划
BP_TOOLTIP_TOOL_SELECT;单击对象以选择
