#Powered_by_ParaTranz
DIPLOMACY_AI_ACCEPTANCE;?Y$COUNTRY$?W的回应：?Y$ODDS$?W
TOO_SOON_FOR_REFORM;在?Y$DATE$?W之前我们无法实行另一项改革
SIEGE_EXTRA_ATTR;占领区的抵抗造成?R+$VAL$%?W的损耗
NO_SEPARATE_PEACE_CRISIS;我们无法在一场危机战争中单独媾和
CRISIS_RESOLUTION_EFFECTS;以此方式解决危机可以为你带来$VAL$的威望
CRISIS_RESOLUTION_RELATIONS;与以下国家的关系将会改变：
flintlock_rifle_armament;燧发枪装备
flintlock_rifle_armament_desc;燧发枪发明于17世纪初期，他们很快的成为点火式火器如卡锁枪、火绳枪和簧轮枪的替代品。在随后的两个世纪里，燧发枪被广泛运用，然后被雷管枪所取代，并最终在19世纪前中期被基于子弹系统的步枪所取代。尽管燧发枪远远不如现代枪械，但是它仍然被黑火药爱好者所喜爱。
post_napoleonic_army_doctrine;后拿破仑时期军事思想
post_napoleonic_army_doctrine_desc;法国大革命和拿破仑时期都奉行一种革新的军事思想。该时期的影响即使在美国内战和一战早期也存在。便宜和小型的武器和草率训练的士兵让军队的规模和空前膨胀，这导致军队需要被划分为以师为单位，之后更被分成以军为单位。炮兵师也是在这一时期出现。
muzzle_loaded_rifle_armament;前膛枪装备
muzzle_loaded_rifle_armament_desc;前膛枪是指在枪口填入抛射物和火药的枪械。手持来复枪在1740年代得到充分发展。典型的前膛枪的形象是肯塔基来复枪，虽然其实际上发明于宾夕法尼亚州。美式长杆来复枪由德式猎枪演化而来。
breech_loaded_rifle_armament;后膛枪装备
breech_loaded_rifle_armament_desc;后膛枪是炮筒或枪管末端具有用来装入炮弹或子弹的空间的武器。尽管早在14世纪就出现了后膛枪，但直到19世纪由于精密工程和机械工程的发展其才变得成功。
bolt_action_rifle_armament;手动枪机装备
bolt_action_rifle_armament_desc;手动枪机是指需要以手动的方式完成子弹送入枪膛（上膛）与将使用过的弹枪机退出枪膛（退膛）动作的步枪。第一款手动步枪是在1824年由约翰·冯·德路易斯在研制后膛枪时制造。随后的半个世纪，手动枪机在欧洲获得了持续的发展，并在一战时期达到了高峰：可以从战场上所有国家的军队的武器上看到各式各样的手动枪机设计。
machine_gun_armament;机枪装备
machine_gun_armament_desc;加特林机枪由理查·加特林在1861年取得专利，是第一种能够提供可控、持续火力的自动装弹武器。在美国内战时隐约能见到它的身影，其后还在普法战争与西北叛乱中得到发展与使用。19世纪许多军队购买了加特林机枪，这些武器被持续使用到了20世纪初期。第一个自动机枪由海勒姆·马克沁在1885年发明。马克沁机枪利用之前发射子弹带来的反作用力装弹而不是手动装弹，使射速大大提高，远远超过了诺登菲与加特林的早期设计。
cuirassier_activation;胸甲骑兵
cuirassier_activation_desc;胸甲骑兵是指装备盔甲和火器的骑兵部队，最早出现于15世纪的欧洲。第一个胸甲骑兵的出现是由于装甲骑兵如重骑兵和次等枪骑兵放弃他们的长枪转而采用手枪作为主要的武器。胸甲骑兵在拿破仑战争中达到高峰并在一战的初期最后出现在战场上。直到现在，胸甲骑兵仍作为礼仪部队出现在一些国家。
dragoon_activation;龙骑兵
dragoon_activation_desc;龙骑兵本意指的是骑马的步兵，他们同时拥有马术以及步战技能。不过，此后龙骑兵的意义逐渐改变，在18世纪，龙骑兵用来指代常规轻骑兵单位和成员。在17世纪和18世纪早期，大多数欧洲军队都建立了龙骑兵军团。在拿破仑战争时期，龙骑兵通常被看作一种骑兵，尽管相对于胸甲骑兵来说他们的装备依然更加轻便。
hussar_activation;骠骑兵
