#Powered_by_ParaTranz
MIL_FROM_TROOPS;陆军士兵
MIL_FROM_CAP_SHIPS;主力舰
MIL_FROM_LEADERS;将领
OCCUPATION_SCORE;占领：
BLOCKADE_SCORE;封锁：
OUTLINER_TOOLTIP_EMPLOYED;?Y$COUNT$?!在工厂中被雇佣（?Y$PERC$?!）
TRADE_SUPPLY_NEED_A;每日$VAL$以补给军队\n
TRADE_SUPPLY_NEED_N;每日$VAL$以补给舰队\n
DIPLOMACY_CANNOT_SET_PRIO_WAR;我们无法影响与我国交战的国家
DIPLOMACY_INFLUENCE_NOT_WORTH;我们的影响力已达最大值，也没有其他国家在影响该国，暂时不需要影响力点数
COLONY_ABORT_HEADER;当殖民地被废弃
COLONY_ABORT_1;殖民地被废弃！
COLONY_ABORT_2;$MONARCHTITLE$，我们的殖民地
COLONY_ABORT_3;?Y$TARGET$?!
COLONY_ABORT_4;被废弃了！
COLONY_ABORT_5;我们不能再继续殖民这里了
COLONY_ABORT_6;*
COLONY_ABORT_BTN1;好的
COLONY_ABORT_BTN2;好的
COLONY_ABORT_BTN3;转到
COLONY_ABORT_MAP;殖民地被废弃！
COLONY_ABORT_SETUP;当殖民地被废弃
COLONY_ABORT_LOG;$TARGET$的殖民地被废弃
DIPRELCH_VALID_CB;可用的战争借口
BRIGADES_COMPARE_GREATER;两国的军队数量之比至少$VAL$?!
BRIGADES_COMPARE_SMALLER;两国的军队数量之比少于$VAL$?!
CONFIRM_CREATE_STATE_DESC2;（所有本地修正将被移除）
UNIT_ENABLE_REBEL_HUNT;猎杀叛军
UNIT_DISABLE_REBEL_HUNT;（正在猎杀叛军）
UNIT_REBEL_HUNT_WILL_HUNT;?G部队准备好猎杀叛军了
UNIT_REBEL_HUNT_IS_BUSY;?R部队目前繁忙，目前不能猎杀叛军
UNIT_REBEL_HUNT_LOW_MORALE;?R部队士气过低，目前不能猎杀叛军
UNIT_REBEL_HUNT_NO_VALID;?R叛军已被发现，但我军暂时不会攻击，因为敌军过于强大，或因我军无法抵达该处
NOT_RELEASE_AT_WAR;?R（战争时期不能建立卫星国）?W
COLONY_SUCCESS_5;得到?Y$PRESTIGE$?!望
COLONY_SUCCESS_6;（基础值?Y$BASE$?!以?Y$PROV$?!省份）
COUNTRY_PUPPETS_LIST;卫星国:
POLL_ESTIMATED_ELECTION;我们预计选举结果将为
MODIFIER_MOVEMENT_COST;军队移动花费
SPEED_IMPACT_ON_CB;积累速度变化值?Y$VAL$?W
TERR_COMB_WIDTH_DEC;此地形减少?Y$VAL$?W%作战宽度
MODIFIER_BOOST_STRONGEST_PARTY;最大党的力量
PEACEDEMANDDESC;$COUNTRY$提出下列和平条件:
CB_JUSTIFY_NO_LONGER_VALID_SETUP;当我国的战争合理化进程不再有效
CB_JUSTIFY_NO_LONGER_VALID_HEADER;$MONARCHTITLE$
CB_JUSTIFY_NO_LONGER_VALID_1;战争合理化
CB_JUSTIFY_NO_LONGER_VALID_2;我国利用
CB_JUSTIFY_NO_LONGER_VALID_3;合理化
CB_JUSTIFY_NO_LONGER_VALID_4;?Y$CASUS$?W的理由
CB_JUSTIFY_NO_LONGER_VALID_5;对$TARGET$战争
CB_JUSTIFY_NO_LONGER_VALID_6;的尝试不再有效！
CB_JUSTIFY_NO_LONGER_VALID_LOG;我国针对$TARGET$的战争合理化进程不再有效。
CB_JUSTIFY_NO_LONGER_VALID_BTN1;好的
CB_JUSTIFY_NO_LONGER_VALID_BTN2;好的
CB_JUSTIFY_NO_LONGER_VALID_BTN3;转到
CB_JUSTIFY_NO_LONGER_VALID_MAP;*
NO_ALLOWED_COUNTRIES;（没有合适的国家）
NO_ALLOWED_STATES;（没有合适的地区）
HAS_LESS_STATE_THAN;地区的数量少于
HAS_STATES_GREATER_EQ;地区的数量至少
HAVE_MORE_SUBSTATES_THEN;次国家数量多于
HAVE_LESS_SUBSTATES_THEN;次国家数量至少
HAVE_MORE_VASSALS_THAN;卫星国数量多于
HAS_UNION_TAG;有泛文化国家
HAS_NO_UNION_TAG;没有泛文化国家
HAS_CULTURE_UNION;有同文化联盟
HAS_NOT_CULTURE_UNION;没有同文化联盟
IS_STATE_CAPITAL;是地区首府
IS_NOT_STATE_CAPITAL;不是地区首府
SUBSIDIZE_ALL_TOOLTIP;资助列表里的所有工厂
UNSUBSIDIZE_ALL_TOOLTIP;取消资助列表里的所有工厂
OPEN_ALL_TOOLTIP;重开列表里的所有工厂
CLOSE_ALL_TOOLTIP;关闭列表里的所有工厂
ON_ENACT_UNCIV_REFORM;通过改革时:
EFFECT_BUILD_IN_CAPITAL_DESC;?Y$BLD$?!设将会发生在：?Y$PROVS$?!
TRIGGER_BUILD_IN_CAPITAL_DESC;?R基础建设现在不能实现?!
DIPLOMACY_CB_INFO;战争合理化
COLONIZE_MAX_SLOTS;不超过?Y$NUM$?!国家可以在此开展殖民竞争
RIGHT_CLICK_TO_REMOVE_NF;?Y右键点击?!移除现在的焦点
CONFIRM_REMOVE_COLONY_NF_TITLE;移除殖民地国家焦点
CONFIRM_REMOVE_COLONY_NF_DESC;你的殖民进程将归零。确定移除焦点吗？
CB_ALLOWED_INSTALL_COMMUNIST_GOV_TYPE;扶植共产主义政府
po_install_communist_gov_type;扶植共产主义政府
install_communist_gov_cb;扶植共产主义
install_communist_gov_cb_desc;扶植一个共产主义政府
install_communist_gov_cb_setup;扶植一个共产主义政府。如果实现，该国将自动加入我国势力范围。
install_communist_gov_cb_short;扶植共产主义
CB_ALLOWED_UNINSTALL_COMMUNIST_GOV_TYPE;推翻共产主义政府
po_uninstall_communist_gov_type;推翻共产主义政府
uninstall_communist_gov_cb;推翻共产主义
uninstall_communist_gov_cb_desc;推翻共产主义政府
uninstall_communist_gov_cb_setup;推翻共产主义政府
uninstall_communist_gov_cb_short;推翻共产主义
NF_OVERWRITE_HEADER;要设置新的国家焦点?Y$NF$?!必须先移除另一个
NF_OVERWRITE_ENTRY;?Y$NF$?!n在?G$STATE$?!
PRESTIGE_MORALE_BONUS;士气加成：?Y$VAL$?!
PRESTIGE_MAX_ORG_BONUS;组织度加成：?Y$VAL$?!
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_TITLE;威望惩罚
PRESTIGE_PENALTY_ON_LEADER_TRANSFER_DESC;如果我们在战时撤销指挥官?Y$NAME$?!职务，我国将会损失?R$VAL$?!望。\n你确定要这样做吗？
REORG_PANEL_BALANCE_UNITS;平均分配
INVEST_PROJECT_NOT_ENOUGH_MONEY;?R我们没有足够资金?!
INVEST_PROJECT_SHORTCUT_MAX;?R Ctrl + 鼠标左键?!该计划投资最大数额（?Y$AMOUNT$?!
INVEST_PROJECT_SHORTCUT_MAX_ALL;?RShift + 鼠标左键?!所有计划投资最大数额（?Y$AMOUNT$?!?!
INVEST_PROJECT_CONFIRM;投资
INVEST_PROJECT_MAX;最大
INVEST_PROJECT_TITLE;投资计划：?Y$LOC$?!"?Y$PROJ$?!
INVEST_PROJECT_TOOLTIP_YOUR_BUDGET;你的预算
INVEST_PROJECT_TOOLTIP_PROJECT_BUDGET;计划现预算是?Y$BUD$?!要的总量是?Y$TOT$?!n你决定投资?Y$INV$?!
INVEST_PROJECT_TOOLTIP_APPLY;投资
