#Powered_by_ParaTranz
PV_INTERNAL_IMMIGRATION;国内移民：
PV_EXTERNAL_IMMIGRATION;境外移民：
COUNTRYALERT_CanRemoveFromSphere;我们可以将这个国家移出我国?Y势力范围?!
PV_CLERGY_LIT_DESC1;$LOC$的人口中有$NUM$是神职人员
PV_CLERGY_LIT_DESC2;最优数量是$OPT$
PV_CLERGY_LIT_DESC3;每月变化基础值：$VAL$
IN_SOCIAL_MOVEMENT;处于社会运动中
NOT_IN_SOCIAL_MOVEMENT;没有社会运动
IN_POLITICAL_MOVEMENT;处于政治运动中
NOT_IN_POLITICAL_MOVEMENT;没有政治运动
the_meiji_restoration2_title;早期明治维新
the_meiji_restoration2_desc;在传说中，神武天皇于公元前660年建立了日本，自那以来皇族血统始终未曾断绝。在江户时代，皇族仍然备受尊崇，但毫无实权。通过重树皇权与快速工业化，立宪和经济自由主义，日本可以粉碎西方世界强加于她的镣铐！
TPG;太平天国
TPG_democracy;太平共和国
TPG_bourgeois_dictatorship;太平共和国
TPG_proletarian_dictatorship;太平人民共和国
TPG_fascist_dictatorship;太平共和国
TPG_presidential_dictatorship;太平军阀
TPG_ADJ;太平国的
TPG_conservative;西王
TPG_liberal;翼王
TPG_reactionary;东王
TPG_socialist;北王
TPG_anarcho_liberal;激进派
TPG_communist;共产主义派
TPG_fascist;法西斯派
