#Powered_by_ParaTranz
RALLY_POINT_NAVY_MERGE_INFO;开启或关闭海军在集结点合并\n（舰船会自动编入最大的舰队）
RALLY_POINT_NAVY_PROVINCE_MERGE_INFO;舰船会自动编入集结点最大的舰队
BUDGET_INTERNALLY_SOLD_STOCKPILE;出售给建设计划的储备物资：?Y$VAL$?!
OL_VIEW_RALLYPOINTS_NAVY_TOOLTIP;附近建造的所有船只将驶向?Y$PROV$?!
OL_VIEW_RALLYPOINTS_NAVY_MERGE_TOOLTIP;并自动编入集结点最大的舰队
ARMY_SPLIT_AND_LOAD_DESC_1;?Y$UNIT$?!被分入?G$NUM$?!船：
ARMY_SPLIT_AND_LOAD_DESC_2;—?Y$NAVY$?!运载量$NUM$）
ARMY_SPLIT_AND_LOAD_DESC_3;?R剩下的总重达（$NUM$）的部队将无法上船?!
UW_NOT_POSSIBLE_TO_ATTACH;没有友军可以跟随
UW_UNITS_ATTACHED;下列部队正在跟随
UW_ATTACH_TO;跟随$NAME$
UW_DETACH_FROM;停止跟随$NAME$
IW_SUPPLY_COST;你每天需要?Y$VAL$?W为该部队提供补给
HAS_NOT_CULTURE_CORE;$CUL$不是$WHERE$的核心民族\n
HAS_CULTURE_CORE;$CUL$是$WHERE$的核心民族\n
PROMOTION_EFFECT_FROM_ADMIN;行政效率对升职速度影响：?Y$PERCENTAGE$?!
OUTLINER_TOOLTIP_FACTORY_OCCUPANCY;当地工厂雇员：$PERC$
REVOLTALLIANCE_LOG;一场革命！我们的联盟不复存在了！
tut_5b_12b;点击决议按钮以继续。
tut_5b_14b;点击运动按钮以继续。
Workforce;职业
Ideology;意识形态
SELL;出售
BUY;购买
Start Research;开始研究
Maneuver;机动力
LEDGER;统计表
OK;好
TOPBAR_POPULATION;我国成年男性人口为$CURR$\n我国成年男性人口在最近?Y$DAYS$?!内改变了$CHANGE$
DIG_IN_TOOLTIP_1;当前战壕等级：$LEV$/$MAX$
DIG_IN_TOOLTIP_2;需要?Y$DAYS$?!来使战壕等级?G+$VAL$?!
in_bankrupcy;破产中
in_bankrupcy_desc;我们破产了！
