#Powered_by_ParaTranz
mapmode_1;地形地图
mapmode_2;政治地图
mapmode_3;叛乱地图
mapmode_4;外交地图
mapmode_5;地区地图
mapmode_6;基础设施
mapmode_7;殖民地图
mapmode_8;行政地图
mapmode_9;征兵地图
mapmode_10;国家焦点
mapmode_11;原料产地地图
mapmode_12;人口密度地图
mapmode_13;民族地图
mapmode_14;势力范围地图
mapmode_15;补给上限地图
mapmode_16;政党支持地图
mapmode_17;国家排名地图
mapmode_18;移民地图
mapmode_19;开化程度地图
mapmode_20;外交关系地图
mapmode_21;危机地图
mapmode_22;海军地图
mapmode_23;宗教地图
mapmode_24;要塞地图
mapmode_25;意识形态地图
mapmode_26;收入地图
mapmode_27;觉醒度地图
mapmode_28;斗争性地图
mapmode_29;识字率地图
mapmode_30;就业率地图
mapmode_31;工厂地图
mapmode_32;政见地图
mapmode_33;发展地图
mapmode_34;玩家地图
mapmode_35;必需品地图
mapmode_36;日用品地图
mapmode_37;奢侈品地图
mapmode_38;军官地图
mapmode_39;职员-技工比例地图
mapmode_40;生活条件地图
mapmode_41;犯罪地图
mapmode_42;集结地图
mapmode_43;劳力地图
mapmode_44;动员地图
legend_min_mapmode_8;低行政
legend_min_mapmode_19;未开化
legend_min_mapmode_7;未殖民
legend_min_mapmode_21;低紧张
legend_min_mapmode_18;迁出
legend_min_mapmode_12;低密度
legend_min_mapmode_17;低排名
legend_min_mapmode_20;低关系
legend_min_mapmode_3;低叛乱风险
legend_min_mapmode_11;低原料输出
legend_min_mapmode_15;低供应
legend_min_mapmode_26;低收入
legend_min_mapmode_27;低觉醒度
legend_min_mapmode_28;低斗争
legend_min_mapmode_29;低识字率
legend_min_mapmode_30;低就业率
legend_min_mapmode_33;低增长
legend_min_mapmode_35;低需求
legend_min_mapmode_36;低需求
legend_min_mapmode_37;低需求
legend_min_mapmode_38;低军官
legend_min_mapmode_39;低职员-技工比例
legend_min_mapmode_40;低生活条件
legend_min_mapmode_44;低部队数
legend_max_mapmode_8;高行政
legend_max_mapmode_19;开化
legend_max_mapmode_7;殖民
legend_max_mapmode_21;高紧张
legend_max_mapmode_18;迁入
legend_max_mapmode_12;高密度
legend_max_mapmode_17;高排名
legend_max_mapmode_20;高关系
legend_max_mapmode_3;高叛乱风险
legend_max_mapmode_11;高原料输出
legend_max_mapmode_15;高供应
legend_max_mapmode_26;高收入
legend_max_mapmode_27;高觉醒度
legend_max_mapmode_28;高斗争
legend_max_mapmode_29;高识字率
legend_max_mapmode_30;高就业率
legend_max_mapmode_33;高增长
legend_max_mapmode_35;高满足
legend_max_mapmode_36;高满足
legend_max_mapmode_37;高满足
legend_max_mapmode_38;高军官
legend_max_mapmode_39;高职员-技工比例
legend_max_mapmode_40;高生活条件
legend_max_mapmode_44;高部队数
mapmode_tooltip_34;玩家：$x$
mapmode_tooltip_34_you_sp;这是你！
mapmode_tooltip_34_you;玩家：$x$（这是你！）
mapmode_tooltip_34_ai;AI 控制
mapmode_tooltip_35;必需品满足：$x$
mapmode_tooltip_36;日用品满足：$x$
mapmode_tooltip_37;奢侈品满足：$x$
mapmode_tooltip_38;军官总数：$x$（占总人口的 $y$，$value$ 为最佳）
mapmode_tooltip_39;职员与技工的比例为: $fraction$（$x$/$y$），$value$ 为最佳
mapmode_tooltip_40;生活条件：$x$
mapmode_tooltip_41;犯罪率：$x$
mapmode_tooltip_42_1;陆军集结点
mapmode_tooltip_42_2;海军集结点
mapmode_tooltip_43;劳动力分布：
mapmode_tooltip_44;已动员团数：$x$（最多为 $y$）
mapmode_tooltip_44_2;无可动员团
mapmode_tooltip_name;$state$ ($name$ - )
mapmode_tooltip_core_entry;$$faction$ - $name$
mapmode_tooltip_state_entry; - $state$ \n $continentname$
mapmode_tooltip_culture_majorities;?Y$PROV$?W的主要民族是：
mapmode_tooltip_religion_majorities;?Y$PROV$?W的宗教信仰为：
mapmode_tooltip_dominant_issues;?Y$PROV$?W的主要政见为:
mapmode_tooltip_total_income;每日总收入：
mapmode_tooltip_dominant_ideology;?Y$PROV$?W的意识形态为：
mapmode_tooltip_con_average;平均觉醒度：?Y$val$?W
mapmode_tooltip_total_employment;就业率：
mapmode_tooltip_literacy_rate;识字率：
mapmode_tooltip_factory_count;?Y$state$?W工厂：
mapmode_tooltip_fort_level;要塞等级
mapmode_tooltip_fort_being_built;正在建设要塞。
mapmode_tooltip_can_build_fort;可建设新要塞。
mapmode_tooltip_population_change;每月人口变化：
mapmode_tooltip_rebels_amount;省份叛乱：
mapmode_tooltip_rebels_none;安居乐业
aml_civ_s1;开化
aml_civ_s2;未殖民
aml_civ_s3;100% 开化
aml_civ_s4;0% 开化
aml_civ_s5;殖民地
aml_col_s1;潜在
aml_col_s2;N/A
aml_col_s3;可殖民
aml_col_s4;殖民中
aml_dip_s1;玩家
aml_dip_s2;盟友
aml_dip_s3;敌人
aml_dip_s4;傀儡
aml_dip_s5;势力范围
aml_dip_s6;其他
aml_dip_s7;核心
aml_dip_s8;非核心
aml_dip_s9;文化母国核心
aml_rr_s1;0 级
aml_rr_s2;6 级
aml_rr_s3;正在升级
aml_rr_s4;最高等级
aml_rr_s5;封锁
aml_nav_s1;没有海军基地
aml_nav_s2;最高等级
aml_nav_s3;正在升级
aml_nav_s4;可升级
aml_nav_s5;可建造
aml_rank_s1;列强
aml_rank_s2;次强
aml_rank_s3;开化国家
aml_rank_s4;未开化国家
aml_rec_s1;可用
aml_rec_s2;已满
aml_rec_s3;无
