#Powered_by_ParaTranz
message_notify_rebels_defeat_label;击败叛军时是否通知？
message_settings_spectator;预设：仅观察
msg_revolt_title;叛军起义
msg_revolt_1;$x$叛军已在以下省份发动叛乱：
msg_revolt_2;$x$叛军已经发动叛乱（未成功）
msg_war_title;宣战
msg_war_1;$x$已经对$y$宣战，开始了$val$。
msg_wargoal_title;战争目标已添加
msg_wargoal_1;$x$为我们的战争添加了以下战争目标：
msg_war_join_title;国家参战
msg_war_join_1;$x$已经加入正在进行的$val$
msg_war_becomes_great_title;战争升级
msg_war_becomes_great_1;$x$已经演变为了$y$
msg_siegeover_title;围城结束
msg_siegeover_1;对$x$的围攻已经结束了。
msg_siegeover_2;$y$不再控制这个省份。
msg_siegeover_3;$y$叛军不再控制这个省份。
msg_siegeover_4;这个省份现在被$y$控制。
msg_siegeover_5;这个省份现在被$y$叛军控制。
msg_new_crisis_title;危机正在酝酿
msg_new_crisis_1;一场围绕$x$所有权的危机正在酝酿。
msg_new_crisis_2;一场关于殖民$x$的危机正在酝酿。
msg_tech_title;科技研究完成
msg_tech_1;$x$已经研究完成，具有以下效果：
msg_inv_title;获得发明
msg_inv_1;$x$已经被发明，具有以下效果：
msg_fab_discovered_title;伪造事发
msg_fab_discovered_1;我们伪造战争借口的行动被发现了，这会增加?R$x$?!恶名。
msg_fab_discovered_2;$x$针对$y$的战争合理化进程被发现
msg_fab_canceled_title;取消伪造
msg_fab_canceled_1;因目标理由失效，伪造被迫取消。
msg_fab_finished_title;伪造完成
msg_fab_finished_1;我们完成$x$理由针对$y$。
msg_leader_died_title;将军死亡
msg_leader_died_1;指挥军队$y$的将领$x$去世了。
msg_leader_died_2;指挥舰队$y$的海军将领$x$去世了。
msg_peace_offer_accepted_title;接受和平协议
msg_peace_offer_accepted_1;作为$x$一部分，$y$接受$val$和平协议。
msg_peace_offer_rejected_title;和平协议被拒绝
msg_peace_offer_rejected_1;作为$x$一部分，$y$拒绝$val$的和平协议。
msg_upper_house_title;上议院改选
msg_upper_house_1;新的上议院组成为：
msg_upper_house_2;$x$ %：$y$
msg_election_start_title;选举开始
msg_election_start_1;选举将在$x$结束。
msg_dec_rel_title;关系恶化
msg_dec_rel_1;$x$已经降低了与$y$的外交关系。
msg_inc_rel_title;关系改善
msg_inc_rel_1;$x$已经增进了与$y$的外交关系。
msg_add_sphere_title;国家加入势力范围
msg_add_sphere_1;$x$已经将$y$纳入势力范围。
msg_rem_sphere_title;国家被移出势力范围
msg_rem_sphere_1;$x$已经将$y$移出势力范围
msg_rem_sphere_2;$x$已经将$y$移出$val$的势力范围。
msg_op_dec_title;评价降低
msg_op_dec_1;$x$降低了$val$对$y$的评价。
msg_op_inc_title;评价提高
msg_op_inc_1;$x$提高了$y$对它的评价。
msg_expel_title;驱逐顾问
msg_expel_1;$y$使$x$驱逐$val$顾问。
msg_ban_title;封锁使馆
msg_ban_1;$x$使$val$驻$y$大使馆被封锁。
msg_ban_2;这将持续到$x$。
msg_discredit_title;败坏名誉
msg_discredit_1;$x$使$y$抹黑$val$。
msg_discredit_2;这将持续到$x$。
msg_ally_call_accepted_title;履行盟约
msg_ally_call_accepted_1;$x$履行他们$y$并加入$val$。
msg_ally_call_declined_title;背弃盟约
msg_ally_call_decline_1;$x$回绝他们$y$盟约并不参加$val$。
msg_alliance_declined_title;盟约拒绝
msg_alliance_declined_1;$x$拒绝$y$提议的盟约。
msg_alliance_starts_title;盟约达成
msg_alliance_starts_1;$x$和$y$结盟。
msg_alliance_ends_title;解除盟约
msg_alliance_ends_1;这盟约在$x$和$y$之间已终结。
msg_access_refused_title;军事通行拒绝
msg_access_refused_1;$x$拒绝给予$y$军事通行权。
msg_access_granted_title;军事通行准许
msg_access_granted_1;$x$给予$y$军事通行权。
msg_access_canceled_a_title;军事通行收回
msg_access_canceled_a_1;$x$收回$y$军事通行权。
msg_access_canceled_b_title;军事通行取消
msg_access_canceled_b_1;$x$不再需要军事通行$y$。
msg_wsub_start_title;战争援助启动
msg_wsub_start_1;$x$开始援助$y$当前战争。
msg_wsub_end_title;战争援助结束
msg_wsub_end_1;$x$停止援助$y$当前战争。
msg_new_gp_title;新兴大国
msg_new_gp_1;$x$现在是列强。
msg_lost_gp_title;失去列强
msg_lost_gp_1;$x$不再是列强。
msg_decision_title;决议执行
msg_decision_1;$x$执行$y$决议。
msg_decision_2;效果：
msg_rebels_win_title;叛军胜利
msg_rebels_win_1;$x$叛军得胜。
msg_rebels_win_2;因?R$x$?!下降威望
msg_rebels_win_3;政体改为$x$
msg_rebels_win_4;政府意识形态改为$x$
msg_rebels_win_5;废除所有外交关系
msg_rebels_win_6;效果：
msg_election_end_title;选举结束
msg_election_end_1;$x$获得$y$%选票，现在是执政党。
msg_election_end_2;$x$获得$y$%选票，现在是联合政府的执政党。
msg_crisis_joffer_accepted;国家站队
msg_crisis_joffer_accepted_1;$x$接受$y$的条件，在当前危机中支持它。
msg_crisis_joffer_rejected;国家保持中立
msg_crisis_joffer_reject_1;$x$拒绝$y$加入他们一边的提议。
msg_crisis_settled_title;危机解决
msg_crisis_settled_1;$x$接受$y$的条件，解决当前危机。
msg_crisis_not_settled_title;危机方案被拒绝
msg_crisis_not_settled_1;$x$拒绝$y$提议的解决当前危机的方案。
msg_crisis_escalates_title;危机升级
msg_crisis_escalates_1;当前危机演变成$x$。
msg_crisis_fizzle_title;危机冷却
msg_crisis_fizzle_1;酝酿中的这危机未能引起国际关注。
msg_crisis_fizzle_2;酝酿中的这危机未受支持。
msg_crisis_attacker_title;支持危机
msg_crisis_attacker_1;$x$加入当前危机以支持发起方。
msg_crisis_defender_title;支持危机
msg_crisis_defender_1;$x$加入当前危机以支持被动方。
msg_crisis_vol_join_title;国家站队
msg_crisis_vol_join_1;$x$加入当前危机以支持发起方。
msg_crisis_vol_join_2;$x$加入当前危机以支持被动方。
msg_entered_automatic_alliance_title;自动加入同盟
msg_entered_automatic_alliance_1;$x$自动与我国结盟，因为我们标记感兴趣它的盟约。
msg_chat_message_title;聊天信息
msg_chat_message_1;$x$说：
msg_chat_message_2;$x$
msg_n_event_title;国家事件
msg_p_event_title;省份事件
msg_m_event_title;重要事件
msg_revolt;当叛乱时
msg_war_on_nation;当宣战时
msg_war_by_nation;当宣战时
msg_wargoal_added;当添加战争目标时
msg_siegeover_by_nation;围攻我们
msg_siegeover_on_nation;围攻他们
msg_colony_finished;当殖民完成时
msg_reform_gained;当改革时
msg_reform_lost;当失去改革时
msg_ruling_party_change;当更改执政党时
msg_upperhouse;当上议院改选时
msg_electionstart;当选举时
msg_electiondone;当选举结束时
msg_breakcountry;当国家破产时
msg_peace_accepted_from_nation;当接受和平时
