#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
KEYNAME;文本;;;;;;;;;;;;x
news1;$TAG_2_0$政府以如下条件接受和平：$STRING_0_1$;;;;;;;;;;;;x
battle_we_win_title_large;在$STRING_0_3$之役大捷！;;;;;;;;;;;;x
battle_we_win_large;在$DATE_LONG_0$，我们战无不胜的军队再一次于$STRING_0_3$收获胜利！我方$VALUE_INT_0_1$名勇士让$VALUE_INT_0_3$人的隶属$TAG_0_3_ADJ$军队尝到了苦头。尽管我们无所畏惧的军队中有$VALUE_INT_0_2$人献出了生命，仍有$VALUE_INT_0_4$个$TAG_0_3_ADJ$混蛋被杀。敌军败走，地区的控制权在我们手中。在这么一场大败之后，$TAG_0_3$除了乞求和平别无他法！;;;;;;;;;;;;x
battle_we_win_title_medium;$STRING_0_3$之役告捷！;;;;;;;;;;;;x
battle_we_win_medium;在$DATE_LONG_0$，我们于$STRING_0_3$击败了$VALUE_INT_0_3$人的隶属$TAG_0_3_ADJ$军队，我军只损失了$VALUE_INT_0_2$人。;;;;;;;;;;;;x
battle_we_win_title_small;胜利！;;;;;;;;;;;;x
battle_we_win_small;在$DATE_LONG_0$，我们于$STRING_0_3$击败了$VALUE_INT_0_3$人的隶属$TAG_0_3_ADJ$军队。;;;;;;;;;;;;x
battle_we_lose_title_large;战略失误导致$STRING_0_3$战役惨败！;;;;;;;;;;;;x
battle_we_lose_large;在$DATE_LONG_0$，那些窃据高位的指挥官们胡乱地让$VALUE_INT_0_4$名勇士丧命于发生在$STRING_0_3$的对抗$TAG_0_2$军队的战斗中。我方$VALUE_INT_0_3$名精兵面对着$VALUE_INT1$人的隶属$TAG_0_2_ADJ$军队，他们同时与己方猪一般的将领和敌军卑劣可耻的手段相对抗，在这种困境下他们依然给敌军造成了$VALUE_INT_0_2$人的伤亡。本报对这场战争的相关负责人表示高度关切，并强烈要求政府采取相应措施。亡羊补牢，为时未晚！;;;;;;;;;;;;x
battle_we_lose_title_medium;$STRING_0_3$之役战败;;;;;;;;;;;;x
battle_we_lose_medium;在$DATE_LONG_0$，我们打输了$STRING_0_3$战役，损失了$VALUE_INT_0_4$名士兵并将当地控制权让给了$TAG_0_2$。;;;;;;;;;;;;x
battle_we_lose_title_small;$STRING_0_3$之役惨败;;;;;;;;;;;;x
battle_we_lose_small;在$DATE_LONG_0$，我们打输了$STRING_0_3$战役，损失了$VALUE_INT_0_4$名士兵并将当地控制权让给了$TAG_0_2$。;;;;;;;;;;;;x
gwar_we_win_large_title;$TAG_3_0_UPPER$投降！;;;;;;;;;;;;x
gwar_we_win_large_desc;在$DATE_LONG_1$，随着我方的大胜，$TAG_0_0$与$TAG_1_0$之间的大战落下了帷幕。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$，最终的结果是$STRINGS_LIST_4$。;;;;;;;;;;;;x
gwar_we_win_medium_title;停战协议签订！\n胜利！;;;;;;;;;;;;x
gwar_we_win_medium_desc;在$DATE_LONG_1$，随着我方的大胜，$TAG_0_0$与$TAG_1_0$之间的大战落下了帷幕。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$。;;;;;;;;;;;;x
gwar_we_win_small_title;战胜$TAG_3_0$！;;;;;;;;;;;;x
gwar_we_win_small_desc;$STRING_0_0$以$TAG_3_0$的战败告终。;;;;;;;;;;;;x
gwar_we_lose_large_title;耻辱之日\n与$TAG_2_0_UPPER$的和平协议签署！;;;;;;;;;;;;x
gwar_we_lose_large_desc;在$DATE_LONG_1$，对抗$TAG_2_0$的大战以我们羞耻的战败告终。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$，最终的结果是$STRINGS_LIST_4$。;;;;;;;;;;;;x
gwar_we_lose_medium_title;与$TAG_2_0_UPPER$议和！;;;;;;;;;;;;x
gwar_we_lose_medium_desc;在$DATE_LONG_1$，随着我军的战败，$TAG_0_0$与$TAG_1_0$之间的大战落下了帷幕。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$。;;;;;;;;;;;;x
gwar_we_lose_small_title;与$TAG_2_0$议和;;;;;;;;;;;;x
gwar_we_lose_small_desc;$STRING_0_0$结束了，我们败于$TAG_2_0$手下。;;;;;;;;;;;;x
war_we_win_large_title;停战协议签署！\n$TAG_3_0_UPPER$投降;;;;;;;;;;;;x
war_we_win_large_desc;在$DATE_LONG_1$，随着我方的大胜，$TAG_0_0$与$TAG_1_0$之间的战争落下了帷幕。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$，最终的结果是$STRINGS_LIST_4$。;;;;;;;;;;;;x
war_we_win_medium_title;签署停战协议！\n胜利！;;;;;;;;;;;;x
war_we_win_medium_desc;在$DATE_LONG_1$，随着我方的大胜，$TAG_0_0$与$TAG_1_0$之间的战争落下了帷幕。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$。;;;;;;;;;;;;x
war_we_win_small_title;战胜$TAG_3_0$！;;;;;;;;;;;;x
war_we_win_small_desc;$STRING_0_0$以$TAG_3_0$的战败告终。;;;;;;;;;;;;x
war_we_lose_large_title;耻辱之日\n与$TAG_2_0_UPPER$的和平协议签署！;;;;;;;;;;;;x
war_we_lose_large_desc;在$DATE_LONG_1$，对抗$TAG_2_0$的战争以我们羞耻的战败告终。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$，最终的结果是$STRINGS_LIST_4$。;;;;;;;;;;;;x
war_we_lose_medium_title;耻辱的和平协议签署！;;;;;;;;;;;;x
war_we_lose_medium_desc;在$DATE_LONG_1$，随着我军的战败，$TAG_0_0$与$TAG_1_0$之间的战争落下了帷幕。这场名为$STRING_0_0$的战争，始于$DATE_SHORT_0$，止于$STRING_9_0$，其最终的胜利者是$TAG_2_0$。;;;;;;;;;;;;x
war_we_lose_small_title;与$TAG_2_0$议和;;;;;;;;;;;;x
war_we_lose_small_desc;$STRING_0_0$结束了，我们败于$TAG_2_0$手下。;;;;;;;;;;;;x
rebels_win_small_title;革命！;;;;;;;;;;;;x
rebels_win_small_desc;$STRING_0_0$击垮了$TAG_0_0$，整个国家都生灵涂炭。现在$STRING_0_3$$STRING_0_4$会干些什么呢?!;;;;;;;;;;;x
some_fake_1836_title_1;鸦片快讯！;;;;;;;;;;;;x
some_fake_1836_1;鸦片狂潮席卷中国，商路虽远，但绝对值得一试。;;;;;;;;;;;;x
some_fake_1836_title_2;乙醚狂热;;;;;;;;;;;;x
some_fake_1836_2;参加乙醚吸毒派对的人越来越多，权威人士宣称这将消耗大量瓦斯！;;;;;;;;;;;;x
some_fake_1836_title_3;愉悦梦境;;;;;;;;;;;;x
some_fake_1836_3;手术中首次采用全身麻醉技术，美国外科医生在肿瘤切除手术中让患者沉睡。;;;;;;;;;;;;x
some_fake_1836_title_4;字符编码;;;;;;;;;;;;x
some_fake_1836_4;世界上第一封采用摩斯电码发送的电报出现在美国。;;;;;;;;;;;;x
some_fake_1836_title_5;集邮者的庆典！;;;;;;;;;;;;x
some_fake_1836_5;英国推出了被称为黑便士的邮票系统，上面印有维多利亚女王青年时期的照片。;;;;;;;;;;;;x
some_fake_1836_title_6;揭示现实！;;;;;;;;;;;;x
some_fake_1836_6;《死魂灵》在俄罗斯发表，评论家声称这部作品太过荒诞不经了。;;;;;;;;;;;;x
some_fake_1836_title_7;木管乐器还是铜管乐器？;;;;;;;;;;;;x
some_fake_1836_title_8;淘金热！;;;;;;;;;;;;x
some_fake_1836_8;在加利福尼亚发现了金矿，大量淘金者云集于该地区！;;;;;;;;;;;;x
some_fake_1836_title_9;《乌鸦》发表;;;;;;;;;;;;x
some_fake_1836_9;一部阴森诡异的杰作，埃德加·爱伦·坡的这部作品能令你脖子上的寒毛倒竖。;;;;;;;;;;;;x
some_fake_1836_title_10;丰满的女性形体;;;;;;;;;;;;x
some_fake_1836_10;（请读者自行判断）女性腰围和臀围的大小，分别在历史不同时期的最大和最小值。请转第5页;;;;;;;;;;;;x
some_fake_1836_title_11;社论;;;;;;;;;;;;x
some_fake_1836_11;自由主义将会毁灭西方文明。如果没有强有力的政府，人民将会挨饿，并为了维持生存和抚养后代而倒退回野蛮。（见第10版）;;;;;;;;;;;;x
some_fake_1850_title_1;我们的祖先？;;;;;;;;;;;;x
some_fake_1850_1;在德国发现的尼安德特人化石令科学家们赞叹不已。;;;;;;;;;;;;x
some_fake_1850_title_2;社论：;;;;;;;;;;;;x
some_fake_1850_2;本报认为，动物脂肪是完美的子弹盒润滑剂，看看我们是如何得出这个令人无法反驳的结论的（见第10版）;;;;;;;;;;;;x
some_fake_1850_title_3;衰退中的运河;;;;;;;;;;;;x
some_fake_1850_3;曾经辉煌的被视为民族象征的运河系统处于衰退中，有什么是我们可以做的？请转第4页;;;;;;;;;;;;x
some_fake_1860_title_1;林肯遇刺身亡;;;;;;;;;;;;x
some_fake_1860_1;亚伯拉罕·林肯在福特剧院遇刺身亡，他在近距离内被约翰·威尔克斯·布斯枪杀。;;;;;;;;;;;;x
some_fake_1860_title_2;林肯一切安好;;;;;;;;;;;;x
some_fake_1860_2;约翰·威尔克斯·布斯刺杀亚伯拉罕·林肯未遂后被总统从福特剧院的阳台上抛下。;;;;;;;;;;;;x
some_fake_1860_title_3;缺乏骑士精神;;;;;;;;;;;;x
some_fake_1860_3;军用潜艇一经发明即被全球认定为是不光彩的邪恶武器，并应永久禁止。;;;;;;;;;;;;x
some_fake_1860_title_4;医疗保健;;;;;;;;;;;;x
some_fake_1860_4;南丁格尔在伦敦圣·托马斯医院创立了一所护士学校。;;;;;;;;;;;;x
some_fake_1860_title_5;元素的组织结构;;;;;;;;;;;;x
some_fake_1860_5;门捷列夫发现了元素周期表，列出了所有的56个已知元素。;;;;;;;;;;;;x
some_fake_1860_title_6;自行车大流行;;;;;;;;;;;;x
some_fake_1860_6;自行车狂潮席卷西方世界，自行车，值得拥有！;;;;;;;;;;;;x
some_fake_1860_title_7;史上最宽的墨西哥宽边帽;;;;;;;;;;;;x
some_fake_1860_7;据悉，目前在墨西哥出现了惊人的57英寸的墨西哥宽边帽。;;;;;;;;;;;;x
some_fake_1860_title_8;消防队成立;;;;;;;;;;;;x
some_fake_1860_8;他们是新人，但他们是最好的。;;;;;;;;;;;;x
some_fake_1860_title_9;足球获得普及;;;;;;;;;;;;x
some_fake_1860_9;足球协会比赛的上座率有所提高，精彩的比赛尤其受重劳力者和穷人欢迎。;;;;;;;;;;;;x
some_fake_1860_title_10;社论：;;;;;;;;;;;;x
some_fake_1860_10;当心女式自行车。女性骑乘这机器时，不留意间随风飘起的裙摆，裸露可见的脚踝美腿，将令附近的男子意乱神迷（第10版）;;;;;;;;;;;;x
some_fake_1860_title_11;庞贝和赫库兰尼姆重见天日;;;;;;;;;;;;x
some_fake_1860_11;新的挖掘方式将使这两座在公元79年毁于维苏威火山喷发的城市重见天日。;;;;;;;;;;;;x
some_fake_1870_title_1;社论：;;;;;;;;;;;;x
some_fake_1870_1;落后的非洲人民热烈欢迎我们仁慈的政府。就像当年许多爱尔兰人欢迎不列颠君主，这些黑人渴望得到白人的统治（第10版）;;;;;;;;;;;;x
some_fake_1870_title_2;文学：;;;;;;;;;;;;x
some_fake_1870_2;《环游世界八十天》为读者们带来了一场令人愉悦的学识盛宴！;;;;;;;;;;;;x
some_fake_1870_title_3;束胸衣昏厥;;;;;;;;;;;;x
some_fake_1870_3;真是史上病号最多的日子！最近在我们的医疗中心里，躺满了束胸衣过紧的受害者。;;;;;;;;;;;;x
some_fake_1880_title_1;试飞成功！;;;;;;;;;;;;x
some_fake_1880_1;一艘名叫“法兰西号”的军事飞艇，成为史上第一艘完成往返航行的动力飞艇。;;;;;;;;;;;;x
some_fake_1880_title_2;高层建筑;;;;;;;;;;;;x
some_fake_1880_2;“摩天大楼”开始在美国建造，这些庞大的钢架结构建筑傲视周边。;;;;;;;;;;;;x
some_fake_1880_title_3;薄荷朱利酒有救了！;;;;;;;;;;;;x
some_fake_1880_3;美国的马尔文·C·斯通发明了“吸管”。;;;;;;;;;;;;x
some_fake_1880_title_4;一切随心而动;;;;;;;;;;;;x
some_fake_1880_4;治疗吗啡上瘾的良药在美国被找到了：可乐酒！;;;;;;;;;;;;x
some_fake_1880_title_5;俾斯麦辞职;;;;;;;;;;;;x
some_fake_1880_5;俾斯麦辞去了总理职务，德国这艘巨舰失去了它的掌舵者。;;;;;;;;;;;;x
some_fake_1880_title_6;社论：;;;;;;;;;;;;x
some_fake_1880_6;社会主义将会毁灭西方文明。为什么？因为它将权力授予工人阶级，并让他们相信他们会过的更好更富足。狗屎！（第10版）;;;;;;;;;;;;x
some_fake_1880_title_7;美国政府应该采取行动吗？;;;;;;;;;;;;x
some_fake_1880_7;对黑人施以私刑在美国的中心地带已经是司空见惯了。本刊的编辑不禁要问：国家是否应该干预或者阻止这种行为？;;;;;;;;;;;;x
some_fake_1890_title_1;起飞！;;;;;;;;;;;;x
some_fake_1890_1;阿德尔风神号是一架使用蒸汽动力的飞行器，其在巴黎附近进行了一次短途试验飞行。;;;;;;;;;;;;x
some_fake_1890_title_2;试飞成功！;;;;;;;;;;;;x
some_fake_1890_2;戴维则滑翔机成为世界上第一架成功载人飞行的飞行器，它在勃兰登堡附近飞行了大约80英尺的距离。;;;;;;;;;;;;x
some_fake_1890_title_3;会动的图片！;;;;;;;;;;;;x
some_fake_1890_3;在布鲁克林艺术与科学学院，电影放映机播放的移动图像震惊了观众。;;;;;;;;;;;;x
some_fake_1890_title_4;万岁！快乐90年代;;;;;;;;;;;;x
some_fake_1890_4;我们相信比现在更快乐的日子是从未出现过，也不会再有了。编辑部恭敬地提议将“快乐90年代”一词收入我们日常用语的辞典。;;;;;;;;;;;;x
some_fake_1890_title_5;人们是否能在某日飞天？;;;;;;;;;;;;x
some_fake_1890_5;在国内，有预言家提出，终有一日人类将能通过精巧的机械装置飞上天空。;;;;;;;;;;;;x
some_fake_1890_title_6;社论：;;;;;;;;;;;;x
some_fake_1890_6;“如果他希望人类能够飞翔，那他就应该给我们翅膀了。”船舶巨头和本报大股东查尔斯·奥里伽发表评论说道。（见第10版）;;;;;;;;;;;;x
some_fake_1890_title_7;最初就是错的;;;;;;;;;;;;x
