Elisabethville;伊丽莎白维尔
Leopoldville;利奥波德维尔
Stanleyville;史丹利维尔
Salisbury;索尔兹伯里
Southern Rhodesia;南罗德西亚
Brazzaville;布拉柴维尔
Friedrich-Wilhelmshafen;弗雷德里希-威廉港
Kaiser-Wilhelms-Land;威廉皇帝领地
Constantinople;君士坦丁堡
Arkham;阿卡姆
Kolmar;克尔马
Straßburg;斯特哈斯堡
Elsaß-Lothringen;艾尔萨斯-罗特宁根
Colmar;科尔马
Strasbourg;斯特拉斯堡
Alsace-Lorraine;阿尔萨斯-洛林
Blagoveshchensk;布拉戈维申斯克
Nikolayevsk-na-amure;尼古拉耶夫斯克
Khabarovsk;哈巴罗夫斯克
Pashkovo;帕申克沃
Vladivostok;符拉迪沃斯托克
Primorye;滨海
Babylon;巴比伦
Little Bighorn;小比格霍恩
Apache Raiders;阿帕奇突袭者
Local native groups are raiding our settlements in $PROVINCENAME$;当地土著团体正在袭击我们在$PROVINCENAME$的定居点。
Johannesburg;约翰内斯堡
American War of Independence;美国独立战争
Ottoman Restoration of Tripoli;奥斯曼收复的黎波里
Texan War of Independence;德克萨斯独立战争
