#Powered_by_ParaTranz
PROV1;锡特卡
PROV2;亚库塔特
PROV3;基奈
PROV4;荷兰港
PROV5;贝塞尔
PROV6;怀特霍斯
PROV7;道森
PROV8;罗斯里弗
PROV9;辛普森堡
PROV10;伊努维克
PROV11;埃科贝
PROV12;里莱恩斯
PROV13;温哥华
PROV14;温哥华岛
PROV15;鲁珀特王子港
PROV16;格伦诺拉
PROV17;阿特林
PROV18;福特圣约翰
PROV19;乔治王子城
PROV20;基洛纳
PROV21;弗农
PROV22;埃德蒙顿
PROV23;阿萨帕斯卡尔登陆地
PROV24;贾斯珀
PROV25;班夫
PROV26;卡尔加里
PROV27;登伍德
PROV28;麦克劳德堡
PROV29;梅止辛哈特
PROV30;里贾纳
PROV31;斯坦利
PROV32;艾伯特王子城
PROV33;阿斯奎斯
PROV34;萨斯卡通
PROV35;枫叶溪
PROV36;温尼伯
PROV37;丘吉尔
PROV38;印第安湖区
PROV39;诺威豪斯
PROV40;道芬
PROV41;布兰登
PROV42;彭比纳
PROV43;亚怀亚特
PROV44;回声湾
PROV45;巴芬岛
PROV46;多伦多
PROV47;塞文堡
PROV48;奥尔巴尼堡
PROV49;德赖登
PROV50;雷湾
PROV51;苏圣玛丽
PROV52;萨德伯里
PROV53;巴里
PROV54;温莎
PROV55;哈密尔顿
PROV56;金斯敦
PROV57;渥太华
PROV58;蒙特利尔
PROV59;尼切昆
PROV60;鲁珀特堡
PROV61;希库蒂米
PROV62;七岛港
PROV63;泰米斯卡曼
PROV64;三河城
PROV65;魁北克
PROV66;舍布鲁克
PROV67;里穆斯基
PROV68;弗雷德里克顿
PROV69;巴瑟斯特
PROV70;爱德华王子岛
PROV71;哈利法克斯
PROV72;特鲁罗
PROV73;布雷顿角岛
PROV74;圣约翰斯
PROV75;米勒敦
PROV76;霍普代尔
PROV77;圣皮埃尔和密克隆
PROV78;西雅图
PROV79;斯波坎
PROV80;沃拉沃拉
PROV81;波特兰
PROV82;贝克城
PROV83;克拉马斯福尔斯
PROV84;旧金山
PROV85;尤里卡
