#Powered_by_ParaTranz
Start Research;开始研究
LEDGER;统计表
BUY;购买
Ideology;意识形态
Culture;民族
Workforce;职业
OL_VIEW_rebel_occupations;叛军围城
OL VIEW rebel occupations;叛军围城
OL_VIEW_sieges;围城
OL VIEW sieges;围城
OL_VIEW_hostile_sieges;敌军围城
OL VIEW hostile sieges;敌军围城
OL_VIEW_combat;陆战
OL VIEW combat;陆战
OL_VIEW_navalcombat;海战
OL VIEW navalcombat;海战
OL_VIEW_armies;陆军
OL VIEW armies;陆军
OL_VIEW_navies;海军
OL VIEW navies;海军
OL_VIEW_factories;工厂
OL VIEW factories;工厂
OL_VIEW_buildings;建设
OL VIEW buildings;建设
OL_VIEW_army_construction;陆军招募
OL VIEW army construction;陆军招募
OL_VIEW_navy_construction;海军建设
OL VIEW navy construction;海军建设
OL_VIEW_gp_influence;影响国家
OL VIEW gp influence;影响国家
OL_VIEW_natfocus;国家焦点
OL VIEW natfocus;国家焦点
OL_VIEW_rallypoints;集结点
OL VIEW rallypoints;集结点
PAP_absolute_monarchy;教宗国
PAP_prussian_constitutionalism;教宗国
AUS_absolute_monarchy;奥地利帝国
AUS_prussian_constitutionalism;奥地利帝国
KUK_absolute_monarchy;奥匈帝国
KUK_prussian_constitutionalism;奥匈帝国
SPA_absolute_monarchy;西班牙帝国
FRA_absolute_monarchy;法兰西帝国
TUR_absolute_monarchy;奥斯曼帝国
TUR_absolute_monarchy_ADJ;奥斯曼的
TUR_prussian_constitutionalism;奥斯曼帝国
TUR_prussian_constitutionalism_ADJ;奥斯曼的
CHI_absolute_monarchy;大清帝国
CHI_absolute_monarchy_ADJ;大清的
CHI_prussian_constitutionalism;大清帝国
CHI_absolute_monarchy_ADJ;大清的
DAI_absolute_monarchy;大南帝国
DAI_prussian_constitutionalism;大南帝国
SAR_absolute_monarchy;萨丁尼亚王国
SAR_prussian_constitutionalism;萨丁尼亚王国
SIA_absolute_monarchy;暹罗
SIA_absolute_monarchy_ADJ;暹罗的
SIA_prussian_constitutionalism;暹罗
SIA_prussian_constitutionalism_ADJ;暹罗的
ETH_absolute_monarchy;埃塞俄比亚帝国
ETH_prussian_constitutionalism;埃塞俄比亚帝国
MAD_absolute_monarchy;梅里纳王国
MAD_prussian_constitutionalism;梅里纳王国
BRZ_absolute_monarchy;巴西帝国
BRZ_prussian_constitutionalism;巴西帝国
BRZ_hms_government;巴西帝国
