alice_save_exit;保存并退出
alice_save;保存
alice_exit;退出
Graphics_options;图形选项
sound_options;声音选项
message_settings_options;消息设置
window_mode_label;全屏
map_projection;地图投影
map_projection_globe;正交投影
map_projection_flat;等距柱状投影
map_projection_globe_perspective;垂直
dm_popup_label;弹出的外交消息
ui_scale;UI 比例
Zoom_mode_label;缩放样式
Zoom_mode_panning;平移
Zoom_mode_inverted;反转
Zoom_mode_centered;居中
Zoom_mode_to_cursor;至光标
Zoom_mode_away_from_cursor;远离光标
Zoom_speed_label;变焦加速度
River_label;河流
mute_on_focus_lost_label;焦点丢失时静音
wasd_for_map_movement_label;WASD用于地图移动
vassal_color_label;附庸着色
vassal_color_inherit;继承
vassal_color_same;相同
vassal_color_none;无
color_blind_mode_label;色盲
color_blind_mode_none;无
color_blind_mode_deutan;Deutan
color_blind_mode_protan;Protan
color_blind_mode_tritan;Tritan
color_blind_mode_achroma;消色差
render_models_label;渲染模型
fow_label;战争迷雾
railroad_label;铁路网络
master_volume_label;主卷
music_volume_label;音乐音量
interface_volume_label;界面体积
effect_volume_label;音效音量
fonts_label;经典字体
tooltip_mode_label;浮动工具提示
music_player;音乐播放器
gaussianblur_label;高斯模糊
gamma_label;伽玛
map_label_0;无
map_label_1;线性
map_label_2;二次
map_label_3;立方
message_notify_rebels_defeat_label;击败叛军时通知？
antialiasing_label;抗锯齿
mm_settings_pc_tt;设置为$perc$
spreaders_tt;一些游戏内容是故意对玩家进行混淆的，这主要在另类历史模组或复活节彩蛋中有用
message_settings_reset;重置
message_settings_spectator;预设：仅旁观
mapmode_23;宗教地图模式
mapmode_24;要塞地图模式
mapmode_25;意识形态地图模式
mapmode_26;收入地图模式
mapmode_27;意识地图模式
mapmode_28;好战地图模式
mapmode_29;识字地图模式
mapmode_30;就业地图模式
mapmode_31;工厂地图模式
mapmode_32;地图模式问题
mapmode_33;成长地图模式
mapmode_34;玩家地图模式
mapmode_35;生活需要地图模式
mapmode_36;每天都需要Mapmode
mapmode_37;奢华需要地图模式
mapmode_38;军官地图模式
mapmode_39;职员与工匠的比例Mapmode
mapmode_40;生命等级地图模式
mapmode_41;犯罪地图模式
mapmode_42;拉力赛地图模式
mapmode_43;劳动力地图模式
mapmode_44;动员地图模式
lg_min_mapmode_8;低管理
lg_min_mapmode_19;不文明
lg_min_mapmode_7;未殖民化
lg_min_mapmode_21;低张力
lg_min_mapmode_18;移民
lg_min_mapmode_12;低密度
lg_min_mapmode_17;低等级
lg_min_mapmode_20;低关系
lg_min_mapmode_3;低叛乱风险
lg_min_mapmode_11;低RGO输出
lg_min_mapmode_15;供应不足
lg_min_mapmode_26;低收入
lg_min_mapmode_27;低意识
lg_min_mapmode_28;低战斗力
lg_min_mapmode_29;低识读
lg_min_mapmode_30;低就业率
lg_min_mapmode_33;低增长
lg_min_mapmode_35;满意度低
lg_min_mapmode_36;满意度低
lg_min_mapmode_37;满意度低
lg_min_mapmode_38;低量
lg_min_mapmode_39;CTC 比率较差
lg_min_mapmode_40;低生命等级
lg_min_mapmode_44;军团数低
lg_max_mapmode_8;高级管理
lg_max_mapmode_19;文明
lg_max_mapmode_7;可殖民
lg_max_mapmode_21;高张力
lg_max_mapmode_18;移民
lg_max_mapmode_12;高密度
lg_max_mapmode_17;高等级
lg_max_mapmode_20;高关
lg_max_mapmode_3;高叛乱风险
lg_max_mapmode_11;高RGO输出
lg_max_mapmode_15;高供给
lg_max_mapmode_26;高收入
lg_max_mapmode_27;高意识
lg_max_mapmode_28;高战斗力
lg_max_mapmode_29;高识读率
lg_max_mapmode_30;高就业率
lg_max_mapmode_33;高增长
lg_max_mapmode_35;高满意度
lg_max_mapmode_36;高满意度
lg_max_mapmode_37;高满意度
lg_max_mapmode_38;高额
lg_max_mapmode_39;丰富的CTC比例
lg_max_mapmode_40;高生命等级
lg_max_mapmode_44;高团数
alice_mmtt_34;玩家：$x$ 
alice_mmtt_34_you_sp;这就是你！ 
alice_mmtt_34_you;玩家：$x$（这就是你！） 
alice_mmtt_34_ai;人工智能控制
alice_mmtt_35;满足生活需求：$x$
alice_mmtt_36;满足日常需求：$x$
alice_mmtt_37;满足奢侈需求：$x$
alice_mmtt_38;官员总数：$x$（人口的$y$，$value$是最佳值）
alice_mmtt_39;职员与工匠的比例：$fraction$ ($x$/$y$)，$value$ 是最优的
alice_mmtt_40;生活等级：$x$
alice_mmtt_41;犯罪：$x$
alice_mmtt_42_1;有陆地集结点吗？
alice_mmtt_42_2;有海军集结点吗？
alice_mmtt_43;劳动力分布：
alice_mmtt_44;来自该省的动员军团：$x$（可能超过$y$）
alice_mmtt_44_2;没有可能的团
Neighboring_province;邻近省份
Neighborhood_nation;邻国
Same_Continue;与
empty_neighboring_province;空邻近省份
bad_strata_pop;贫穷阶层流行
middle_strata_pop;中间层流行
rich_strata_pop;丰富的阶层流行
owned_province;属于的省份
single_nation;那个国家
single_state;那个状态
single_province;那个省份
single_pop;那个流行
core_of;核心
state_of;州
one_of_the_following;以下效果之一：
opportunity_of;机会：
controller_of;控制器
location_of_pop;该流行音乐的位置
nation_of_pop;包含该流行音乐的国家
Capital_of;资本
this_nation;这个国家
this_state;这个州
this_province;这个省份
this_pop;这个流行
from_nation;来自国家
from_state;来自州
from_province;来自省份
from_pop;来自 pop
Culture_union_of;文化联盟
overlord_of;霸主
sphere_leader_of;球体领导者
Crisis_state;危机状态
contains_state;状态包含
Province_in;省份
reb_independence_nation;反叛独立国家
flashpoint_nation;闪点国家
move_capital_to;将资本转移到
add_x_core;添加$adj$核心
add_core_to;将核心添加到
remove_x_core;移除$adj$核心
remove_core_from;从
flashpoint_tension_label;闪点张力
change_name_to;将名称更改为 $text$
ett_change_pop_terrain_to;将位置地形更改为$text$
ett_change_province_terrain_to;将地形更改为$text$
change_rgo_product_to;将 RGO 生产更改为 $text$
make_accepted_culture;$text$ 成为一种被接受的文化
Primary_culture_changes_to;主要文化更改为$text$
union_culture_accepted;国家主要文化群体中的所有文化都被接受
this_nation_culture;这个国家的主要文化
from_nation_culture;来自国家的主要文化
alice_remove_accepted_culture;$text$ 不再是一种被接受的文化
life_ rating;生活评级
make_national_religion;$text$ 成为国教
make_slave_state;成为奴隶国家
make_slave_pop;成为奴隶
research_points;Research points
change_tech_school;Technology school changes to $text$
change_government_to;Government changes to $text$
add_to_treasury;Added to treasury
war_exhaustion;War exhaustion
become_blank;Becomes $text$
